Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
cfd,097K,h_normals,2,cuda_time_step,834911616.16,63.4,15711,1234782723.06,63.4,12672,20.31,11687.75,4.86,14.29,0.26,0.19,0.26,6.5,6.5,542005050505.05,20.31,63.4,31.29,4.61,0.0,8.83,0.11,93.22,1,0.07,6.78,30.78,32.0,132.08,130.25,130.25,749.51,239844,760.04,243213,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.96,53.07,60,93.75,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0
cfd,097K,h_areas,0,cuda_compute_step_factor,793269230.77,40.26,11723,1170138888.89,40.26,9984,11.92,8010.16,15.36,11.37,0.89,0.61,0.9,22.4,22.4,327032051282.05,11.92,40.26,14.39,4.7,0.0,7.82,0.4,76.86,1,0.23,23.14,26.78,28.69,34.16,33.79,33.79,1775.05,568017,1794.47,574230,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.67,47.92,60,93.75,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_compute_step_factor,793269230.77,40.26,11723,1170138888.89,40.26,9984,11.92,8010.16,15.36,11.37,0.89,0.61,0.9,22.4,22.4,327032051282.05,11.92,40.26,14.39,4.7,0.0,7.82,0.4,76.86,1,0.23,23.14,26.78,28.69,34.16,33.79,33.79,1775.05,568017,1794.47,574230,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.67,47.92,60,93.75,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0
cfd,097K,h_normals,2,cuda_compute_step_factor,793269230.77,40.26,11723,1170138888.89,40.26,9984,11.92,8010.16,15.36,11.37,0.89,0.61,0.9,22.4,22.4,327032051282.05,11.92,40.26,14.39,4.7,0.0,7.82,0.4,76.86,1,0.23,23.14,26.78,28.69,34.16,33.79,33.79,1775.05,568017,1794.47,574230,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.67,47.92,60,93.75,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0
cfd,097K,h_areas,0,cuda_compute_flux,872163865.55,34.83,49078,1283342086.83,34.83,38080,31.09,36751.54,22.05,29.37,1.17,0.88,1.17,29.31,29.31,311027731092.44,31.09,34.83,72.23,5.45,28.39,6.43,0.5,68.98,1,0.31,31.02,27.6,28.77,20.81,20.74,20.74,10733.77,3434806,10772.0,3447041,192,506,58,0,0,0,97152,1.27,32,5,32,10,25.27,39.48,30,46.88,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_compute_flux,872163865.55,34.83,49078,1283342086.83,34.83,38080,31.09,36751.54,22.05,29.37,1.17,0.88,1.17,29.31,29.31,311027731092.44,31.09,34.83,72.23,5.45,28.39,6.43,0.5,68.98,1,0.31,31.02,27.6,28.77,20.81,20.74,20.74,10733.77,3434806,10772.0,3447041,192,506,58,0,0,0,97152,1.27,32,5,32,10,25.27,39.48,30,46.88,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0
cfd,097K,h_normals,2,cuda_compute_flux,872163865.55,34.83,49078,1283342086.83,34.83,38080,31.09,36751.54,22.05,29.37,1.17,0.88,1.17,29.31,29.31,311027731092.44,31.09,34.83,72.23,5.45,28.39,6.43,0.5,68.98,1,0.31,31.02,27.6,28.77,20.81,20.74,20.74,10733.77,3434806,10772.0,3447041,192,506,58,0,0,0,97152,1.27,32,5,32,10,25.27,39.48,30,46.88,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0
cfd,097K,h_areas,0,cuda_time_step,913265306.12,57.85,17024,1352558992.35,57.85,12544,18.73,11358.09,4.48,14.7,0.26,0.18,0.27,6.69,6.69,540974489795.92,18.73,57.85,31.29,4.25,0.0,8.67,0.11,93.33,1,0.07,6.67,30.78,32.0,131.91,130.07,130.07,749.51,239844,760.1,243232,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.22,53.47,60,93.75,111,0x200060000000,0x20006005ee00,388608,3,674,384.0,0.0,0.0
cfd,097K,h_elements_surrounding_elements,1,cuda_time_step,913265306.12,57.85,17024,1352558992.35,57.85,12544,18.73,11358.09,4.48,14.7,0.26,0.18,0.27,6.69,6.69,540974489795.92,18.73,57.85,31.29,4.25,0.0,8.67,0.11,93.33,1,0.07,6.67,30.78,32.0,131.91,130.07,130.07,749.51,239844,760.1,243232,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.22,53.47,60,93.75,111,0x20006005ee00,0x2000601da600,1554432,10,51,1664.0,0.0,0.0
cfd,097K,h_normals,2,cuda_time_step,913265306.12,57.85,17024,1352558992.35,57.85,12544,18.73,11358.09,4.48,14.7,0.26,0.18,0.27,6.69,6.69,540974489795.92,18.73,57.85,31.29,4.25,0.0,8.67,0.11,93.33,1,0.07,6.67,30.78,32.0,131.91,130.07,130.07,749.51,239844,760.1,243232,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.22,53.47,60,93.75,111,0x200060200000,0x200060672800,4663296,33,337,4608.0,0.0,0.0
