Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
cfd,193K,h_elements_surrounding_elements,1,cuda_compute_step_factor,801123595.51,53.71,16910,1183251404.49,53.71,14240,16.48,13489.55,23.59,13.45,1.17,0.94,1.18,29.47,29.47,440644943820.22,16.48,53.71,14.84,6.62,0.0,12.08,0.72,69.82,1,0.3,30.18,25.3,27.04,40.34,40.04,40.04,3945.76,1262643,3975.13,1272042,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.54,71.16,60,93.75,111,0x7f5d52200000,0x7f5d524f4000,3096576,20,33,3024.0,0.0,0.0
cfd,193K,h_normals,2,cuda_compute_step_factor,801123595.51,53.71,16910,1183251404.49,53.71,14240,16.48,13489.55,23.59,13.45,1.17,0.94,1.18,29.47,29.47,440644943820.22,16.48,53.71,14.84,6.62,0.0,12.08,0.72,69.82,1,0.3,30.18,25.3,27.04,40.34,40.04,40.04,3945.76,1262643,3975.13,1272042,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.54,71.16,60,93.75,111,0x7f5d52600000,0x7f5d52edc000,9289728,58,20,9072.0,0.0,0.0
cfd,193K,h_areas,0,cuda_compute_step_factor,832183908.05,52.58,17172,1229082854.41,52.58,13920,16.23,13626.66,23.01,13.32,1.15,0.91,1.16,28.88,28.88,448057471264.37,16.23,52.58,14.84,6.5,0.0,11.59,0.67,70.54,1,0.29,29.46,25.53,27.28,39.62,39.33,39.33,3907.41,1250370,3935.93,1259496,192,1008,20,0,0,0,193536,1.26,32,14,32,10,46.11,72.05,60,93.75,111,0x7f5d52000000,0x7f5d520bd000,774144,5,60,1024.0,0.0,0.0
cfd,193K,h_elements_surrounding_elements,1,cuda_compute_step_factor,832183908.05,52.58,17172,1229082854.41,52.58,13920,16.23,13626.66,23.01,13.32,1.15,0.91,1.16,28.88,28.88,448057471264.37,16.23,52.58,14.84,6.5,0.0,11.59,0.67,70.54,1,0.29,29.46,25.53,27.28,39.62,39.33,39.33,3907.41,1250370,3935.93,1259496,192,1008,20,0,0,0,193536,1.26,32,14,32,10,46.11,72.05,60,93.75,111,0x7f5d52200000,0x7f5d524f4000,3096576,20,33,3024.0,0.0,0.0
cfd,193K,h_normals,2,cuda_compute_step_factor,832183908.05,52.58,17172,1229082854.41,52.58,13920,16.23,13626.66,23.01,13.32,1.15,0.91,1.16,28.88,28.88,448057471264.37,16.23,52.58,14.84,6.5,0.0,11.59,0.67,70.54,1,0.29,29.46,25.53,27.28,39.62,39.33,39.33,3907.41,1250370,3935.93,1259496,192,1008,20,0,0,0,193536,1.26,32,14,32,10,46.11,72.05,60,93.75,111,0x7f5d52600000,0x7f5d52edc000,9289728,58,20,9072.0,0.0,0.0
cfd,193K,h_areas,0,cuda_compute_step_factor,871121718.38,52.43,17314,1287216587.11,52.43,13408,16.09,13655.55,22.39,13.29,1.12,0.89,1.13,28.3,28.3,467646778042.96,16.09,52.43,14.84,6.41,0.0,11.41,0.66,70.93,1,0.29,29.07,25.97,27.75,39.55,39.27,39.27,3838.12,1228198,3865.16,1236850,192,1008,20,0,0,0,193536,1.26,32,14,32,10,47.9,74.84,60,93.75,111,0x7f5d52000000,0x7f5d520bd000,774144,5,60,1024.0,0.0,0.0
cfd,193K,h_elements_surrounding_elements,1,cuda_compute_step_factor,871121718.38,52.43,17314,1287216587.11,52.43,13408,16.09,13655.55,22.39,13.29,1.12,0.89,1.13,28.3,28.3,467646778042.96,16.09,52.43,14.84,6.41,0.0,11.41,0.66,70.93,1,0.29,29.07,25.97,27.75,39.55,39.27,39.27,3838.12,1228198,3865.16,1236850,192,1008,20,0,0,0,193536,1.26,32,14,32,10,47.9,74.84,60,93.75,111,0x7f5d52200000,0x7f5d524f4000,3096576,20,33,3024.0,0.0,0.0
cfd,193K,h_normals,2,cuda_compute_step_factor,871121718.38,52.43,17314,1287216587.11,52.43,13408,16.09,13655.55,22.39,13.29,1.12,0.89,1.13,28.3,28.3,467646778042.96,16.09,52.43,14.84,6.41,0.0,11.41,0.66,70.93,1,0.29,29.07,25.97,27.75,39.55,39.27,39.27,3838.12,1228198,3865.16,1236850,192,1008,20,0,0,0,193536,1.26,32,14,32,10,47.9,74.84,60,93.75,111,0x7f5d52600000,0x7f5d52edc000,9289728,58,20,9072.0,0.0,0.0
cfd,missile0.2M,h_areas,0,cuda_compute_step_factor,755976095.62,59.32,18011,1117291251.66,59.32,16064,18.62,15626.31,30.6,13.96,1.39,1.21,1.41,35.14,35.14,459203187251.0,18.62,59.32,14.7,8.1,0.0,12.11,0.87,64.55,1,0.35,35.45,28.38,32.0,34.54,34.16,34.16,5431.27,1738008,5491.65,1757328,192,1212,20,0,0,0,232704,1.52,32,14,32,10,47.81,74.7,60,93.75,111,0x7f0c92000000,0x7f0c920e3400,930816,5,52,1024.0,0.0,0.0
cfd,missile0.2M,h_elements_surrounding_elements,1,cuda_compute_step_factor,755976095.62,59.32,18011,1117291251.66,59.32,16064,18.62,15626.31,30.6,13.96,1.39,1.21,1.41,35.14,35.14,459203187251.0,18.62,59.32,14.7,8.1,0.0,12.11,0.87,64.55,1,0.35,35.45,28.38,32.0,34.54,34.16,34.16,5431.27,1738008,5491.65,1757328,192,1212,20,0,0,0,232704,1.52,32,14,32,10,47.81,74.7,60,93.75,111,0x7f0c92200000,0x7f0c9258d000,3723264,20,26,3636.0,0.0,0.0
