kernel,InputData,advise0,advise1,advise2,advise3
Kernel,graph1MW.6,"[[7.644025355685136, 7.791360763848392, 7.806243580174929, 7.833365795918374, 7.7839634256559735, 7.737652615160351, 7.936766895043729], 0]","[[7.978108055393596, 8.02552985422741, 9.80900002332361, 7.109965886297375, 7.151600527696791, 7.247194565597667, 7.211979518950435], 0]","[[0.5416635393586003, 0.5721223994169095, 51.060164460641396, 0.5368217784256555, 0.5287796530612244, 0.7542068192419831, 0.5396197813411082], 0]","[[7.1538678950437316, 7.655898335276965, 8.391586787172013, 7.7246447609329465, 7.612111413994175, 8.341275005830905, 7.653994233236142], 0]"
Kernel,graph4096,"[[0.008907927113702625, 0.008862446064139932, 0.011837813411078717, 0.008824521865889208, 0.008922367346938768, 0.008864309037900869, 0.00895587172011662], 1]","[[0.008937827988338188, 0.008865664723032069, 0.011851005830903793, 0.008869734693877546, 0.008884545189504373, 0.008870580174927107, 0.008895897959183666], 5]","[[0.009033166180758024, 0.009012067055393579, 0.011216014577259478, 0.008828574344023316, 0.009017600583090377, 0.009036206997084541, 0.009031626822157428], 3]","[[0.008818871720116616, 0.008800947521865887, 0.011879705539358605, 0.008922731778425657, 0.008915244897959178, 0.008910615160349857, 0.00892713994169095], 1]"
Kernel,graph65536,"[[0.03968516326530619, 0.053778425655976715, 0.049184154518950446, 0.05374248979591835, 0.05895005247813412, 0.05009277259475221, 0.05596105247813407], 0]","[[0.03840782215743443, 0.05512723323615159, 0.05893798542274052, 0.05549376967930027, 0.04132837609329448, 0.055660367346938744, 0.05643855685131195], 0]","[[0.04210549854227405, 0.049668924198250676, 0.050097110787171995, 0.049769699708454816, 0.04760395043731779, 0.07087424781341105, 0.051274679300291545], 3]","[[0.04003961807580175, 0.047357836734693876, 0.047144446064139936, 0.04815094752186587, 0.04946156559766762, 0.0802756443148687, 0.04896405247813413], 0]"
Kernel2,graph1MW.6,"[[0.5906959708454808, 0.5882493411078722, 0.5877673615160351, 0.5909416151603492, 0.6083353119533526, 0.5967061078717202, 0.5917353731778422], 0]","[[0.40605163265306116, 0.42402681341107845, 1.7103393411078724, 0.39662669387755095, 0.41014246064139975, 0.40765271137026243, 0.3995914285714287], 0]","[[0.333106580174927, 0.3698217026239066, 2.0319551895043744, 0.3431050670553934, 0.3028535043731777, 0.4238446734693879, 0.34974436443148704], 0]","[[0.4085289970845477, 0.40730045481049576, 1.6968819446064154, 0.4069415102040818, 0.41202109912536444, 0.4191638134110787, 0.4035932623906705], 4]"
Kernel2,graph4096,"[[0.0038282215743440304, 0.0038094752186588945, 0.0038189212827988363, 0.0038101166180758016, 0.0038130320699708456, 0.0038081924198250777, 0.0038196793002915463], 1]","[[0.0038130320699708443, 0.003813731778425655, 0.0038223615160349832, 0.003812419825072886, 0.003814664723032068, 0.0038091253644314932, 0.003822303206997086], 5]","[[0.0038728571428571445, 0.003870524781341108, 0.0035550145772594837, 0.003787172011661805, 0.00387559766763848, 0.003871661807580176, 0.003874810495626821], 3]","[[0.003780991253644317, 0.0037871428571428565, 0.003831020408163268, 0.003825889212827986, 0.0038265889212827984, 0.0038297084548104964, 0.003826297376093296], 1]"
Kernel2,graph65536,"[[0.007011396501457722, 0.006883492711370265, 0.006907991253644314, 0.006896271137026235, 0.007207344023323616, 0.006942626822157438, 0.00685550728862974], 4]","[[0.006647172011661808, 0.006810638483965016, 0.006712947521865887, 0.006754067055393587, 0.007051040816326535, 0.007996381924198246, 0.006732381924198258], 4]","[[0.006289492711370263, 0.0063554344023323646, 0.005942034985422739, 0.006238282798833817, 0.007276466472303211, 0.010238906705539352, 0.00636401166180758], 2]","[[0.005717355685131195, 0.006077148688046648, 0.011918446064139936, 0.005871956268221573, 0.006044399416909616, 0.007168696793002912, 0.005906626822157431], 1]"
