==79074== NVPROF is profiling process 79074, command: ./lassen-executable/hotspot_11 1024 2 2 ../../data/hotspot/temp_1024 ../../data/hotspot/power_1024 output.out
==79074== Profiling application: ./lassen-executable/hotspot_11 1024 2 2 ../../data/hotspot/temp_1024 ../../data/hotspot/power_1024 output.out
WG size of kernel = 16 X 16
alloc FilesavingTemp
Number of allocated Data = 1
in api range: 0x200060000000 0x200060400000
alloc FilesavingPower
Number of allocated Data = 2
in api range: 0x200060400000 0x200060800000
pyramidHeight: 2
gridSize: [1024, 1024]
border:[2, 2]
blockGrid:[86, 86]
targetBlock:[12, 12]
Number of allocated Data = 3
in api range: 0x200060800000 0x200060c00000
Start computing the transient temperature
Ending simulation
removing 0 1
==79074== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.38369s         -                    -               -         -         -         -                -         -         -         PC 0x10003da0   0x200060800000  [Unified Memory CPU page faults]
1.38370s  3.0400us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060800000  [Unified Memory Memcpy DtoH]
1.38371s  4.9280us                    -               -         -         -         -  Tesla V100-SXM2         -         -          128.000000KB   0x200060080000  [Unified Memory Memcpy HtoD]
1.38371s  8.8960us                    -               -         -         -         -  Tesla V100-SXM2         -         -          384.000000KB   0x2000600a0000  [Unified Memory Memcpy HtoD]
1.38380s  5.2160us                    -               -         -         -         -  Tesla V100-SXM2         -         -          128.000000KB   0x200060480000  [Unified Memory Memcpy HtoD]
1.38381s  9.1520us                    -               -         -         -         -  Tesla V100-SXM2         -         -          384.000000KB   0x2000604a0000  [Unified Memory Memcpy HtoD]
1.38383s  86.816us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   156   0x200060880000  [Unified Memory GPU page faults]
1.38392s  186.75us                    -               -         -         -         -  Tesla V100-SXM2         -         -                   225   0x200060890000  [Unified Memory GPU page faults]
1.38408s  3.6480us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060800000  [Unified Memory Memcpy HtoD]
1.38411s  3.3600us                    -               -         -         -         -  Tesla V100-SXM2         -         -           64.000000KB   0x200060800000  [Unified Memory Memcpy DtoH]
1.38411s  245.44us                    -               -         -         -         -  Tesla V100-SXM2         -         -                    35   0x200060100000  [Unified Memory GPU page faults]
