kernel,InputData,advise0,advise1,advise2,variant,TimePerc,Time,calls,AVG,MIN,MAX
Fan1,32,0,1,0,10,30.74,0.114303,31,3.69E-03,3.58E-03,4.22E-03
Fan1,32,0,2,0,20,31.13,0.109886,31,3.54E-03,3.46E-03,4.06E-03
Fan1,32,0,3,0,30,29.74,0.110527,31,3.57E-03,3.49E-03,4.19E-03
Fan1,32,0,4,0,40,31.36,0.110943,31,3.58E-03,3.52E-03,4.10E-03
Fan1,32,0,5,0,50,31.41,0.111199,31,3.59E-03,3.52E-03,4.13E-03
Fan1,32,0,6,0,60,28.93,0.109728,31,3.54E-03,3.49E-03,4.06E-03
Fan1,32,1,0,0,100,67.16,0.246527,31,7.95E-03,3.49E-03,0.140223
Fan1,32,1,1,0,110,66.83,0.239165,31,7.72E-03,3.49E-03,0.13395
Fan1,32,1,2,0,120,66.89,0.237951,31,7.68E-03,3.46E-03,0.132351
Fan1,32,1,3,0,130,67.9,0.250141,31,8.07E-03,3.49E-03,0.144351
Fan1,32,1,4,0,140,65.84,0.226493,31,7.31E-03,3.46E-03,0.121343
Fan1,32,1,5,0,150,66.52,0.234556,31,7.57E-03,3.46E-03,0.129375
Fan1,32,1,6,0,160,65.93,0.22819,31,7.36E-03,3.49E-03,0.121695
Fan1,32,2,0,0,200,67.7,0.278461,31,8.98E-03,3.81E-03,0.16195
Fan1,32,2,1,0,210,66.4,0.232542,31,7.50E-03,3.49E-03,0.126335
Fan1,32,2,2,0,220,68.32,0.253118,31,8.16E-03,3.46E-03,0.147774
Fan1,32,2,3,0,230,67.86,0.247998,31,8.00E-03,3.49E-03,0.141855
Fan1,32,2,4,0,240,67.73,0.248317,31,8.01E-03,3.49E-03,0.142047
Fan1,32,2,5,0,250,69.17,0.263998,31,8.52E-03,3.52E-03,0.157374
Fan1,32,2,6,0,260,67.85,0.247743,31,7.99E-03,3.46E-03,0.140607
Fan1,32,3,0,0,300,66.06,0.241949,31,7.80E-03,3.58E-03,0.133183
Fan1,32,3,1,0,310,66.81,0.239519,31,7.73E-03,3.49E-03,0.132543
Fan1,32,3,2,0,320,67.22,0.250109,31,8.07E-03,3.58E-03,0.141342
Fan1,32,3,3,0,330,67.58,0.244446,31,7.89E-03,3.49E-03,0.138366
Fan1,32,3,4,0,340,67.54,0.247198,31,7.97E-03,3.52E-03,0.139935
Fan1,32,3,5,0,350,66.88,0.245822,31,7.93E-03,3.65E-03,0.135743
Fan1,32,3,6,0,360,68.28,0.253981,31,8.19E-03,3.46E-03,0.148319
Fan1,32,4,0,0,400,66.06,0.241053,31,7.78E-03,3.58E-03,0.132063
Fan1,32,4,1,0,410,67.45,0.243998,31,7.87E-03,3.46E-03,0.138654
Fan1,32,4,2,0,420,67,0.238526,31,7.69E-03,3.49E-03,0.132735
Fan1,32,4,3,0,430,65.6,0.231775,31,7.48E-03,3.58E-03,0.122271
Fan1,32,4,4,0,440,66.49,0.235101,31,7.58E-03,3.49E-03,0.129215
Fan1,32,4,5,0,450,67.2,0.266813,31,8.61E-03,3.87E-03,0.149631
Fan1,32,4,6,0,460,65.98,0.229054,31,7.39E-03,3.49E-03,0.122879
Fan1,32,5,0,0,500,67.39,0.250781,31,8.09E-03,3.52E-03,0.144574
Fan1,32,5,1,0,510,67.67,0.245918,31,7.93E-03,3.46E-03,0.140639
Fan1,32,5,2,0,520,66.61,0.235102,31,7.58E-03,3.49E-03,0.129695
Fan1,32,5,3,0,530,66.49,0.234047,31,7.55E-03,3.49E-03,0.128351
Fan1,32,5,4,0,540,67.2,0.24019,31,7.75E-03,3.46E-03,0.135071
Fan1,32,5,5,0,550,67.02,0.238875,31,7.71E-03,3.49E-03,0.132735
Fan1,32,5,6,0,560,67.73,0.246973,31,7.97E-03,3.49E-03,0.140511
Fan1,32,6,0,0,600,67.33,0.247934,31,8.00E-03,3.49E-03,0.141694
Fan1,32,6,1,0,610,66.71,0.235038,31,7.58E-03,3.49E-03,0.128959
Fan1,32,6,2,0,620,66.48,0.233309,31,7.53E-03,3.49E-03,0.128223
Fan1,32,6,3,0,630,68.59,0.256829,31,8.28E-03,3.49E-03,0.15107
Fan1,32,6,4,0,640,66.77,0.237406,31,7.66E-03,3.52E-03,0.130815
Fan1,32,6,5,0,650,67.07,0.249214,31,8.04E-03,3.58E-03,0.139871
Fan1,32,6,6,0,660,67.29,0.243711,31,7.86E-03,3.49E-03,0.138079
Fan1,48,0,0,0,0,46.94,0.18355,47,3.90E-03,3.84E-03,4.42E-03
Fan1,48,0,0,1,1,61.29,0.290397,47,6.18E-03,3.46E-03,0.12819
Fan1,48,0,0,2,2,63.68,0.325919,47,6.93E-03,3.49E-03,0.161791
Fan1,48,0,0,3,3,61.68,0.304283,47,6.47E-03,3.55E-03,0.137118
Fan1,48,0,0,4,4,61.78,0.296286,47,6.30E-03,3.46E-03,0.133983
Fan1,48,0,0,5,5,61.87,0.296831,47,6.32E-03,3.46E-03,0.134975
Fan1,48,0,0,6,6,61.92,0.298462,47,6.35E-03,3.46E-03,0.135807
Fan1,48,0,1,0,10,35.3,0.171647,47,3.65E-03,3.55E-03,4.22E-03
Fan1,48,0,2,0,20,35.58,0.166589,47,3.54E-03,3.49E-03,4.10E-03
Fan1,48,0,3,0,30,33.59,0.166592,47,3.54E-03,3.46E-03,4.06E-03
Fan1,48,0,4,0,40,34.94,0.168254,47,3.58E-03,3.52E-03,4.26E-03
Fan1,48,0,5,0,50,34.87,0.16659,47,3.54E-03,3.49E-03,4.10E-03
Fan1,48,0,6,0,60,34.82,0.167902,47,3.57E-03,3.49E-03,3.97E-03
Fan1,48,1,0,0,100,63.88,0.323101,47,6.87E-03,3.46E-03,0.161215
Fan1,48,1,1,0,110,62.51,0.301277,47,6.41E-03,3.49E-03,0.138015
Fan1,48,1,2,0,120,62.7,0.301887,47,6.42E-03,3.49E-03,0.139007
Fan1,48,1,3,0,130,62.32,0.300029,47,6.38E-03,3.52E-03,0.135359
Fan1,48,1,4,0,140,61.54,0.286146,47,6.09E-03,3.49E-03,0.124161
Fan1,48,1,5,0,150,61.5,0.289117,47,6.15E-03,3.49E-03,0.125343
Fan1,48,1,6,0,160,62.41,0.298047,47,6.34E-03,3.46E-03,0.135775
Fan1,48,2,0,0,200,62.41,0.334493,47,7.12E-03,3.81E-03,0.155391
Fan1,48,2,1,0,210,61.81,0.29091,47,6.19E-03,3.46E-03,0.129727
Fan1,48,2,2,0,220,61.52,0.289182,47,6.15E-03,3.52E-03,0.125311
Fan1,48,2,3,0,230,63.86,0.316733,47,6.74E-03,3.42E-03,0.155134
Fan1,48,2,4,0,240,63.92,0.322174,47,6.85E-03,3.55E-03,0.157599
Fan1,48,2,5,0,250,63.6,0.316222,47,6.73E-03,3.49E-03,0.152639
Fan1,48,2,6,0,260,63.32,0.310396,47,6.60E-03,3.46E-03,0.14787
Fan1,48,3,0,0,300,63.94,0.334173,47,7.11E-03,3.58E-03,0.166975
Fan1,48,3,1,0,310,63.5,0.312958,47,6.66E-03,3.49E-03,0.150047
Fan1,48,3,2,0,320,63.02,0.315806,47,6.72E-03,3.58E-03,0.148159
Fan1,48,3,3,0,330,62.45,0.300286,47,6.39E-03,3.49E-03,0.137055
Fan1,48,3,4,0,340,63.49,0.313118,47,6.66E-03,3.46E-03,0.151358
Fan1,48,3,5,0,350,63.32,0.32195,47,6.85E-03,3.58E-03,0.154079
Fan1,48,3,6,0,360,62.27,0.296349,47,6.31E-03,3.46E-03,0.134686
Fan1,48,4,0,0,400,63.05,0.321855,47,6.85E-03,3.55E-03,0.154175
Fan1,48,4,1,0,410,62.45,0.299102,47,6.36E-03,3.46E-03,0.137247
Fan1,48,4,2,0,420,63.03,0.308061,47,6.55E-03,3.49E-03,0.144895
Fan1,48,4,3,0,430,62.93,0.314269,47,6.69E-03,3.55E-03,0.147999
Fan1,48,4,4,0,440,63.26,0.311646,47,6.63E-03,3.52E-03,0.147615
Fan1,48,4,5,0,450,62.12,0.324286,47,6.90E-03,3.78E-03,0.146463
Fan1,48,4,6,0,460,62.2,0.29859,47,6.35E-03,3.49E-03,0.134847
Fan1,48,5,0,0,500,62.12,0.299199,47,6.36E-03,3.46E-03,0.137055
Fan1,48,5,1,0,510,63.05,0.308829,47,6.57E-03,3.52E-03,0.145439
Fan1,48,5,2,0,520,63.13,0.306239,47,6.52E-03,3.49E-03,0.144223
Fan1,48,5,3,0,530,63.08,0.338525,47,7.20E-03,3.78E-03,0.159647
Fan1,48,5,4,0,540,62.21,0.295772,47,6.29E-03,3.45E-03,0.133599
Fan1,48,5,5,0,550,62.21,0.299198,47,6.36E-03,3.46E-03,0.136223
Fan1,48,5,6,0,560,63.21,0.308346,47,6.56E-03,3.45E-03,0.145822
Fan1,48,6,0,0,600,61.78,0.298014,47,6.34E-03,3.52E-03,0.134239
Fan1,48,6,1,0,610,62.73,0.301662,47,6.42E-03,3.49E-03,0.139519
Fan1,48,6,2,0,620,62.65,0.301342,47,6.41E-03,3.49E-03,0.138495
Fan1,48,6,3,0,630,62.7,0.301468,47,6.41E-03,3.49E-03,0.138622
Fan1,48,6,4,0,640,64.36,0.357917,47,7.61E-03,3.81E-03,0.179103
Fan1,48,6,5,0,650,62.77,0.311453,47,6.63E-03,3.55E-03,0.145279
Fan1,48,6,6,0,660,62.66,0.30227,47,6.43E-03,3.46E-03,0.139999
Fan1,64,0,0,0,0,47.16,0.245983,63,3.90E-03,3.78E-03,4.42E-03
Fan1,64,0,0,1,1,58.79,0.351036,63,5.57E-03,3.49E-03,0.130559
Fan1,64,0,0,2,2,60.11,0.370205,63,5.88E-03,3.49E-03,0.149951
Fan1,64,0,0,3,3,58.71,0.361533,63,5.74E-03,3.58E-03,0.133919
Fan1,64,0,0,4,4,59.47,0.364991,63,5.79E-03,3.52E-03,0.142271
Fan1,64,0,0,5,5,58.58,0.348606,63,5.53E-03,3.49E-03,0.127775
Fan1,64,0,0,6,6,58.84,0.350718,63,5.57E-03,3.46E-03,0.130271
Fan1,64,0,1,0,10,37.68,0.232446,63,3.69E-03,3.55E-03,4.42E-03
Fan1,64,0,2,0,20,37.59,0.223423,63,3.55E-03,3.42E-03,4.10E-03
Fan1,64,0,3,0,30,36.18,0.227069,63,3.60E-03,3.52E-03,4.16E-03
Fan1,64,0,4,0,40,36.9,0.224798,63,3.57E-03,3.49E-03,4.03E-03
Fan1,64,0,5,0,50,35.91,0.226654,63,3.60E-03,3.49E-03,4.03E-03
Fan1,64,0,6,0,60,35.94,0.224189,63,3.56E-03,3.49E-03,4.19E-03
Fan1,64,1,0,0,100,60.47,0.378653,63,6.01E-03,3.49E-03,0.157631
Fan1,64,1,1,0,110,61.16,0.380092,63,6.03E-03,3.42E-03,0.160767
Fan1,64,1,2,0,120,59.31,0.354943,63,5.63E-03,3.49E-03,0.134239
Fan1,64,1,3,0,130,59.42,0.357981,63,5.68E-03,3.49E-03,0.137439
Fan1,64,1,4,0,140,60.15,0.369757,63,5.87E-03,3.49E-03,0.149118
Fan1,64,1,5,0,150,59.61,0.359005,63,5.70E-03,3.46E-03,0.139455
Fan1,64,1,6,0,160,60.2,0.366813,63,5.82E-03,3.46E-03,0.14755
Fan1,64,2,0,0,200,59.43,0.394718,63,6.27E-03,3.78E-03,0.153791
Fan1,64,2,1,0,210,58.83,0.349918,63,5.55E-03,3.49E-03,0.129375
Fan1,64,2,2,0,220,59.58,0.356701,63,5.66E-03,3.49E-03,0.136799
Fan1,64,2,3,0,230,61.95,0.400509,63,6.36E-03,3.52E-03,0.178111
Fan1,64,2,4,0,240,60.35,0.371579,63,5.90E-03,3.49E-03,0.150398
Fan1,64,2,5,0,250,60.11,0.365055,63,5.79E-03,3.46E-03,0.144671
Fan1,64,2,6,0,260,60.3,0.368478,63,5.85E-03,3.46E-03,0.149151
Fan1,64,3,0,0,300,59.73,0.377855,63,6.00E-03,3.58E-03,0.149567
Fan1,64,3,1,0,310,60.02,0.368061,63,5.84E-03,3.55E-03,0.145342
Fan1,64,3,2,0,320,59.9,0.374363,63,5.94E-03,3.58E-03,0.146558
Fan1,64,3,3,0,330,59.5,0.36019,63,5.72E-03,3.52E-03,0.137343
Fan1,64,3,4,0,340,61.37,0.386014,63,6.13E-03,3.49E-03,0.165567
Fan1,64,3,5,0,350,59.57,0.366812,63,5.82E-03,3.55E-03,0.141022
Fan1,64,3,6,0,360,60.3,0.372893,63,5.92E-03,3.49E-03,0.151935
Fan1,64,4,0,0,400,60.51,0.388702,63,6.17E-03,3.55E-03,0.162463
Fan1,64,4,1,0,410,59.86,0.362844,63,5.76E-03,3.52E-03,0.142047
Fan1,64,4,2,0,420,60.15,0.365948,63,5.81E-03,3.46E-03,0.146879
Fan1,64,4,3,0,430,59.46,0.37043,63,5.88E-03,3.62E-03,0.141759
Fan1,64,4,4,0,440,60.87,0.378237,63,6.00E-03,3.49E-03,0.158463
Fan1,64,4,5,0,450,59.43,0.393564,63,6.25E-03,3.81E-03,0.150623
Fan1,64,4,6,0,460,60.86,0.37619,63,5.97E-03,3.42E-03,0.157119
Fan1,64,5,0,0,500,59.55,0.362876,63,5.76E-03,3.49E-03,0.141439
Fan1,64,5,1,0,510,59.66,0.359231,63,5.70E-03,3.49E-03,0.139615
Fan1,64,5,2,0,520,59.6,0.358972,63,5.70E-03,3.49E-03,0.139166
Fan1,64,5,3,0,530,58.9,0.382719,63,6.07E-03,3.81E-03,0.141503
Fan1,64,5,4,0,540,60.53,0.370845,63,5.89E-03,3.46E-03,0.150558
Fan1,64,5,5,0,550,59.54,0.356796,63,5.66E-03,3.46E-03,0.137599
Fan1,64,5,6,0,560,59.76,0.361562,63,5.74E-03,3.46E-03,0.141439
Fan1,64,6,0,0,600,59.91,0.370332,63,5.88E-03,3.52E-03,0.147454
Fan1,64,6,1,0,610,60.24,0.367932,63,5.84E-03,3.46E-03,0.147582
Fan1,64,6,2,0,620,61.35,0.384732,63,6.11E-03,3.46E-03,0.164959
Fan1,64,6,3,0,630,60.17,0.368735,63,5.85E-03,3.49E-03,0.147423
Fan1,64,6,4,0,640,60.65,0.416766,63,6.61E-03,3.84E-03,0.172478
Fan1,64,6,5,0,650,59.36,0.366812,63,5.82E-03,3.55E-03,0.139327
Fan1,64,6,6,0,660,61.54,0.391644,63,6.22E-03,3.49E-03,0.169118
Fan1,80,0,0,0,0,47.11,0.315165,79,3.99E-03,3.87E-03,4.48E-03
Fan1,80,0,0,1,1,57.05,0.417212,79,5.28E-03,3.42E-03,0.139295
Fan1,80,0,0,2,2,57.54,0.425083,79,5.38E-03,3.49E-03,0.146878
Fan1,80,0,0,3,3,56.58,0.421369,79,5.33E-03,3.58E-03,0.135135
Fan1,80,0,0,4,4,58.33,0.441212,79,5.58E-03,3.52E-03,0.159743
Fan1,80,0,0,5,5,58.2,0.436063,79,5.52E-03,3.46E-03,0.158847
Fan1,80,0,0,6,6,57.27,0.42179,79,5.34E-03,3.49E-03,0.140959
Fan1,80,0,1,0,10,39.15,0.293662,79,3.72E-03,3.58E-03,4.32E-03
Fan1,80,0,2,0,20,38.27,0.284987,79,3.61E-03,3.49E-03,4.16E-03
Fan1,80,0,3,0,30,39.23,0.283486,79,3.59E-03,3.46E-03,4.03E-03
Fan1,80,0,4,0,40,37.73,0.2832,79,3.58E-03,3.46E-03,4.16E-03
Fan1,80,0,5,0,50,39.21,0.282748,79,3.58E-03,3.46E-03,4.29E-03
Fan1,80,0,6,0,60,37.35,0.283773,79,3.59E-03,3.46E-03,4.16E-03
Fan1,80,1,0,0,100,58.65,0.444668,79,5.63E-03,3.49E-03,0.167327
Fan1,80,1,1,0,110,58.31,0.434589,79,5.50E-03,3.52E-03,0.154335
Fan1,80,1,2,0,120,58.35,0.434302,79,5.50E-03,3.49E-03,0.156159
Fan1,80,1,3,0,130,56.71,0.407038,79,5.15E-03,3.46E-03,0.127295
Fan1,80,1,4,0,140,57.18,0.41427,79,5.24E-03,3.49E-03,0.136351
Fan1,80,1,5,0,150,57.37,0.417595,79,5.29E-03,3.46E-03,0.139263
Fan1,80,1,6,0,160,57.99,0.427644,79,5.41E-03,3.49E-03,0.148607
Fan1,80,2,0,0,200,56.97,0.456606,79,5.78E-03,3.81E-03,0.151839
Fan1,80,2,1,0,210,57.86,0.426204,79,5.39E-03,3.46E-03,0.148703
Fan1,80,2,2,0,220,56.58,0.403932,79,5.11E-03,3.49E-03,0.126687
Fan1,80,2,3,0,230,58.19,0.431549,79,5.46E-03,3.46E-03,0.153727
Fan1,80,2,4,0,240,58.49,0.437628,79,5.54E-03,3.49E-03,0.159806
Fan1,80,2,5,0,250,57.79,0.424541,79,5.37E-03,3.49E-03,0.146911
Fan1,80,2,6,0,260,57.5,0.419932,79,5.32E-03,3.49E-03,0.140094
Fan1,80,3,0,0,300,56.92,0.426588,79,5.40E-03,3.55E-03,0.140767
Fan1,80,3,1,0,310,57.35,0.417373,79,5.28E-03,3.46E-03,0.139551
Fan1,80,3,2,0,320,57.68,0.435036,79,5.51E-03,3.55E-03,0.149375
Fan1,80,3,3,0,330,57.19,0.415133,79,5.25E-03,3.49E-03,0.136191
Fan1,80,3,4,0,340,57.87,0.425565,79,5.39E-03,3.46E-03,0.147583
Fan1,80,3,5,0,350,57.51,0.432668,79,5.48E-03,3.55E-03,0.146655
Fan1,80,3,6,0,360,59.24,0.44966,79,5.69E-03,3.49E-03,0.170718
Fan1,80,4,0,0,400,56.84,0.424988,79,5.38E-03,3.58E-03,0.137407
Fan1,80,4,1,0,410,57.39,0.418012,79,5.29E-03,3.49E-03,0.139967
Fan1,80,4,2,0,420,57.46,0.419257,79,5.31E-03,3.49E-03,0.140222
Fan1,80,4,3,0,430,59.24,0.464507,79,5.88E-03,3.52E-03,0.178655
Fan1,80,4,4,0,440,58.98,0.44579,79,5.64E-03,3.46E-03,0.168479
Fan1,80,4,5,0,450,56.87,0.451228,79,5.71E-03,3.81E-03,0.146143
Fan1,80,4,6,0,460,57.45,0.418493,79,5.30E-03,3.46E-03,0.138975
Fan1,80,5,0,0,500,57.05,0.416188,79,5.27E-03,3.46E-03,0.139039
Fan1,80,5,1,0,510,59.56,0.458075,79,5.80E-03,3.46E-03,0.178334
Fan1,80,5,2,0,520,57.37,0.417052,79,5.28E-03,3.49E-03,0.139167
Fan1,80,5,3,0,530,57.04,0.455485,79,5.77E-03,3.81E-03,0.148223
Fan1,80,5,4,0,540,58.77,0.441116,79,5.58E-03,3.46E-03,0.163263
Fan1,80,5,5,0,550,58.31,0.433341,79,5.49E-03,3.49E-03,0.155807
Fan1,80,5,6,0,560,57.91,0.426846,79,5.40E-03,3.46E-03,0.149919
Fan1,80,6,0,0,600,57.86,0.431228,79,5.46E-03,3.52E-03,0.151007
Fan1,80,6,1,0,610,58.28,0.432573,79,5.48E-03,3.49E-03,0.153311
Fan1,80,6,2,0,620,58.03,0.428955,79,5.43E-03,3.46E-03,0.150335
Fan1,80,6,3,0,630,57.3,0.416541,79,5.27E-03,3.42E-03,0.139039
Fan1,80,6,4,0,640,56.88,0.45075,79,5.71E-03,3.84E-03,0.143359
Fan1,80,6,5,0,650,58.08,0.443293,79,5.61E-03,3.58E-03,0.155391
Fan1,80,6,6,0,660,59.16,0.44934,79,5.69E-03,3.46E-03,0.171135
Fan1,96,0,0,0,0,45.48,0.37523,95,3.95E-03,3.78E-03,4.48E-03
Fan1,96,0,0,1,1,54.53,0.478972,95,5.04E-03,3.49E-03,0.140127
Fan1,96,0,0,2,2,54.65,0.481468,95,5.07E-03,3.46E-03,0.144671
Fan1,96,0,0,3,3,54.13,0.485918,95,5.11E-03,3.55E-03,0.138943
Fan1,96,0,0,4,4,55.07,0.49209,95,5.18E-03,3.52E-03,0.151007
Fan1,96,0,0,5,5,54.45,0.478874,95,5.04E-03,3.52E-03,0.13939
Fan1,96,0,0,6,6,54.68,0.481116,95,5.06E-03,3.52E-03,0.142399
Fan1,96,0,1,0,10,39.34,0.353696,95,3.72E-03,3.58E-03,4.19E-03
Fan1,96,0,2,0,20,38.58,0.341854,95,3.60E-03,3.49E-03,4.06E-03
Fan1,96,0,3,0,30,39.29,0.341563,95,3.59E-03,3.46E-03,4.03E-03
Fan1,96,0,4,0,40,37.85,0.341277,95,3.59E-03,3.46E-03,4.13E-03
Fan1,96,0,5,0,50,38.62,0.376697,95,3.97E-03,3.81E-03,4.48E-03
Fan1,96,0,6,0,60,38.42,0.376508,95,3.96E-03,3.84E-03,4.45E-03
Fan1,96,1,0,0,100,54.46,0.477629,95,5.03E-03,3.52E-03,0.139551
Fan1,96,1,1,0,110,55.28,0.4895,95,5.15E-03,3.49E-03,0.153119
Fan1,96,1,2,0,120,57.1,0.530268,95,5.58E-03,3.52E-03,0.188799
Fan1,96,1,3,0,130,55.27,0.488764,95,5.14E-03,3.49E-03,0.151519
Fan1,96,1,4,0,140,54.2,0.469532,95,4.94E-03,3.49E-03,0.130046
Fan1,96,1,5,0,150,54.09,0.466811,95,4.91E-03,3.45E-03,0.130078
Fan1,96,1,6,0,160,54.72,0.477916,95,5.03E-03,3.49E-03,0.139166
Fan1,96,2,0,0,200,54.23,0.523899,95,5.51E-03,3.81E-03,0.153535
Fan1,96,2,1,0,210,54.62,0.476573,95,5.02E-03,3.49E-03,0.139967
Fan1,96,2,2,0,220,53.94,0.464509,95,4.89E-03,3.46E-03,0.128095
Fan1,96,2,3,0,230,54.73,0.479643,95,5.05E-03,3.49E-03,0.142111
Fan1,96,2,4,0,240,55.49,0.494493,95,5.21E-03,3.46E-03,0.158078
Fan1,96,2,5,0,250,55.59,0.495869,95,5.22E-03,3.49E-03,0.157983
Fan1,96,2,6,0,260,55.28,0.488668,95,5.14E-03,3.52E-03,0.150079
Fan1,96,3,0,0,300,55.76,0.519262,95,5.46E-03,3.58E-03,0.170015
Fan1,96,3,1,0,310,55.18,0.487676,95,5.13E-03,3.46E-03,0.151007
Fan1,96,3,2,0,320,54.84,0.496636,95,5.23E-03,3.58E-03,0.149311
Fan1,96,3,3,0,330,54.34,0.471227,95,4.96E-03,3.45E-03,0.135295
Fan1,96,3,4,0,340,54.69,0.478553,95,5.04E-03,3.49E-03,0.13891
Fan1,96,3,5,0,350,54.94,0.497595,95,5.24E-03,3.58E-03,0.149855
Fan1,96,3,6,0,360,55.03,0.484537,95,5.10E-03,3.49E-03,0.145599
