Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
cfd,193K,h_normals,2,cuda_compute_step_factor,836517467.25,50.13,18133,1233021743.09,50.13,14656,15.35,14070.58,22.51,12.89,1.15,0.89,1.16,28.91,28.91,429436681222.71,15.35,50.13,14.34,6.42,0.0,10.9,0.66,70.52,1,0.29,29.48,23.66,25.4,37.32,36.97,36.97,4029.81,1289539,4067.34,1301550,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.37,70.89,60,93.75,111,0x200060600000,0x200060edc000,9289728,58,151,9088.0,0.0,0.0
cfd,193K,h_areas,0,cuda_compute_step_factor,824417372.88,49.42,18438,1216101694.92,49.42,15104,15.09,13307.62,21.49,13.63,1.18,0.85,1.19,29.65,29.65,417207627118.64,15.09,49.42,14.34,6.15,0.0,11.66,0.67,69.76,1,0.3,30.24,24.32,26.1,38.88,38.55,38.55,3912.18,1251898,3946.01,1262724,192,1008,20,0,0,0,193536,1.26,32,14,32,10,44.78,69.96,60,93.75,111,0x200060000000,0x2000600bd000,774144,5,636,1024.0,0.0,0.0
cfd,193K,h_elements_surrounding_elements,1,cuda_compute_step_factor,824417372.88,49.42,18438,1216101694.92,49.42,15104,15.09,13307.62,21.49,13.63,1.18,0.85,1.19,29.65,29.65,417207627118.64,15.09,49.42,14.34,6.15,0.0,11.66,0.67,69.76,1,0.3,30.24,24.32,26.1,38.88,38.55,38.55,3912.18,1251898,3946.01,1262724,192,1008,20,0,0,0,193536,1.26,32,14,32,10,44.78,69.96,60,93.75,111,0x200060200000,0x2000604f4000,3096576,21,379,3072.0,0.0,0.0
cfd,193K,h_normals,2,cuda_compute_step_factor,824417372.88,49.42,18438,1216101694.92,49.42,15104,15.09,13307.62,21.49,13.63,1.18,0.85,1.19,29.65,29.65,417207627118.64,15.09,49.42,14.34,6.15,0.0,11.66,0.67,69.76,1,0.3,30.24,24.32,26.1,38.88,38.55,38.55,3912.18,1251898,3946.01,1262724,192,1008,20,0,0,0,193536,1.26,32,14,32,10,44.78,69.96,60,93.75,111,0x200060600000,0x200060edc000,9289728,58,151,9088.0,0.0,0.0
cfd,193K,h_areas,0,cuda_compute_step_factor,820734341.25,50.64,17994,1208828293.74,50.64,14816,15.47,13600.58,21.66,13.34,1.13,0.86,1.14,28.51,28.51,425576673866.09,15.47,50.64,14.34,6.27,0.0,11.68,0.67,70.04,1,0.3,29.96,24.71,26.5,39.3,38.99,38.99,3846.62,1230918,3877.78,1240890,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.5,71.09,60,93.75,111,0x200060000000,0x2000600bd000,774144,5,636,1024.0,0.0,0.0
cfd,193K,h_elements_surrounding_elements,1,cuda_compute_step_factor,820734341.25,50.64,17994,1208828293.74,50.64,14816,15.47,13600.58,21.66,13.34,1.13,0.86,1.14,28.51,28.51,425576673866.09,15.47,50.64,14.34,6.27,0.0,11.68,0.67,70.04,1,0.3,29.96,24.71,26.5,39.3,38.99,38.99,3846.62,1230918,3877.78,1240890,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.5,71.09,60,93.75,111,0x200060200000,0x2000604f4000,3096576,21,379,3072.0,0.0,0.0
cfd,193K,h_normals,2,cuda_compute_step_factor,820734341.25,50.64,17994,1208828293.74,50.64,14816,15.47,13600.58,21.66,13.34,1.13,0.86,1.14,28.51,28.51,425576673866.09,15.47,50.64,14.34,6.27,0.0,11.68,0.67,70.04,1,0.3,29.96,24.71,26.5,39.3,38.99,38.99,3846.62,1230918,3877.78,1240890,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.5,71.09,60,93.75,111,0x200060600000,0x200060edc000,9289728,58,151,9088.0,0.0,0.0
cfd,193K,h_areas,0,cuda_compute_step_factor,807359307.36,51.65,17649,1189055735.93,51.65,14784,15.77,13521.21,21.62,13.42,1.11,0.86,1.12,28.11,28.11,426982683982.68,15.77,51.65,14.34,6.35,0.0,11.52,0.65,70.82,1,0.29,29.18,25.21,27.03,39.84,39.47,39.47,3765.59,1204990,3800.18,1216057,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.78,71.53,60,93.75,111,0x200060000000,0x2000600bd000,774144,5,636,1024.0,0.0,0.0
cfd,193K,h_elements_surrounding_elements,1,cuda_compute_step_factor,807359307.36,51.65,17649,1189055735.93,51.65,14784,15.77,13521.21,21.62,13.42,1.11,0.86,1.12,28.11,28.11,426982683982.68,15.77,51.65,14.34,6.35,0.0,11.52,0.65,70.82,1,0.29,29.18,25.21,27.03,39.84,39.47,39.47,3765.59,1204990,3800.18,1216057,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.78,71.53,60,93.75,111,0x200060200000,0x2000604f4000,3096576,21,379,3072.0,0.0,0.0
cfd,193K,h_normals,2,cuda_compute_step_factor,807359307.36,51.65,17649,1189055735.93,51.65,14784,15.77,13521.21,21.62,13.42,1.11,0.86,1.12,28.11,28.11,426982683982.68,15.77,51.65,14.34,6.35,0.0,11.52,0.65,70.82,1,0.29,29.18,25.21,27.03,39.84,39.47,39.47,3765.59,1204990,3800.18,1216057,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.78,71.53,60,93.75,111,0x200060600000,0x200060edc000,9289728,58,151,9088.0,0.0,0.0
