kernel,InputData,advise0,advise1,advise2,advise3
Kernel,graph1MW.6,"[[14.846047466472298, 14.938124233236156, 14.94382633527697, 14.882360346938773, 15.069065909620988, 15.507076373177844, 14.912892206997089], 0]","[[13.034933577259475, 14.840821460641402, 17.517535580174922, 14.857270137026234, 14.991079629737607, 15.13759014285715, 14.720162344023324], 0]","[[1.7288250291545189, 1.7766290583090387, 92.99815757725945, 1.7579971749271157, 2.5135960320699704, 2.560374918367347, 1.7638130816326538], 0]","[[11.753050349854227, 14.305025390670552, 16.593200282798833, 14.278493361516038, 16.91704670553936, 17.02468522157434, 14.22789155976677], 0]"
Kernel,graph4096,"[[0.006957376093294457, 0.0070263790087463475, 0.007016708454810495, 0.006988600583090375, 0.007056364431486875, 0.006960865889212825, 0.007019026239067047], 0]","[[0.006192058309037904, 0.006263026239067045, 0.011629431486880462, 0.006214084548104951, 0.006262379008746349, 0.006220804664723027, 0.006243536443148675], 0]","[[0.006172542274052473, 0.006235679300291538, 0.011700215743440235, 0.0061460758017492624, 0.006338556851311943, 0.006187128279883374, 0.006245122448979584], 0]","[[0.006691043731778416, 0.006674784256559761, 0.00908120116618075, 0.006625253644314862, 0.006645209912536428, 0.006667457725947507, 0.006640370262390664], 0]"
Kernel,graph65536,"[[0.15778656851311956, 0.20465646064139936, 0.1980780728862973, 0.19128645189504362, 0.21033981049562683, 0.22929705247813417, 0.19074315451895044], 0]","[[0.20442413994169092, 0.17787581049562673, 0.2800756530612245, 0.18506404956268221, 0.17084559475218652, 0.2014414081632653, 0.162460915451895], 0]","[[0.13510127988338183, 0.1443571865889213, 0.3456111341107871, 0.1451114518950437, 0.21988544023323625, 0.249108309037901, 0.14301276967930024], 0]","[[0.16257679008746348, 0.10184653935860061, 0.263660443148688, 0.1053537055393586, 0.31891372594752215, 0.3101450845481048, 0.11969128279883379], 5]"
Kernel2,graph1MW.6,"[[1.5103912915451896, 1.5284955422740523, 1.5246929795918371, 1.52093784548105, 1.5053564169096212, 1.5190171603498546, 1.5262264985422747], 4]","[[0.9847573673469389, 1.067036002915452, 3.895556329446065, 1.0811798192419824, 1.2642430320699711, 1.2688362769679304, 1.0735089067055392], 1]","[[0.9062527084548103, 0.9535181603498546, 4.213662379008747, 0.9610300000000002, 1.233418559766764, 1.4018452769679304, 0.9653906501457724], 1]","[[0.9669458571428572, 1.0307525685131198, 4.131376644314871, 1.0274160495626825, 1.2213694839650147, 1.2210615510204088, 1.0361955801749272], 1]"
Kernel2,graph4096,"[[0.0022535510204081603, 0.0022810553935860025, 0.0023193381924198225, 0.0022496384839650117, 0.002295402332361514, 0.0022737609329446028, 0.0023035306122448952], 0]","[[0.0023156122448979573, 0.0023531953352769626, 0.002112215743440232, 0.0022977784256559735, 0.0023078221574343977, 0.0022944198250728813, 0.002295233236151599], 1]","[[0.00226331778425656, 0.0023465422740524726, 0.002084227405247813, 0.0022548425655976624, 0.0023779008746355633, 0.0022793760932944547, 0.002370069970845476], 1]","[[0.0013669387755101993, 0.001365626822157429, 0.007782341107871717, 0.001365393586005825, 0.0013654227405247752, 0.0013651603498542214, 0.0013653935860058247], 0]"
Kernel2,graph65536,"[[0.05890910787172013, 0.07800405247813413, 0.07922897084548106, 0.07702083381924199, 0.07510285422740523, 0.07023536151603499, 0.07955763848396502], 0]","[[0.04924320408163264, 0.05348995626822159, 0.17729064431486877, 0.05207027113702623, 0.0647417026239067, 0.07054045772594751, 0.05068258309037901], 0]","[[0.05334601749271136, 0.0512358192419825, 0.09814761516034987, 0.051474551020408175, 0.0880762361516035, 0.1275500437317785, 0.04822853644314869], 0]","[[0.036406696793002916, 0.03173789212827989, 0.2606743032069971, 0.0349854110787172, 0.056592551020408124, 0.05922925364431487, 0.03843271137026238], 4]"
