kernel,InputData,advise0,advise1,advise2,advise3,advise4,advise5,variant,TimePerc,Time,calls,AVG,MIN,MAX
Kernel,graph1MW.6,0,1,1,3,0,0,11300,25.82,1.936733,12,0.161394,6.14E-03,1.018189
Kernel,graph1MW.6,0,1,3,3,0,0,13300,24.75,1.939233,12,0.161602,6.08E-03,0.924576
Kernel,graph1MW.6,0,3,1,6,0,0,31600,25.18,1.940606,12,0.161717,6.18E-03,0.931231
Kernel,graph1MW.6,0,3,3,1,0,0,33100,25.03,1.943453,12,0.161954,6.14E-03,0.972574
Kernel,graph1MW.6,0,6,3,6,0,0,63600,25.76,1.971647,12,0.164303,6.11E-03,0.979424
Kernel,graph1MW.6,0,1,6,1,0,0,16100,25.73,1.995137,12,0.166261,6.24E-03,1.018304
Kernel,graph1MW.6,0,1,6,6,0,0,16600,25.51,1.996093,12,0.166341,6.08E-03,0.996543
Kernel,graph1MW.6,0,6,3,1,0,0,63100,26.67,2.003166,12,0.16693,6.11E-03,1.033599
Kernel,graph1MW.6,0,3,3,6,0,0,33600,26.7,2.026623,12,0.168885,6.11E-03,0.983423
Kernel,graph1MW.6,0,3,3,3,0,0,33300,25.93,2.056256,12,0.171354,6.21E-03,1.042784
Kernel,graph1MW.6,0,1,6,3,0,0,16300,26.23,2.058624,12,0.171552,6.08E-03,1.050784
Kernel,graph1MW.6,0,1,0,3,0,0,10300,25.55,2.11023,12,0.175852,6.18E-03,1.076778
Kernel,graph1MW.6,0,1,1,1,0,0,11100,27.25,2.175641,12,0.181303,6.05E-03,1.221513
Kernel,graph1MW.6,0,3,6,6,0,0,36600,27.09,2.409278,12,0.200773,6.05E-03,1.310719
Kernel,graph1MW.6,0,3,6,3,0,0,36300,27.34,2.470444,12,0.20587,6.05E-03,1.324228
Kernel,graph1MW.6,2,0,3,0,0,0,203000,35.38,2.569498,12,0.214124,6.18E-03,1.114333
Kernel,graph1MW.6,2,0,6,0,0,0,206000,34.94,2.59222,12,0.216018,6.11E-03,1.156638
Kernel,graph1MW.6,2,0,0,0,0,0,200000,37.71,2.600428,12,0.216702,6.05E-03,1.089386
Kernel,graph1MW.6,3,0,0,0,0,0,300000,36.97,2.617021,12,0.218085,6.11E-03,1.253055
Kernel,graph1MW.6,1,0,0,0,0,0,100000,36.24,2.631037,12,0.219253,6.11E-03,1.234463
Kernel,graph1MW.6,6,0,0,0,0,0,600000,37.2,2.724524,12,0.227043,6.11E-03,1.254983
Kernel,graph1MW.6,1,0,6,0,0,0,106000,36.69,2.777533,12,0.231461,6.11E-03,1.238462
Kernel,graph1MW.6,6,0,6,0,0,0,606000,37.11,2.869408,12,0.239117,6.21E-03,1.269056
Kernel,graph1MW.6,2,0,0,1,0,0,200100,39.27,2.874052,12,0.239504,6.18E-03,1.159201
Kernel,graph1MW.6,2,1,0,0,0,0,210000,39.39,2.874492,12,0.239541,6.21E-03,1.140414
Kernel,graph1MW.6,2,6,0,0,0,0,260000,40.1,2.878365,12,0.239863,6.08E-03,1.098911
Kernel,graph1MW.6,2,0,1,1,0,0,201100,36.77,2.901632,12,0.241802,6.05E-03,1.144928
Kernel,graph1MW.6,3,0,1,0,0,0,301000,37.21,2.907573,12,0.242297,6.08E-03,1.253372
Kernel,graph1MW.6,6,0,3,0,0,0,603000,36.57,2.908513,12,0.242376,6.08E-03,1.307937
Kernel,graph1MW.6,3,0,3,0,0,0,303000,36.75,2.910078,12,0.242506,6.08E-03,1.280191
Kernel,graph1MW.6,1,0,3,0,0,0,103000,37.53,2.945537,12,0.245461,6.14E-03,1.284421
Kernel,graph1MW.6,2,3,0,0,0,0,230000,40.2,2.986051,12,0.248837,6.11E-03,1.144072
Kernel,graph1MW.6,2,3,6,0,0,0,236000,38.25,3.007202,12,0.2506,6.14E-03,1.122472
Kernel,graph1MW.6,2,6,3,0,0,0,263000,37.93,3.038234,12,0.253186,6.14E-03,1.118302
Kernel,graph1MW.6,1,0,0,1,0,0,100100,40.17,3.08483,12,0.257069,6.11E-03,1.235487
Kernel,graph1MW.6,2,1,3,0,0,0,213000,38.23,3.094587,12,0.257882,6.17E-03,1.120616
Kernel,graph1MW.6,1,1,0,0,0,0,110000,41.43,3.107169,12,0.25893,6.18E-03,1.296257
Kernel,graph1MW.6,2,3,3,0,0,0,233000,38.6,3.108733,12,0.259061,6.14E-03,1.178623
Kernel,graph1MW.6,1,0,1,0,0,0,101000,39.2,3.10896,12,0.25908,6.18E-03,1.1626
Kernel,graph1MW.6,3,0,6,0,0,0,306000,39.02,3.113983,12,0.259498,6.21E-03,1.189376
Kernel,graph1MW.6,6,0,0,3,0,0,600300,42.18,3.117407,12,0.259783,6.21E-03,1.235456
Kernel,graph1MW.6,3,0,0,6,0,0,300600,40.98,3.11888,12,0.259906,6.21E-03,1.25872
Kernel,graph1MW.6,2,1,6,0,0,0,216000,38.7,3.148767,12,0.262397,6.08E-03,1.141536
Kernel,graph1MW.6,6,0,1,1,0,0,601100,38.89,3.16013,12,0.263344,6.11E-03,1.29264
Kernel,graph1MW.6,1,3,0,0,0,0,130000,41.83,3.161535,12,0.263461,6.24E-03,1.23536
Kernel,graph1MW.6,2,0,1,3,0,0,201300,39.73,3.162076,12,0.263506,6.08E-03,1.145278
Kernel,graph1MW.6,1,0,1,1,0,0,101100,40.24,3.166968,12,0.263914,6.11E-03,1.250781
Kernel,graph1MW.6,3,1,0,0,0,0,310000,41.01,3.169855,12,0.264154,6.21E-03,1.30624
Kernel,graph1MW.6,1,6,0,0,0,0,160000,42.09,3.181315,12,0.265109,6.08E-03,1.255112
Kernel,graph1MW.6,3,3,0,0,0,0,330000,41.73,3.181665,12,0.265138,6.08E-03,1.241888
Kernel,graph1MW.6,2,1,1,0,0,0,211000,42.71,3.192087,12,0.266007,6.11E-03,1.188933
Kernel,graph1MW.6,3,6,0,0,0,0,360000,42.51,3.203713,12,0.266976,6.27E-03,1.266496
Kernel,graph1MW.6,2,0,3,1,0,0,203100,38.82,3.205852,12,0.267154,6.17E-03,1.129768
Kernel,graph1MW.6,2,6,6,0,0,0,266000,38.93,3.212832,12,0.267736,6.18E-03,1.150784
Kernel,graph1MW.6,2,1,0,1,0,0,210100,43.1,3.225466,12,0.268788,6.08E-03,1.159294
Kernel,graph1MW.6,3,0,0,3,0,0,300300,41.91,3.240894,12,0.270074,6.11E-03,1.281766
Kernel,graph1MW.6,2,0,6,3,0,0,206300,40.98,3.248249,12,0.270687,6.14E-03,1.140743
Kernel,graph1MW.6,6,0,0,6,0,0,600600,42.31,3.251454,12,0.270954,6.21E-03,1.333381
Kernel,graph1MW.6,1,3,6,0,0,0,136000,41.21,3.25328,12,0.271106,6.14E-03,1.225504
Kernel,graph1MW.6,2,0,1,6,0,0,201600,40.21,3.260065,12,0.271672,6.08E-03,1.158697
Kernel,graph1MW.6,3,3,1,0,0,0,331000,41.48,3.265089,12,0.27209,6.11E-03,1.209536
Kernel,graph1MW.6,2,0,3,3,0,0,203300,40.08,3.268961,12,0.272413,6.11E-03,1.165257
Kernel,graph1MW.6,2,3,1,0,0,0,231000,41.06,3.269759,12,0.272479,6.14E-03,1.060799
Kernel,graph1MW.6,3,6,1,0,0,0,361000,40.03,3.276222,12,0.273018,6.08E-03,1.304166
Kernel,graph1MW.6,3,3,3,0,0,0,333000,40.08,3.286626,12,0.273885,6.21E-03,1.257472
Kernel,graph1MW.6,3,6,3,0,0,0,363000,40.17,3.287712,12,0.273976,6.24E-03,1.236672
Kernel,graph1MW.6,6,3,1,0,0,0,631000,41.18,3.324226,12,0.277018,6.40E-03,1.263649
Kernel,graph1MW.6,1,6,6,0,0,0,166000,39.31,3.336292,12,0.278024,6.08E-03,1.245121
Kernel,graph1MW.6,6,1,0,1,0,0,610100,43.94,3.342142,12,0.278511,6.18E-03,1.244799
Kernel,graph1MW.6,3,1,0,1,0,0,310100,42.94,3.342332,12,0.278527,6.18E-03,1.207111
Kernel,graph1MW.6,1,3,1,0,0,0,131000,40.56,3.347419,12,0.278951,6.24E-03,1.244903
Kernel,graph1MW.6,3,1,3,0,0,0,313000,40.11,3.357083,12,0.279756,6.18E-03,1.261447
Kernel,graph1MW.6,6,6,6,0,0,0,666000,40.89,3.359017,12,0.279918,6.11E-03,1.272195
Kernel,graph1MW.6,6,6,1,0,0,0,661000,40.82,3.359303,12,0.279941,6.11E-03,1.254883
Kernel,graph1MW.6,6,3,3,0,0,0,633000,42.2,3.36861,12,0.280717,6.14E-03,1.262112
Kernel,graph1MW.6,6,6,0,0,0,0,660000,42.97,3.390499,12,0.282541,6.21E-03,1.293921
Kernel,graph1MW.6,6,3,6,0,0,0,636000,42.34,3.391743,12,0.282645,6.24E-03,1.273151
Kernel,graph1MW.6,2,3,0,1,0,0,230100,44.66,3.399263,12,0.283271,6.11E-03,1.118495
