Benchmark,withProf,input,time(s),Mem(KB)
pathfinder,Yes,500004010,6.29,272256
pathfinder,No,500004015,0.59,155712
pathfinder,Yes,500004015,5.20,271744
pathfinder,No,500004020,0.59,155712
pathfinder,Yes,500004020,3.93,271168
pathfinder,No,50000605,0.64,159616
pathfinder,Yes,50000605,15.93,276352
pathfinder,No,500006010,0.65,159616
pathfinder,Yes,500006010,8.75,276224
pathfinder,No,500006015,0.66,159616
pathfinder,Yes,500006015,6.37,276160
pathfinder,No,500006020,0.64,159616
pathfinder,Yes,500006020,5.32,275712
pathfinder,No,50000805,0.70,163520
pathfinder,Yes,50000805,20.96,280192
pathfinder,No,500008010,0.70,163520
pathfinder,Yes,500008010,11.30,280064
pathfinder,No,500008015,0.72,163520
pathfinder,Yes,500008015,9.02,279936
pathfinder,No,500008020,0.71,163520
pathfinder,Yes,500008020,6.45,279936
pathfinder,No,500001005,0.74,167424
pathfinder,Yes,500001005,25.77,284160
pathfinder,No,5000010010,0.79,167424
pathfinder,Yes,5000010010,13.65,284224
pathfinder,No,5000010015,0.76,167424
pathfinder,Yes,5000010015,10.11,284096
pathfinder,No,5000010020,0.75,167424
pathfinder,Yes,5000010020,7.71,283904
pathfinder,No,100000205,0.59,155712
pathfinder,Yes,100000205,6.28,272000
pathfinder,No,1000002010,0.59,155712
pathfinder,Yes,1000002010,3.92,271552
pathfinder,No,1000002015,0.59,155712
pathfinder,Yes,1000002015,3.94,271424
pathfinder,No,1000002020,0.59,155712
pathfinder,Yes,1000002020,2.68,261248
pathfinder,No,100000405,0.69,163520
pathfinder,Yes,100000405,11.29,280320
pathfinder,No,1000004010,0.69,163520
pathfinder,Yes,1000004010,6.50,279936
pathfinder,No,1000004015,0.71,163520
pathfinder,Yes,1000004015,5.21,279232
pathfinder,No,1000004020,0.69,163520
pathfinder,Yes,1000004020,3.97,279168
pathfinder,No,100000605,0.79,171328
pathfinder,Yes,100000605,16.08,313536
pathfinder,No,1000006010,0.81,171328
pathfinder,Yes,1000006010,8.98,288128
pathfinder,No,1000006015,0.80,171328
pathfinder,Yes,1000006015,6.62,287296
pathfinder,No,1000006020,0.80,171328
pathfinder,Yes,1000006020,5.28,287360
pathfinder,No,100000805,0.89,179136
pathfinder,Yes,100000805,21.14,296000
pathfinder,No,1000008010,0.91,179136
pathfinder,Yes,1000008010,11.52,295168
pathfinder,No,1000008015,0.89,179136
pathfinder,Yes,1000008015,9.18,295232
pathfinder,No,1000008020,0.89,179136
pathfinder,Yes,1000008020,6.61,295168
pathfinder,No,1000001005,1.00,186944
pathfinder,Yes,1000001005,26.77,303936
pathfinder,No,10000010010,1.00,186944
pathfinder,Yes,10000010010,14.02,303808
pathfinder,No,10000010015,1.00,186944
pathfinder,Yes,10000010015,10.45,303360
pathfinder,No,10000010020,1.00,186944
pathfinder,Yes,10000010020,8.28,303296
pathfinder,No,150000205,0.64,159616
pathfinder,Yes,150000205,6.33,275904
pathfinder,No,1500002010,0.64,159616
pathfinder,Yes,1500002010,3.93,275520
pathfinder,No,1500002015,0.65,159616
pathfinder,Yes,1500002015,3.99,275136
pathfinder,No,1500002020,0.64,159616
pathfinder,Yes,1500002020,2.75,265152
pathfinder,No,150000405,0.79,171328
pathfinder,Yes,150000405,11.49,287808
pathfinder,No,1500004010,0.80,171328
pathfinder,Yes,1500004010,6.50,287424
pathfinder,No,1500004015,0.80,171328
pathfinder,Yes,1500004015,5.32,286976
pathfinder,No,1500004020,0.80,171328
pathfinder,Yes,1500004020,4.17,287040
pathfinder,No,150000605,0.95,183040
pathfinder,Yes,150000605,16.32,299712
pathfinder,No,1500006010,0.94,183040
pathfinder,Yes,1500006010,9.33,299392
pathfinder,No,1500006015,0.98,183040
pathfinder,Yes,1500006015,6.73,299520
pathfinder,No,1500006020,0.94,183040
pathfinder,Yes,1500006020,5.49,298944
pathfinder,No,150000805,1.10,194752
pathfinder,Yes,150000805,21.53,311424
pathfinder,No,1500008010,1.10,194752
pathfinder,Yes,1500008010,11.80,310912
pathfinder,No,1500008015,1.10,194752
pathfinder,Yes,1500008015,9.31,310912
pathfinder,No,1500008020,1.12,194752
pathfinder,Yes,1500008020,6.85,311104
pathfinder,No,1500001005,1.25,206464
pathfinder,Yes,1500001005,26.54,323200
pathfinder,No,15000010010,1.25,206464
pathfinder,Yes,15000010010,14.34,348224
pathfinder,No,15000010015,1.25,206464
pathfinder,Yes,15000010015,10.72,322816
pathfinder,No,15000010020,1.25,206464
pathfinder,Yes,15000010020,8.21,348480
pathfinder,No,200000205,0.70,163520
pathfinder,Yes,200000205,6.40,279680
pathfinder,No,2000002010,0.69,163520
pathfinder,Yes,2000002010,4.07,279680
pathfinder,No,2000002015,0.70,163520
pathfinder,Yes,2000002015,4.02,279680
pathfinder,No,2000002020,0.69,163520
pathfinder,Yes,2000002020,2.85,269184
pathfinder,No,200000405,0.90,179136
pathfinder,Yes,200000405,11.54,295360
pathfinder,No,2000004010,0.90,179136
pathfinder,Yes,2000004010,6.74,295360
pathfinder,No,2000004015,0.90,179136
pathfinder,Yes,2000004015,5.46,295040
pathfinder,No,2000004020,0.89,179136
pathfinder,Yes,2000004020,4.33,295040
pathfinder,No,200000605,1.11,194752
pathfinder,Yes,200000605,16.56,311744
pathfinder,No,2000006010,1.09,194752
pathfinder,Yes,2000006010,9.35,311168
pathfinder,No,2000006015,1.09,194752
pathfinder,Yes,2000006015,6.97,310976
pathfinder,No,2000006020,1.09,194752
pathfinder,Yes,2000006020,5.63,311040
pathfinder,No,200000805,1.30,210368
pathfinder,Yes,200000805,21.80,327168
pathfinder,No,2000008010,1.30,210368
pathfinder,Yes,2000008010,11.93,326912
pathfinder,No,2000008015,1.34,210368
