Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
bfs,graph65536,h_updating_graph_mask,2,Kernel,789921465.97,8.14,14436,1180491928.45,8.14,12224,1.81,7991.39,1.82,3.31,0.12,0.07,0.13,3.22,3.22,65837696335.08,1.83,8.14,69.4,1.82,45.87,2.95,0.06,94.85,1,0.05,5.15,9.29,11.07,61.93,57.31,57.31,237.84,76110,257.01,82242,512,128,21,0,0,0,65536,0.4,32,5,32,4,7.15,11.17,64,100,111,0x200060090000,0x2000600a0000,65536,2,0,128.0,0.0,0.0,3
bfs,graph65536,h_graph_visited,3,Kernel,789921465.97,8.14,14436,1180491928.45,8.14,12224,1.81,7991.39,1.82,3.31,0.12,0.07,0.13,3.22,3.22,65837696335.08,1.83,8.14,69.4,1.82,45.87,2.95,0.06,94.85,1,0.05,5.15,9.29,11.07,61.93,57.31,57.31,237.84,76110,257.01,82242,512,128,21,0,0,0,65536,0.4,32,5,32,4,7.15,11.17,64,100,111,0x2000600a0000,0x2000600b0000,65536,1,87,192.0,0.0,0.0,0
bfs,graph65536,h_graph_nodes,0,Kernel2,774193548.39,10.22,6871,1153981854.84,10.22,5952,3.03,1747.72,2.31,8.41,0.32,0.08,0.36,9.06,9.06,81000000000.0,2.11,10.22,85.15,1.99,54.25,6.39,0.17,90.75,1,0.09,9.25,16.76,19.75,78.58,69.07,69.07,139.17,44534,158.34,50669,512,128,16,0,0,0,65536,0.4,32,8,32,4,22.63,35.36,64,100,111,0x200060000000,0x200060080000,524288,5,198,576.0,0.0,0.0,4
bfs,graph65536,h_graph_mask,1,Kernel2,774193548.39,10.22,6871,1153981854.84,10.22,5952,3.03,1747.72,2.31,8.41,0.32,0.08,0.36,9.06,9.06,81000000000.0,2.11,10.22,85.15,1.99,54.25,6.39,0.17,90.75,1,0.09,9.25,16.76,19.75,78.58,69.07,69.07,139.17,44534,158.34,50669,512,128,16,0,0,0,65536,0.4,32,8,32,4,22.63,35.36,64,100,111,0x200060080000,0x200060090000,65536,2,197,192.0,0.0,0.0,4
bfs,graph65536,h_updating_graph_mask,2,Kernel2,774193548.39,10.22,6871,1153981854.84,10.22,5952,3.03,1747.72,2.31,8.41,0.32,0.08,0.36,9.06,9.06,81000000000.0,2.11,10.22,85.15,1.99,54.25,6.39,0.17,90.75,1,0.09,9.25,16.76,19.75,78.58,69.07,69.07,139.17,44534,158.34,50669,512,128,16,0,0,0,65536,0.4,32,8,32,4,22.63,35.36,64,100,111,0x200060090000,0x2000600a0000,65536,2,0,128.0,0.0,0.0,2
bfs,graph65536,h_graph_visited,3,Kernel2,774193548.39,10.22,6871,1153981854.84,10.22,5952,3.03,1747.72,2.31,8.41,0.32,0.08,0.36,9.06,9.06,81000000000.0,2.11,10.22,85.15,1.99,54.25,6.39,0.17,90.75,1,0.09,9.25,16.76,19.75,78.58,69.07,69.07,139.17,44534,158.34,50669,512,128,16,0,0,0,65536,0.4,32,8,32,4,22.63,35.36,64,100,111,0x2000600a0000,0x2000600b0000,65536,1,87,192.0,0.0,0.0,1
bfs,graph65536,h_graph_nodes,0,Kernel,821601941.75,14.07,16178,1225905137.54,14.07,13184,6.89,10649.79,5.74,9.25,0.31,0.2,0.31,7.86,7.86,118364077669.9,6.1,14.07,82.04,5.74,52.41,3.89,0.11,91.31,1,0.09,8.69,3.66,4.27,45.77,44.72,44.72,818.19,261822,837.36,267955,512,128,21,0,0,0,65536,0.4,32,5,32,4,13.49,21.07,64,100,111,0x200060000000,0x200060080000,524288,5,198,576.0,0.0,0.0,0
bfs,graph65536,h_graph_mask,1,Kernel,821601941.75,14.07,16178,1225905137.54,14.07,13184,6.89,10649.79,5.74,9.25,0.31,0.2,0.31,7.86,7.86,118364077669.9,6.1,14.07,82.04,5.74,52.41,3.89,0.11,91.31,1,0.09,8.69,3.66,4.27,45.77,44.72,44.72,818.19,261822,837.36,267955,512,128,21,0,0,0,65536,0.4,32,5,32,4,13.49,21.07,64,100,111,0x200060080000,0x200060090000,65536,2,197,192.0,0.0,0.0,0
bfs,graph65536,h_updating_graph_mask,2,Kernel,821601941.75,14.07,16178,1225905137.54,14.07,13184,6.89,10649.79,5.74,9.25,0.31,0.2,0.31,7.86,7.86,118364077669.9,6.1,14.07,82.04,5.74,52.41,3.89,0.11,91.31,1,0.09,8.69,3.66,4.27,45.77,44.72,44.72,818.19,261822,837.36,267955,512,128,21,0,0,0,65536,0.4,32,5,32,4,13.49,21.07,64,100,111,0x200060090000,0x2000600a0000,65536,2,0,128.0,0.0,0.0,3
bfs,graph65536,h_graph_visited,3,Kernel,821601941.75,14.07,16178,1225905137.54,14.07,13184,6.89,10649.79,5.74,9.25,0.31,0.2,0.31,7.86,7.86,118364077669.9,6.1,14.07,82.04,5.74,52.41,3.89,0.11,91.31,1,0.09,8.69,3.66,4.27,45.77,44.72,44.72,818.19,261822,837.36,267955,512,128,21,0,0,0,65536,0.4,32,5,32,4,13.49,21.07,64,100,111,0x2000600a0000,0x2000600b0000,65536,1,87,192.0,0.0,0.0,0
bfs,graph65536,h_graph_nodes,0,Kernel2,783549783.55,9.62,8641,1168267496.39,9.62,7392,3.68,2225.55,2.29,10.36,0.32,0.08,0.35,8.87,8.87,77168831168.83,2.48,9.62,89.98,2.06,69.0,5.86,0.22,89.52,1,0.1,10.48,15.03,17.5,61.88,55.88,55.88,178.36,57074,197.49,63198,512,128,16,0,0,0,65536,0.4,32,8,32,4,22.07,34.49,64,100,111,0x200060000000,0x200060080000,524288,5,198,576.0,0.0,0.0,4
bfs,graph65536,h_graph_mask,1,Kernel2,783549783.55,9.62,8641,1168267496.39,9.62,7392,3.68,2225.55,2.29,10.36,0.32,0.08,0.35,8.87,8.87,77168831168.83,2.48,9.62,89.98,2.06,69.0,5.86,0.22,89.52,1,0.1,10.48,15.03,17.5,61.88,55.88,55.88,178.36,57074,197.49,63198,512,128,16,0,0,0,65536,0.4,32,8,32,4,22.07,34.49,64,100,111,0x200060080000,0x200060090000,65536,2,197,192.0,0.0,0.0,4
bfs,graph65536,h_updating_graph_mask,2,Kernel2,783549783.55,9.62,8641,1168267496.39,9.62,7392,3.68,2225.55,2.29,10.36,0.32,0.08,0.35,8.87,8.87,77168831168.83,2.48,9.62,89.98,2.06,69.0,5.86,0.22,89.52,1,0.1,10.48,15.03,17.5,61.88,55.88,55.88,178.36,57074,197.49,63198,512,128,16,0,0,0,65536,0.4,32,8,32,4,22.07,34.49,64,100,111,0x200060090000,0x2000600a0000,65536,2,0,128.0,0.0,0.0,2
bfs,graph65536,h_graph_visited,3,Kernel2,783549783.55,9.62,8641,1168267496.39,9.62,7392,3.68,2225.55,2.29,10.36,0.32,0.08,0.35,8.87,8.87,77168831168.83,2.48,9.62,89.98,2.06,69.0,5.86,0.22,89.52,1,0.1,10.48,15.03,17.5,61.88,55.88,55.88,178.36,57074,197.49,63198,512,128,16,0,0,0,65536,0.4,32,8,32,4,22.07,34.49,64,100,111,0x2000600a0000,0x2000600b0000,65536,1,87,192.0,0.0,0.0,1
bfs,graph65536,h_graph_nodes,0,Kernel,847269624.57,16.68,23729,1263340799.2,19.23,18752,19.23,16027.71,7.93,21.49,0.41,0.28,0.42,10.45,10.45,144733788395.9,14.89,19.23,85.75,7.93,55.73,5.89,0.15,88.72,1,0.11,11.28,4.1,4.76,52.78,52.17,52.17,1655.31,529700,1674.66,535891,512,128,21,0,0,0,65536,0.4,32,5,32,4,21.53,33.63,64,100,111,0x200060000000,0x200060080000,524288,5,198,576.0,0.0,0.0,0
