0,calculate_temp,Warp Cycles Per Issued Instruction,,13.36,hotspot,128
0,calculate_temp,Warp Cycles Per Issue Active,,13.36,hotspot,128
0,calculate_temp,Avg. Executed Instructions Per Scheduler,inst,758.75,hotspot,128
0,calculate_temp,Executed Instructions,inst,242800,hotspot,128
0,calculate_temp,Avg. Issued Instructions Per Scheduler,inst,782.95,hotspot,128
0,calculate_temp,Issued Instructions,inst,250544,hotspot,128
0,calculate_temp,Block Size,,256,hotspot,128
0,calculate_temp,Grid Size,,121,hotspot,128
0,calculate_temp,Registers Per Thread,register/thread,40,hotspot,128
0,calculate_temp,Shared Memory Configuration Size,byte,32768,hotspot,128
0,calculate_temp,Dynamic Shared Memory Per Block,byte/block,0,hotspot,128
0,calculate_temp,Static Shared Memory Per Block,byte/block,3072,hotspot,128
0,calculate_temp,Threads,thread,30976,hotspot,128
0,calculate_temp,Waves Per SM,,0.25,hotspot,128
0,calculate_temp,Block Limit SM,block,32,hotspot,128
0,calculate_temp,Block Limit Registers,block,6,hotspot,128
0,calculate_temp,Block Limit Shared Mem,block,32,hotspot,128
0,calculate_temp,Block Limit Warps,block,8,hotspot,128
0,calculate_temp,Achieved Active Warps Per SM,warp,11.81,hotspot,128
0,calculate_temp,Achieved Occupancy,%,18.45,hotspot,128
0,calculate_temp,Theoretical Active Warps per SM,warp/cycle,48,hotspot,128
0,calculate_temp,Theoretical Occupancy,%,75,hotspot,128
0,calculate_temp,Memory Frequency,cycle/second,873627331.36,hotspot,2048
0,calculate_temp,SOL FB,%,32.84,hotspot,2048
0,calculate_temp,Elapsed Cycles,cycle,239585,hotspot,2048
0,calculate_temp,SM Frequency,cycle/second,1301510480.22,hotspot,2048
0,calculate_temp,Memory [%],%,38.41,hotspot,2048
0,calculate_temp,Duration,nsecond,183584,hotspot,2048
0,calculate_temp,SOL L2,%,24.14,hotspot,2048
0,calculate_temp,SM Active Cycles,cycle,235482.02,hotspot,2048
0,calculate_temp,SM [%],%,77.54,hotspot,2048
0,calculate_temp,SOL TEX,%,38.97,hotspot,2048
0,calculate_temp,Executed Ipc Active,inst/cycle,3.15,hotspot,2048
0,calculate_temp,Executed Ipc Elapsed,inst/cycle,3.10,hotspot,2048
