kernel,InputData,advise0,advise1,advise2
Fan1,1008,"[[0.003130000000000001, 0.004335510204081631, 0.00431142857142857, 0.0044538775510204074, 0.004316326530612242, 0.004465102040816327, 0.004386530612244897], 0]","[[0.0042555102040816315, 0.004157959183673468, 0.0041875510204081616, 0.004173673469387753, 0.00430938775510204, 0.004152653061224489, 0.0041620408163265295], 1]","[[0.003211836734693876, 0.0044457142857142855, 0.004293265306122446, 0.004369999999999999, 0.004401836734693876, 0.004306734693877551, 0.0043693877551020405], 0]"
Fan1,1024,"[[0.0034259183673469385, 0.004676326530612245, 0.004650204081632651, 0.004764693877551019, 0.004732244897959183, 0.004723877551020409, 0.004671632653061225], 0]","[[0.004541428571428571, 0.004529999999999999, 0.0045130612244897944, 0.004521836734693877, 0.004412857142857142, 0.004586938775510204, 0.0045387755102040805], 1]","[[0.003355510204081632, 0.004713061224489797, 0.004709183673469388, 0.004820612244897959, 0.0046502040816326536, 0.0047230612244897946, 0.004673265306122448], 0]"
Fan1,112,"[[0.004461428571428571, 0.0052251020408163274, 0.0051938775510204085, 0.005113469387755102, 0.005383673469387757, 0.005162448979591836, 0.005243061224489797], 0]","[[0.00507734693877551, 0.00513265306122449, 0.005368775510204083, 0.005090612244897959, 0.00505061224489796, 0.005089591836734695, 0.004973469387755103], 0]","[[0.004426938775510205, 0.005311224489795921, 0.005317755102040817, 0.0053865306122448985, 0.005277755102040818, 0.005158979591836735, 0.004903877551020408], 0]"
Fan1,128,"[[0.0041822448979591835, 0.004977755102040815, 0.005145102040816326, 0.004962448979591838, 0.0050067346938775514, 0.005143877551020408, 0.004992448979591836], 0]","[[0.004679795918367347, 0.0049216326530612245, 0.004835102040816325, 0.004909183673469387, 0.005025714285714287, 0.004985714285714285, 0.005053469387755104], 0]","[[0.003971632653061225, 0.0050830612244897955, 0.005119999999999999, 0.00508530612244898, 0.00519795918367347, 0.0050265306122448975, 0.004926122448979593], 0]"
Fan1,144,"[[0.004031224489795918, 0.004891020408163265, 0.004880408163265308, 0.004827142857142855, 0.004933673469387756, 0.004897346938775509, 0.005006122448979591], 0]","[[0.004688367346938776, 0.0049442857142857136, 0.0048277551020408154, 0.004840408163265306, 0.004643877551020408, 0.004857959183673469, 0.004664285714285713], 0]","[[0.004034081632653061, 0.00491673469387755, 0.0050634693877551025, 0.004800612244897959, 0.0048710204081632655, 0.004808979591836735, 0.004972040816326531], 0]"
Fan1,16,"[[0.02106291836734694, 0.024455102040816325, 0.025458346938775512, 0.02504114285714287, 0.025287714285714285, 0.024398204081632655, 0.02485457142857143], 0]","[[0.02443775510204082, 0.02488742857142857, 0.024395999999999998, 0.023726632653061235, 0.023435795918367353, 0.02505063265306123, 0.024623755102040817], 0]","[[0.02141897959183673, 0.024289040816326532, 0.024525367346938776, 0.024974653061224497, 0.025375489795918367, 0.025873775510204092, 0.024100693877551017], 0]"
Fan1,160,"[[0.0037116326530612248, 0.004611836734693878, 0.004539387755102041, 0.004506122448979593, 0.00456591836734694, 0.004661632653061223, 0.004523673469387755], 0]","[[0.004629591836734693, 0.004536530612244898, 0.0043779591836734695, 0.004326326530612245, 0.004370816326530611, 0.004335714285714285, 0.00454326530612245], 0]","[[0.0038077551020408167, 0.004568367346938776, 0.004552857142857143, 0.00455, 0.004629183673469389, 0.004568367346938774, 0.004443673469387755], 0]"
Fan1,176,"[[0.0034310204081632657, 0.0042904081632653066, 0.004280612244897959, 0.004160204081632654, 0.004135918367346938, 0.004308367346938777, 0.004285510204081633], 0]","[[0.004203469387755102, 0.004150816326530614, 0.00406938775510204, 0.004076122448979591, 0.004172857142857144, 0.004021632653061224, 0.004197755102040816], 0]","[[0.0037142857142857142, 0.004192653061224489, 0.0041989795918367335, 0.004200408163265306, 0.0042051020408163265, 0.004206122448979591, 0.004174489795918367], 0]"
Fan1,192,"[[0.003651020408163265, 0.004296938775510206, 0.004394489795918367, 0.004392448979591837, 0.004260408163265305, 0.00435795918367347, 0.0044206122448979595], 0]","[[0.00425857142857143, 0.004294489795918367, 0.004268775510204083, 0.004138775510204082, 0.00430795918367347, 0.004281836734693877, 0.004223469387755103], 1]","[[0.003654897959183673, 0.00431265306122449, 0.004318367346938776, 0.004295102040816327, 0.004416530612244898, 0.004412857142857144, 0.0043634693877551015], 0]"
Fan1,208,"[[0.003443877551020408, 0.004243673469387755, 0.004101428571428572, 0.004160408163265306, 0.00402326530612245, 0.0040524489795918375, 0.00402122448979592], 0]","[[0.004055714285714285, 0.003984897959183675, 0.00400530612244898, 0.003914285714285714, 0.004010408163265307, 0.0040269387755102045, 0.004048775510204082], 0]","[[0.0035140816326530606, 0.004062857142857143, 0.00415734693877551, 0.004071428571428571, 0.0041659183673469396, 0.004122040816326531, 0.0039526530612244894], 0]"
Fan1,224,"[[0.0034297959183673473, 0.00393265306122449, 0.00397938775510204, 0.0038965306122448976, 0.004135510204081634, 0.0038836734693877546, 0.004072448979591837], 0]","[[0.003997142857142859, 0.0037846938775510184, 0.0038753061224489796, 0.0039106122448979595, 0.003965510204081633, 0.0038502040816326523, 0.003946530612244898], 0]","[[0.0032967346938775517, 0.004059183673469388, 0.003967959183673469, 0.004043061224489795, 0.00404, 0.0039757142857142855, 0.003947346938775511], 0]"
Fan1,240,"[[0.0031830612244897966, 0.003844897959183674, 0.003918979591836735, 0.0038134693877551022, 0.003781224489795918, 0.0037367346938775503, 0.0037202040816326537], 0]","[[0.003703673469387754, 0.0036702040816326536, 0.003691836734693878, 0.003730408163265305, 0.0036861224489795927, 0.003755918367346938, 0.003760408163265307], 0]","[[0.003311632653061225, 0.0038634693877551032, 0.003776122448979591, 0.0037465306122448972, 0.003762244897959184, 0.0037989795918367355, 0.0037395918367346946], 0]"
Fan1,256,"[[0.0034302040816326547, 0.004193469387755102, 0.004157551020408164, 0.004111632653061225, 0.0041087755102040815, 0.004110204081632654, 0.004164081632653062], 0]","[[0.0036502040816326544, 0.004166530612244899, 0.0040806122448979595, 0.004099183673469388, 0.0040865306122448986, 0.004057142857142857, 0.004135714285714288], 0]","[[0.0032473469387755095, 0.00416530612244898, 0.004171428571428572, 0.004257755102040816, 0.00413591836734694, 0.004133877551020408, 0.004164285714285715], 0]"
Fan1,272,"[[0.0033997959183673463, 0.00391204081632653, 0.0038693877551020405, 0.003952857142857143, 0.003966734693877552, 0.003904081632653062, 0.003863877551020408], 0]","[[0.003845714285714285, 0.0038591836734693883, 0.0037567346938775516, 0.0038953061224489805, 0.0038520408163265313, 0.0038487755102040817, 0.003811020408163265], 0]","[[0.003160408163265307, 0.0039361224489795925, 0.003970408163265306, 0.004055510204081632, 0.003896326530612245, 0.0039055102040816327, 0.003944489795918367], 0]"
Fan1,288,"[[0.0031285714285714285, 0.003836326530612244, 0.003868367346938776, 0.003785918367346939, 0.0038957142857142858, 0.0038299999999999988, 0.0037138775510204072], 0]","[[0.003685102040816327, 0.0037461224489795907, 0.003733061224489796, 0.0037555102040816323, 0.00384795918367347, 0.0036471428571428566, 0.003643877551020408], 3]","[[0.0031951020408163256, 0.0038299999999999983, 0.003786122448979591, 0.0039134693877551025, 0.0037881632653061228, 0.0038651020408163256, 0.0036808163265306137], 0]"
Fan1,304,"[[0.003160816326530613, 0.00359469387755102, 0.0035863265306122455, 0.003604081632653061, 0.0036269387755102044, 0.003698367346938775, 0.0035167346938775506], 0]","[[0.0036146938775510206, 0.0035677551020408165, 0.0036210204081632666, 0.003501224489795918, 0.003478163265306122, 0.00354938775510204, 0.0034557142857142855], 0]","[[0.0030632653061224493, 0.003719591836734694, 0.0036567346938775505, 0.003507551020408162, 0.003666122448979592, 0.0036036734693877547, 0.0035710204081632643], 0]"
Fan1,32,"[[0.011255571428571426, 0.0126679387755102, 0.012925693877551016, 0.013666102040816329, 0.013426000000000002, 0.01280228571428572, 0.01299542857142857], 0]","[[0.012947326530612245, 0.012561081632653062, 0.013319959183673463, 0.012947204081632652, 0.012516081632653065, 0.012797510204081632, 0.012649857142857142], 0]","[[0.0116059387755102, 0.013071877551020407, 0.013061755102040816, 0.012981367346938772, 0.012589591836734698, 0.013896571428571433, 0.01253191836734694], 0]"
Fan1,320,"[[0.003342040816326531, 0.003921224489795918, 0.003883469387755103, 0.0038191836734693856, 0.003948367346938775, 0.004029795918367347, 0.0038583673469387743], 0]","[[0.0038008163265306127, 0.0038085714285714285, 0.003788163265306122, 0.0037838775510204074, 0.0037977551020408153, 0.003919183673469387, 0.0039040816326530612], 0]","[[0.0032761224489795916, 0.003951836734693878, 0.0038614285714285708, 0.003951224489795917, 0.003935714285714285, 0.003959183673469389, 0.003866938775510204], 0]"
Fan1,336,"[[0.0030393877551020414, 0.003626938775510204, 0.0036463265306122448, 0.003628775510204081, 0.0035997959183673473, 0.003564897959183674, 0.0035587755102040814], 0]","[[0.00348408163265306, 0.0035571428571428564, 0.0034012244897959174, 0.0035708163265306125, 0.0035316326530612247, 0.003511836734693879, 0.0036081632653061223], 1]","[[0.002964285714285714, 0.0037577551020408174, 0.003514489795918367, 0.0035214285714285703, 0.003611428571428571, 0.003654897959183673, 0.0036406122448979584], 0]"
Fan1,352,"[[0.0030930612244897972, 0.003661428571428571, 0.0036559183673469386, 0.0035971428571428565, 0.0036826530612244896, 0.0036122448979591846, 0.003542040816326531], 0]","[[0.0035651020408163266, 0.0035348979591836743, 0.0035302040816326537, 0.003485510204081632, 0.00358591836734694, 0.003565918367346939, 0.0035769387755102042], 0]","[[0.003159591836734693, 0.003635714285714285, 0.0036253061224489794, 0.003565510204081633, 0.003596938775510204, 0.0035987755102040823, 0.00366265306122449], 0]"
Fan1,368,"[[0.0033112244897959184, 0.004203469387755103, 0.004040408163265307, 0.0041026530612244885, 0.004152040816326531, 0.004085306122448979, 0.004194897959183674], 0]","[[0.003910204081632653, 0.004118775510204084, 0.004013877551020408, 0.00404204081632653, 0.004014285714285716, 0.003947142857142857, 0.0040436734693877555], 0]","[[0.0033040816326530627, 0.004223061224489797, 0.004128571428571429, 0.004118367346938774, 0.004062244897959184, 0.0041518367346938785, 0.00410183673469388], 0]"
Fan1,384,"[[0.003277142857142857, 0.004247142857142857, 0.004201020408163265, 0.004201428571428571, 0.004172244897959184, 0.004260612244897959, 0.0041659183673469396], 0]","[[0.004107551020408163, 0.0041565306122448974, 0.00399530612244898, 0.004076326530612246, 0.004015918367346938, 0.0041457142857142856, 0.004028163265306123], 0]","[[0.0032593877551020402, 0.004193061224489797, 0.004240204081632653, 0.004172448979591837, 0.004262857142857141, 0.004204081632653062, 0.004193469387755101], 0]"
Fan1,400,"[[0.003176326530612244, 0.004010816326530613, 0.0039791836734693895, 0.003987551020408165, 0.003984489795918368, 0.0040234693877551015, 0.003919183673469388], 0]","[[0.003849183673469388, 0.0038869387755102037, 0.00395326530612245, 0.0038620408163265317, 0.003823877551020409, 0.003875510204081632, 0.003830204081632653], 0]","[[0.003154081632653061, 0.003981224489795919, 0.00397061224489796, 0.003942244897959185, 0.004006938775510205, 0.0040914285714285705, 0.003934489795918369], 0]"
Fan1,416,"[[0.0032622448979591845, 0.004161632653061225, 0.004130204081632652, 0.00414673469387755, 0.00424408163265306, 0.0042075510204081625, 0.004136530612244899], 0]","[[0.00394795918367347, 0.0040185714285714295, 0.0040606122448979595, 0.004143469387755102, 0.00402, 0.004049183673469389, 0.004049183673469386], 0]","[[0.003390408163265306, 0.0041881632653061225, 0.004218571428571428, 0.00416938775510204, 0.004108163265306122, 0.004138163265306124, 0.004076122448979592], 0]"
Fan1,432,"[[0.003132448979591836, 0.0038267346938775514, 0.0038528571428571427, 0.003796326530612246, 0.0038555102040816326, 0.0037918367346938798, 0.003774489795918366], 0]","[[0.0036910204081632664, 0.0037481632653061222, 0.003689795918367346, 0.003744081632653062, 0.003728163265306124, 0.0036538775510204084, 0.0037751020408163262], 0]","[[0.003081836734693877, 0.003811224489795919, 0.003853469387755102, 0.0038106122448979584, 0.003799183673469388, 0.00383122448979592, 0.0038426530612244904], 0]"
Fan1,448,"[[0.0032289795918367353, 0.0038997959183673468, 0.0038865306122448985, 0.003948979591836735, 0.003921428571428571, 0.003977755102040817, 0.003855714285714285], 0]","[[0.0038146938775510198, 0.0038053061224489803, 0.0038738775510204085, 0.0037673469387755087, 0.0038597959183673475, 0.0038036734693877553, 0.0037944897959183675], 0]","[[0.0031957142857142857, 0.0039126530612244885, 0.00392795918367347, 0.0039879591836734715, 0.0038975510204081634, 0.003841428571428571, 0.0039559183673469386], 0]"
Fan1,464,"[[0.0031763265306122453, 0.003907142857142856, 0.0038867346938775507, 0.003958979591836734, 0.003972040816326532, 0.004033673469387754, 0.003906530612244897], 0]","[[0.003820612244897958, 0.0038175510204081623, 0.0038714285714285717, 0.0037828571428571434, 0.003823877551020408, 0.0038651020408163265, 0.0038599999999999984], 0]","[[0.0031802040816326523, 0.0039279591836734705, 0.0039277551020408166, 0.003923265306122449, 0.003925510204081631, 0.003982040816326529, 0.003974693877551021], 0]"
Fan1,48,"[[0.00847681632653061, 0.00902722448979592, 0.009643510204081633, 0.009191428571428571, 0.009509000000000002, 0.009154673469387756, 0.00939320408163265], 0]","[[0.009382020408163265, 0.008934857142857144, 0.009463755102040818, 0.009452, 0.009228653061224492, 0.009097551020408164, 0.008837020408163266], 0]","[[0.008236693877551021, 0.009355387755102043, 0.00952730612244898, 0.009350612244897959, 0.009136448979591835, 0.009699346938775512, 0.009090061224489795], 0]"
Fan1,480,"[[0.0032332653061224494, 0.003753061224489796, 0.003827346938775509, 0.0039222448979591845, 0.0038689795918367353, 0.003861224489795917, 0.003862857142857143], 0]","[[0.0038065306122449, 0.0037242857142857134, 0.003711224489795918, 0.0037424489795918367, 0.003768571428571427, 0.0037581632653061223, 0.003817755102040816], 0]","[[0.0031520408163265303, 0.0038869387755102046, 0.003820204081632653, 0.003848571428571427, 0.0038651020408163256, 0.0039055102040816327, 0.0038506122448979576], 0]"
Fan1,496,"[[0.0029744897959183675, 0.003534285714285714, 0.003562448979591836, 0.0036046938775510205, 0.003581836734693878, 0.003516734693877551, 0.0035679591836734696], 0]","[[0.0034136734693877547, 0.003489387755102041, 0.0035130612244897953, 0.003506938775510204, 0.0035008163265306124, 0.003421428571428571, 0.003497142857142858], 0]","[[0.0029479591836734705, 0.0036461224489795917, 0.0035026530612244883, 0.003484693877551019, 0.0035997959183673477, 0.0035753061224489792, 0.003585918367346939], 0]"
Fan1,512,"[[0.003280816326530613, 0.004176326530612246, 0.004024693877551021, 0.004103673469387756, 0.004149183673469389, 0.004176734693877551, 0.004121836734693879], 0]","[[0.00365795918367347, 0.004132244897959185, 0.004075918367346941, 0.003978979591836735, 0.004106938775510205, 0.00405795918367347, 0.004023265306122448], 0]","[[0.0032642857142857152, 0.004099795918367348, 0.004149387755102041, 0.004106530612244899, 0.004106734693877553, 0.004154693877551021, 0.004151836734693878], 0]"
Fan1,528,"[[0.0031189795918367346, 0.004343265306122448, 0.004262448979591836, 0.00427938775510204, 0.0044746938775510215, 0.004361224489795919, 0.004398367346938775], 0]","[[0.004275918367346938, 0.004154081632653061, 0.004214897959183674, 0.004161632653061224, 0.00412938775510204, 0.004161224489795919, 0.004141224489795919], 0]","[[0.0029957142857142856, 0.0042783673469387745, 0.0043626530612244875, 0.004451224489795917, 0.00450326530612245, 0.004358775510204081, 0.004288367346938775], 0]"
Fan1,544,"[[0.0033853061224489796, 0.004486122448979592, 0.004470408163265304, 0.004703061224489796, 0.004544285714285715, 0.004476938775510204, 0.0044912244897959185], 0]","[[0.004311428571428571, 0.004276938775510205, 0.0044995918367346935, 0.004337142857142857, 0.004415714285714287, 0.004325918367346939, 0.004390612244897959], 0]","[[0.003435510204081632, 0.004555918367346938, 0.004508775510204081, 0.00455857142857143, 0.004445102040816327, 0.004534285714285715, 0.004519183673469387], 0]"
Fan1,560,"[[0.003161224489795918, 0.004257551020408163, 0.004264081632653063, 0.004325510204081633, 0.0041973469387755116, 0.004282448979591836, 0.004271020408163267], 0]","[[0.004066326530612245, 0.004162857142857142, 0.0041230612244897965, 0.0040746938775510205, 0.0041257142857142855, 0.004079387755102042, 0.004127142857142858], 0]","[[0.0031506122448979584, 0.004216938775510205, 0.004257346938775511, 0.004223673469387756, 0.004262448979591837, 0.004378775510204082, 0.004269387755102042], 0]"
Fan1,576,"[[0.0033816326530612235, 0.004524489795918367, 0.004455918367346938, 0.004549999999999999, 0.004517551020408163, 0.004532448979591838, 0.004608367346938777], 0]","[[0.004407346938775511, 0.004322448979591836, 0.004365102040816327, 0.004325306122448981, 0.0043979591836734696, 0.004375510204081633, 0.004376734693877551], 5]","[[0.003227755102040816, 0.004551020408163267, 0.00455265306122449, 0.004478775510204082, 0.004730204081632653, 0.004503265306122448, 0.00452673469387755], 0]"
Fan1,592,"[[0.0032993877551020403, 0.004687959183673469, 0.004599183673469389, 0.004675714285714286, 0.004542857142857143, 0.004770204081632654, 0.0046512244897959215], 0]","[[0.004548163265306123, 0.004438367346938776, 0.00453938775510204, 0.004410204081632653, 0.004489387755102041, 0.004388775510204083, 0.0044122448979591845], 0]","[[0.0033079591836734706, 0.00462469387755102, 0.004582244897959184, 0.004563877551020409, 0.004665102040816328, 0.0047579591836734705, 0.004724693877551021], 0]"
Fan1,608,"[[0.003565918367346938, 0.004977142857142857, 0.004895714285714285, 0.0050412244897959195, 0.005040204081632654, 0.004938367346938777, 0.0049504081632653065], 0]","[[0.004766326530612245, 0.004764489795918369, 0.0047179591836734695, 0.00477795918367347, 0.004747142857142858, 0.004841632653061224, 0.004793469387755103], 0]","[[0.0034902040816326527, 0.004976938775510207, 0.004969795918367347, 0.005011224489795919, 0.00502857142857143, 0.005050408163265306, 0.0048818367346938766], 0]"
Fan1,624,"[[0.0033867346938775515, 0.0046751020408163264, 0.004812040816326531, 0.00474387755102041, 0.0048342857142857154, 0.004802040816326531, 0.004778979591836734], 0]","[[0.004534081632653061, 0.004622857142857144, 0.004561428571428571, 0.0045279591836734695, 0.004538775510204082, 0.004663265306122449, 0.004584693877551022], 0]","[[0.003293265306122447, 0.004775714285714286, 0.004849795918367347, 0.004782448979591837, 0.00473591836734694, 0.004843265306122449, 0.004752653061224491], 0]"
Fan1,64,"[[0.0062123877551020406, 0.007207244897959185, 0.007024428571428572, 0.00732742857142857, 0.007124367346938775, 0.007361367346938774, 0.007237510204081634], 0]","[[0.007200693877551019, 0.007074918367346939, 0.007029163265306124, 0.007019326530612246, 0.0071101428571428565, 0.006883693877551023, 0.007176795918367347], 2]","[[0.006516367346938775, 0.00729308163265306, 0.0071454081632653065, 0.007286877551020409, 0.007033204081632654, 0.007118122448979591, 0.007101673469387756], 0]"
Fan1,640,"[[0.003348775510204083, 0.00452857142857143, 0.004540816326530613, 0.004407755102040816, 0.0045818367346938775, 0.004482653061224492, 0.00446816326530612], 0]","[[0.0042757142857142855, 0.004306122448979592, 0.004391428571428573, 0.004372448979591836, 0.00434857142857143, 0.004314285714285715, 0.004350000000000001], 0]","[[0.0033163265306122443, 0.0044183673469387775, 0.004511020408163268, 0.004468571428571428, 0.004672857142857143, 0.004509591836734693, 0.004461836734693879], 0]"
Fan1,656,"[[0.0031455102040816325, 0.003935510204081633, 0.003958571428571429, 0.003999183673469389, 0.004035510204081632, 0.004041632653061224, 0.003966734693877552], 0]","[[0.0038863265306122445, 0.003896734693877552, 0.003923265306122449, 0.0038157142857142864, 0.003875102040816327, 0.0038395918367346953, 0.0038459183673469387], 0]","[[0.0030571428571428577, 0.003903673469387756, 0.004056122448979593, 0.003948367346938776, 0.00395938775510204, 0.004060408163265306, 0.0040975510204081635], 0]"
Fan1,672,"[[0.0032626530612244907, 0.0042253061224489805, 0.004270408163265307, 0.004166938775510204, 0.004214081632653062, 0.0042338775510204095, 0.004184081632653061], 0]","[[0.0040524489795918375, 0.004098979591836737, 0.00407734693877551, 0.004064285714285714, 0.004119795918367348, 0.004047551020408164, 0.004096938775510205], 0]","[[0.003150816326530611, 0.004269183673469387, 0.00423061224489796, 0.004246122448979592, 0.004302857142857145, 0.004138571428571429, 0.004219183673469389], 0]"
Fan1,688,"[[0.003106530612244897, 0.004014285714285714, 0.004085102040816327, 0.004051632653061224, 0.004106326530612244, 0.004077755102040819, 0.004075102040816327], 0]","[[0.003861632653061224, 0.00389265306122449, 0.00391795918367347, 0.003971428571428571, 0.00397469387755102, 0.0039442857142857135, 0.003954081632653062], 0]","[[0.003082040816326531, 0.004080204081632653, 0.004031224489795917, 0.004180816326530614, 0.004084081632653061, 0.004028163265306122, 0.004030204081632654], 0]"
Fan1,704,"[[0.0031924489795918374, 0.004091632653061225, 0.004197142857142856, 0.004120612244897958, 0.004130204081632651, 0.0041791836734693865, 0.004226734693877552], 0]","[[0.004001020408163265, 0.004020612244897959, 0.004098367346938774, 0.0040181632653061225, 0.003944897959183673, 0.004009999999999999, 0.004044897959183672], 3]","[[0.003179387755102041, 0.004203469387755102, 0.004124693877551019, 0.0041534693877551005, 0.004199591836734693, 0.004134081632653061, 0.004143265306122448], 0]"
Fan1,720,"[[0.003128979591836735, 0.004136530612244897, 0.004011224489795919, 0.004087959183673468, 0.003973469387755102, 0.003963061224489795, 0.004052653061224488], 0]","[[0.003873265306122449, 0.003937959183673469, 0.00397204081632653, 0.003825714285714286, 0.0038873469387755086, 0.003942448979591836, 0.003915102040816325], 0]","[[0.0031138775510204074, 0.004093265306122448, 0.003992857142857142, 0.00408408163265306, 0.004079387755102042, 0.003987959183673469, 0.004002448979591837], 0]"
Fan1,736,"[[0.0032338775510204073, 0.004311632653061224, 0.004435714285714286, 0.00440142857142857, 0.004369387755102041, 0.00437204081632653, 0.004350204081632653], 0]","[[0.004164489795918368, 0.004279795918367346, 0.004178775510204081, 0.004217551020408162, 0.004179795918367347, 0.004200204081632654, 0.004253673469387756], 0]","[[0.003273469387755101, 0.0044169387755102025, 0.004464489795918367, 0.004362040816326531, 0.004339387755102041, 0.004284285714285714, 0.004333673469387755], 0]"
Fan1,752,"[[0.003102857142857142, 0.004073265306122449, 0.004206122448979591, 0.004215714285714286, 0.004171836734693879, 0.004098163265306121, 0.004194897959183673], 0]","[[0.004008367346938775, 0.0040065306122448975, 0.003931224489795919, 0.003966734693877551, 0.00409795918367347, 0.003977755102040816, 0.004074285714285714], 0]","[[0.0031944897959183664, 0.00409938775510204, 0.004132244897959182, 0.004218979591836735, 0.004095714285714286, 0.004117142857142857, 0.0042048979591836734], 0]"
Fan1,768,"[[0.0033504081632653054, 0.004384897959183671, 0.004421224489795919, 0.00434, 0.004365714285714286, 0.004448163265306122, 0.004274285714285714], 0]","[[0.004203061224489793, 0.004295918367346939, 0.004233469387755102, 0.004264081632653063, 0.004154693877551021, 0.004241224489795918, 0.004192244897959184], 0]","[[0.0032487755102040823, 0.004396734693877551, 0.004378163265306122, 0.0044334693877551, 0.004391020408163265, 0.004341020408163265, 0.004395510204081633], 0]"
Fan1,784,"[[0.0031838775510204084, 0.004320204081632652, 0.004328571428571427, 0.004318979591836735, 0.004366326530612244, 0.004458163265306123, 0.004428367346938776], 0]","[[0.004229183673469388, 0.00421408163265306, 0.004212244897959183, 0.004254285714285715, 0.004164489795918366, 0.004177551020408163, 0.004152653061224488], 0]","[[0.0032212244897959186, 0.0043520408163265295, 0.004366122448979591, 0.00431265306122449, 0.0044116326530612236, 0.004376530612244897, 0.004364285714285714], 0]"
Fan1,80,"[[0.0054402040816326535, 0.00581408163265306, 0.006419795918367348, 0.006318204081632653, 0.006626530612244897, 0.0060832653061224495, 0.006092653061224492], 0]","[[0.0064104489795918365, 0.006050612244897957, 0.006041428571428572, 0.0060012244897959185, 0.0060626530612244885, 0.006017346938775511, 0.006211020408163266], 4]","[[0.005561224489795919, 0.006183877551020407, 0.006210857142857144, 0.00582265306122449, 0.006450408163265305, 0.006610612244897959, 0.005955102040816326], 0]"
Fan1,800,"[[0.003251632653061226, 0.004498571428571429, 0.004451428571428572, 0.004442244897959182, 0.004487142857142858, 0.004492040816326531, 0.004483265306122449], 0]","[[0.004431020408163266, 0.004260816326530613, 0.004252653061224492, 0.004248163265306122, 0.004360204081632652, 0.0042644897959183675, 0.004288979591836733], 0]","[[0.0034510204081632666, 0.004467959183673471, 0.004446326530612245, 0.004413265306122448, 0.004442857142857143, 0.004390816326530613, 0.004494081632653062], 0]"
Fan1,816,"[[0.0033269387755102027, 0.004405102040816327, 0.004391224489795918, 0.004433265306122447, 0.004439387755102042, 0.00447734693877551, 0.0043491836734693866], 0]","[[0.0042702040816326526, 0.00424469387755102, 0.004381428571428573, 0.004231020408163264, 0.0042332653061224485, 0.00425142857142857, 0.004210408163265305], 0]","[[0.003247755102040817, 0.004482244897959184, 0.0044769387755102035, 0.0043971428571428555, 0.004416326530612243, 0.00442591836734694, 0.004376122448979592], 0]"
Fan1,832,"[[0.0034446938775510197, 0.0046730612244897975, 0.004667142857142856, 0.00457938775510204, 0.004732653061224491, 0.004757142857142858, 0.004681020408163264], 0]","[[0.004595918367346938, 0.0045053061224489795, 0.004489183673469388, 0.004541428571428572, 0.004422244897959183, 0.004475306122448978, 0.004505714285714286], 0]","[[0.0034457142857142868, 0.004750816326530613, 0.004634489795918366, 0.004772857142857142, 0.004680408163265306, 0.00457938775510204, 0.004671428571428571], 0]"
Fan1,848,"[[0.003182244897959184, 0.004252653061224488, 0.004337755102040814, 0.004379795918367345, 0.004310816326530612, 0.004285714285714286, 0.004343265306122448], 0]","[[0.004183877551020408, 0.004279795918367345, 0.004082857142857143, 0.004102653061224489, 0.004170612244897957, 0.004104489795918366, 0.004167959183673468], 0]","[[0.0031875510204081637, 0.0043636734693877546, 0.004335510204081632, 0.004258163265306121, 0.0043291836734693865, 0.004282653061224489, 0.004335510204081631], 0]"
Fan1,864,"[[0.0033793877551020392, 0.004569387755102042, 0.004775306122448979, 0.0046136734693877565, 0.004641632653061224, 0.004685102040816325, 0.00458], 0]","[[0.004540612244897959, 0.004376938775510202, 0.004524897959183673, 0.004404693877551022, 0.004425714285714286, 0.004414285714285713, 0.00455734693877551], 6]","[[0.00344530612244898, 0.004694897959183673, 0.004696530612244898, 0.004532244897959184, 0.004577142857142857, 0.004639591836734693, 0.0046587755102040825], 0]"
Fan1,880,"[[0.0032128571428571427, 0.00417265306122449, 0.004410408163265306, 0.004235714285714285, 0.0042534693877551025, 0.004336938775510203, 0.004361836734693878], 0]","[[0.004128163265306124, 0.004114897959183673, 0.004167142857142855, 0.004192448979591838, 0.004087551020408163, 0.004137551020408164, 0.004156122448979592], 0]","[[0.003302857142857143, 0.004197755102040816, 0.004370408163265307, 0.0042844897959183675, 0.004229183673469387, 0.004334081632653061, 0.004265102040816326], 0]"
Fan1,896,"[[0.003396326530612245, 0.004573877551020409, 0.004656734693877552, 0.004670204081632654, 0.004647551020408163, 0.004750816326530612, 0.004729387755102041], 0]","[[0.004573673469387755, 0.004484897959183674, 0.004545102040816327, 0.00442877551020408, 0.004456938775510204, 0.004491836734693877, 0.004443673469387754], 6]","[[0.0034281632653061227, 0.0047151020408163265, 0.0046897959183673475, 0.004577755102040814, 0.004642857142857144, 0.004658163265306122, 0.004713061224489796], 0]"
Fan1,912,"[[0.0032810204081632657, 0.0045053061224489795, 0.00460469387755102, 0.004542857142857144, 0.004502448979591837, 0.004505714285714286, 0.004560204081632653], 0]","[[0.00430857142857143, 0.004318979591836735, 0.004342040816326531, 0.004361428571428571, 0.004401836734693877, 0.004388163265306121, 0.0043812244897959195], 2]","[[0.0032875510204081644, 0.00454142857142857, 0.004447959183673471, 0.00451530612244898, 0.004542244897959183, 0.004494693877551021, 0.004673061224489795], 0]"
