Data,DataID,variant,InputData,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap
h_areas,0,111,097K,0x7fa076000000,0x7fa07605ee00,388608,3,20,384.0,0.0,0.0
h_elements_surrounding_elements,1,111,097K,0x7fa07605ee00,0x7fa0761da600,1554432,10,24,1664.0,0.0,0.0
h_normals,2,111,097K,0x7fa076200000,0x7fa076672800,4663296,33,15,4556.0,0.0,0.0
h_areas,0,111,193K,0x7f6340000000,0x7f63400bd000,774144,5,45,1024.0,0.0,0.0
h_elements_surrounding_elements,1,111,193K,0x7f6340200000,0x7f63404f4000,3096576,20,13,3023.9997439999997,0.0,0.0
h_normals,2,111,193K,0x7f6340600000,0x7f6340edc000,9289728,58,39,9072.0,0.0,0.0
h_areas,0,111,missile0.2M,0x7fddc4000000,0x7fddc40e3400,930816,5,77,1024.0,0.0,0.0
h_elements_surrounding_elements,1,111,missile0.2M,0x7fddc4200000,0x7fddc458d000,3723264,20,35,3636.0,0.0,0.0
h_normals,2,111,missile0.2M,0x7fddc4600000,0x7fddc50a7000,11169792,65,18,10908.0,0.0,0.0
