@relation 'IBM_2688-weka.filters.unsupervised.attribute.Remove-R2-16,18-30,32-37,39-41,43,45-47,50,52,54-61,66'

@attribute Benchmark {gaussian,bfs,cfd,hotspot}
@attribute 'Executed Ipc Elapsed' numeric
@attribute 'Issued Warp Per Scheduler' numeric
@attribute 'Avg. Executed Instructions Per Scheduler' numeric
@attribute 'Block Size' numeric
@attribute 'Registers Per Thread' numeric
@attribute Threads numeric
@attribute 'Waves Per SM' numeric
@attribute 'Block Limit Registers' numeric
@attribute 'Block Limit Warps' numeric
@attribute CPUPageFault numeric
@attribute GPUPagePault numeric
@attribute HtoD numeric
@attribute DtoH numeric
@attribute label numeric

@data
gaussian,0.18,0.08,6524.46,16,16,1016064,24.81,128,64,12,47,4032,0,1
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,0
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,5
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,0
gaussian,0.18,0.08,6524.46,16,16,1016064,24.81,128,64,23,46,4032,4032,0
gaussian,0.18,0.08,6524.46,16,16,1016064,24.81,128,64,2,256,64,64,0
gaussian,0.18,0.08,6524.46,16,16,1016064,24.81,128,64,12,47,4032,0,1
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,23,46,4032,4032,0
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,2,256,64,64,5
gaussian,0,0.08,4.9,512,17,1024,0.01,5,4,12,47,4032,0,0
gaussian,0.18,0.08,6765.6,16,16,1048576,25.6,128,64,26,282,4160,4160,2
gaussian,0.18,0.08,6765.6,16,16,1048576,25.6,128,64,2,256,64,64,0
gaussian,0.18,0.08,6765.6,16,16,1048576,25.6,128,64,12,46,4096,0,0
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,0
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,2
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,0
gaussian,0.19,0.08,6765.6,16,16,1048576,25.6,128,64,26,282,4160,4160,2
gaussian,0.19,0.08,6765.6,16,16,1048576,25.6,128,64,2,256,64,64,0
gaussian,0.19,0.08,6765.6,16,16,1048576,25.6,128,64,12,46,4096,0,0
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,0
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,2
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,0
gaussian,0.18,0.08,6747.17,16,16,1048576,25.6,128,64,26,282,4160,4160,2
gaussian,0.18,0.08,6747.17,16,16,1048576,25.6,128,64,2,256,64,64,0
gaussian,0.18,0.08,6747.17,16,16,1048576,25.6,128,64,12,46,4096,0,0
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,0
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,2
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,0
gaussian,0.18,0.08,6733.62,16,16,1048576,25.6,128,64,26,282,4160,4160,2
gaussian,0.18,0.08,6733.62,16,16,1048576,25.6,128,64,2,256,64,64,0
gaussian,0.18,0.08,6733.62,16,16,1048576,25.6,128,64,12,46,4096,0,0
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,0
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,2
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,0
gaussian,0.18,0.09,6733.62,16,16,1048576,25.6,128,64,26,282,4160,4160,2
gaussian,0.18,0.09,6733.62,16,16,1048576,25.6,128,64,2,256,64,64,0
gaussian,0.18,0.09,6733.62,16,16,1048576,25.6,128,64,12,46,4096,0,0
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,26,282,4160,4160,0
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,2,256,64,64,2
gaussian,0,0.07,4.9,512,17,1024,0.01,5,4,12,46,4096,0,0
gaussian,0.05,0.04,81.64,16,16,12544,0.31,128,64,2,56,64,64,1
gaussian,0.05,0.04,81.64,16,16,12544,0.31,128,64,0,0,0,0,4
gaussian,0.05,0.04,81.64,16,16,12544,0.31,128,64,1,8,64,0,0
gaussian,0,0.05,0.99,512,17,512,0,5,4,2,56,64,64,0
gaussian,0,0.05,0.99,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.05,0.99,512,17,512,0,5,4,1,8,64,0,0
gaussian,0.05,0.04,81.64,16,16,12544,0.31,128,64,2,56,64,64,1
gaussian,0.05,0.04,81.64,16,16,12544,0.31,128,64,0,0,0,0,4
gaussian,0.05,0.04,81.64,16,16,12544,0.31,128,64,1,8,64,0,0
gaussian,0,0.05,0.99,512,17,512,0,5,4,2,56,64,64,0
gaussian,0,0.05,0.99,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.05,0.99,512,17,512,0,5,4,1,8,64,0,0
gaussian,0.05,0.04,79.6,16,16,12544,0.31,128,64,2,56,64,64,1
gaussian,0.05,0.04,79.6,16,16,12544,0.31,128,64,0,0,0,0,4
gaussian,0.05,0.04,79.6,16,16,12544,0.31,128,64,1,8,64,0,0
gaussian,0,0.06,0.99,512,17,512,0,5,4,2,56,64,64,0
gaussian,0,0.06,0.99,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.06,0.99,512,17,512,0,5,4,1,8,64,0,0
gaussian,0.05,0.04,78.16,16,16,12544,0.31,128,64,2,56,64,64,1
gaussian,0.05,0.04,78.16,16,16,12544,0.31,128,64,0,0,0,0,4
gaussian,0.05,0.04,78.16,16,16,12544,0.31,128,64,1,8,64,0,0
gaussian,0,0.05,0.99,512,17,512,0,5,4,2,56,64,64,0
gaussian,0,0.05,0.99,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.05,0.99,512,17,512,0,5,4,1,8,64,0,0
gaussian,0.05,0.04,78.16,16,16,12544,0.31,128,64,2,56,64,64,1
gaussian,0.05,0.04,78.16,16,16,12544,0.31,128,64,0,0,0,0,4
gaussian,0.05,0.04,78.16,16,16,12544,0.31,128,64,1,8,64,0,0
gaussian,0,0.05,0.99,512,17,512,0,5,4,2,56,64,64,0
gaussian,0,0.05,0.99,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.05,0.99,512,17,512,0,5,4,1,8,64,0,0
gaussian,0.06,0.05,106.5,16,16,16384,0.4,128,64,4,64,128,128,0
gaussian,0.06,0.05,106.5,16,16,16384,0.4,128,64,2,8,64,64,0
gaussian,0.06,0.05,106.5,16,16,16384,0.4,128,64,1,1,64,0,6
gaussian,0,0.05,0.99,512,17,512,0,5,4,4,64,128,128,0
gaussian,0,0.05,0.99,512,17,512,0,5,4,2,8,64,64,4
gaussian,0,0.05,0.99,512,17,512,0,5,4,1,1,64,0,0
gaussian,0.06,0.04,106.5,16,16,16384,0.4,128,64,4,64,128,128,0
gaussian,0.06,0.04,106.5,16,16,16384,0.4,128,64,2,8,64,64,0
gaussian,0.06,0.04,106.5,16,16,16384,0.4,128,64,1,1,64,0,6
gaussian,0,0.05,0.99,512,17,512,0,5,4,4,64,128,128,0
gaussian,0,0.05,0.99,512,17,512,0,5,4,2,8,64,64,4
gaussian,0,0.05,0.99,512,17,512,0,5,4,1,1,64,0,0
gaussian,0.06,0.04,104.17,16,16,16384,0.4,128,64,4,64,128,128,0
gaussian,0.06,0.04,104.17,16,16,16384,0.4,128,64,2,8,64,64,0
gaussian,0.06,0.04,104.17,16,16,16384,0.4,128,64,1,1,64,0,6
gaussian,0,0.05,0.99,512,17,512,0,5,4,4,64,128,128,0
gaussian,0,0.05,0.99,512,17,512,0,5,4,2,8,64,64,4
gaussian,0,0.05,0.99,512,17,512,0,5,4,1,1,64,0,0
gaussian,0.06,0.05,102.53,16,16,16384,0.4,128,64,4,64,128,128,0
gaussian,0.06,0.05,102.53,16,16,16384,0.4,128,64,2,8,64,64,0
gaussian,0.06,0.05,102.53,16,16,16384,0.4,128,64,1,1,64,0,6
gaussian,0,0.05,0.99,512,17,512,0,5,4,4,64,128,128,0
gaussian,0,0.05,0.99,512,17,512,0,5,4,2,8,64,64,4
gaussian,0,0.05,0.99,512,17,512,0,5,4,1,1,64,0,0
gaussian,0.06,0.04,102.53,16,16,16384,0.4,128,64,4,64,128,128,0
gaussian,0.06,0.04,102.53,16,16,16384,0.4,128,64,2,8,64,64,0
gaussian,0.06,0.04,102.53,16,16,16384,0.4,128,64,1,1,64,0,6
gaussian,0,0.05,0.99,512,17,512,0,5,4,4,64,128,128,0
gaussian,0,0.05,0.99,512,17,512,0,5,4,2,8,64,64,4
gaussian,0,0.05,0.99,512,17,512,0,5,4,1,1,64,0,0
gaussian,0.07,0.05,134.66,16,16,20736,0.51,128,64,4,68,128,128,1
gaussian,0.07,0.05,134.66,16,16,20736,0.51,128,64,0,0,0,0,0
gaussian,0.07,0.05,134.66,16,16,20736,0.51,128,64,1,6,64,0,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,4,68,128,128,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.06,1.11,512,17,512,0,5,4,1,6,64,0,0
gaussian,0.07,0.05,134.66,16,16,20736,0.51,128,64,4,68,128,128,1
gaussian,0.07,0.05,134.66,16,16,20736,0.51,128,64,0,0,0,0,0
gaussian,0.07,0.05,134.66,16,16,20736,0.51,128,64,1,6,64,0,0
gaussian,0,0.05,1.11,512,17,512,0,5,4,4,68,128,128,0
gaussian,0,0.05,1.11,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.05,1.11,512,17,512,0,5,4,1,6,64,0,0
gaussian,0.07,0.05,132.05,16,16,20736,0.51,128,64,4,68,128,128,1
gaussian,0.07,0.05,132.05,16,16,20736,0.51,128,64,0,0,0,0,0
gaussian,0.07,0.05,132.05,16,16,20736,0.51,128,64,1,6,64,0,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,4,68,128,128,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.06,1.11,512,17,512,0,5,4,1,6,64,0,0
gaussian,0.07,0.05,130.19,16,16,20736,0.51,128,64,4,68,128,128,1
gaussian,0.07,0.05,130.19,16,16,20736,0.51,128,64,0,0,0,0,0
gaussian,0.07,0.05,130.19,16,16,20736,0.51,128,64,1,6,64,0,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,4,68,128,128,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.06,1.11,512,17,512,0,5,4,1,6,64,0,0
gaussian,0.07,0.05,130.19,16,16,20736,0.51,128,64,4,68,128,128,1
gaussian,0.07,0.05,130.19,16,16,20736,0.51,128,64,0,0,0,0,0
gaussian,0.07,0.05,130.19,16,16,20736,0.51,128,64,1,6,64,0,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,4,68,128,128,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.06,1.11,512,17,512,0,5,4,1,6,64,0,0
gaussian,0,0.02,1.76,16,16,256,0.01,128,64,2,9,64,64,1
gaussian,0,0.02,1.76,16,16,256,0.01,128,64,0,0,0,0,0
gaussian,0,0.02,1.76,16,16,256,0.01,128,64,0,0,0,0,0
gaussian,0,0.07,0.62,512,17,512,0,5,4,2,9,64,64,0
gaussian,0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,0
gaussian,0,0.02,1.76,16,16,256,0.01,128,64,2,9,64,64,1
gaussian,0,0.02,1.76,16,16,256,0.01,128,64,0,0,0,0,0
gaussian,0,0.02,1.76,16,16,256,0.01,128,64,0,0,0,0,0
gaussian,0,0.05,0.62,512,17,512,0,5,4,2,9,64,64,0
gaussian,0,0.05,0.62,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.05,0.62,512,17,512,0,5,4,0,0,0,0,0
gaussian,0,0.02,1.45,16,16,256,0.01,128,64,2,9,64,64,1
gaussian,0,0.02,1.45,16,16,256,0.01,128,64,0,0,0,0,0
gaussian,0,0.02,1.45,16,16,256,0.01,128,64,0,0,0,0,0
gaussian,0,0.07,0.62,512,17,512,0,5,4,2,9,64,64,0
gaussian,0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,0
gaussian,0,0.02,1.29,16,16,256,0.01,128,64,2,9,64,64,1
gaussian,0,0.02,1.29,16,16,256,0.01,128,64,0,0,0,0,0
gaussian,0,0.02,1.29,16,16,256,0.01,128,64,0,0,0,0,0
gaussian,0,0.07,0.62,512,17,512,0,5,4,2,9,64,64,0
gaussian,0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,0
gaussian,0,0.02,1.29,16,16,256,0.01,128,64,2,9,64,64,1
gaussian,0,0.02,1.29,16,16,256,0.01,128,64,0,0,0,0,0
gaussian,0,0.02,1.29,16,16,256,0.01,128,64,0,0,0,0,0
gaussian,0,0.06,0.62,512,17,512,0,5,4,2,9,64,64,0
gaussian,0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,0
gaussian,0.08,0.05,166.12,16,16,25600,0.62,128,64,4,67,128,128,1
gaussian,0.08,0.05,166.12,16,16,25600,0.62,128,64,0,0,0,0,0
gaussian,0.08,0.05,166.12,16,16,25600,0.62,128,64,1,4,128,0,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,4,67,128,128,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.06,1.11,512,17,512,0,5,4,1,4,128,0,0
gaussian,0.08,0.05,166.12,16,16,25600,0.62,128,64,4,67,128,128,1
gaussian,0.08,0.05,166.12,16,16,25600,0.62,128,64,0,0,0,0,0
gaussian,0.08,0.05,166.12,16,16,25600,0.62,128,64,1,4,128,0,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,4,67,128,128,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.06,1.11,512,17,512,0,5,4,1,4,128,0,0
gaussian,0.08,0.05,163.22,16,16,25600,0.62,128,64,4,67,128,128,1
gaussian,0.08,0.05,163.22,16,16,25600,0.62,128,64,0,0,0,0,0
gaussian,0.08,0.05,163.22,16,16,25600,0.62,128,64,1,4,128,0,0
gaussian,0,0.05,1.11,512,17,512,0,5,4,4,67,128,128,0
gaussian,0,0.05,1.11,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.05,1.11,512,17,512,0,5,4,1,4,128,0,0
gaussian,0.08,0.05,161.15,16,16,25600,0.62,128,64,4,67,128,128,1
gaussian,0.08,0.05,161.15,16,16,25600,0.62,128,64,0,0,0,0,0
gaussian,0.08,0.05,161.15,16,16,25600,0.62,128,64,1,4,128,0,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,4,67,128,128,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.06,1.11,512,17,512,0,5,4,1,4,128,0,0
gaussian,0.08,0.05,161.15,16,16,25600,0.62,128,64,4,67,128,128,1
gaussian,0.08,0.05,161.15,16,16,25600,0.62,128,64,0,0,0,0,0
gaussian,0.08,0.05,161.15,16,16,25600,0.62,128,64,1,4,128,0,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,4,67,128,128,0
gaussian,0,0.06,1.11,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.06,1.11,512,17,512,0,5,4,1,4,128,0,0
gaussian,0.09,0.05,200.89,16,16,30976,0.76,128,64,4,59,128,128,4
gaussian,0.09,0.05,200.89,16,16,30976,0.76,128,64,0,0,0,0,2
gaussian,0.09,0.05,200.89,16,16,30976,0.76,128,64,1,7,128,0,0
gaussian,0,0.06,1.23,512,17,512,0,5,4,4,59,128,128,0
gaussian,0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.06,1.23,512,17,512,0,5,4,1,7,128,0,0
gaussian,0.09,0.05,200.89,16,16,30976,0.76,128,64,4,59,128,128,4
gaussian,0.09,0.05,200.89,16,16,30976,0.76,128,64,0,0,0,0,2
gaussian,0.09,0.05,200.89,16,16,30976,0.76,128,64,1,7,128,0,0
gaussian,0,0.06,1.23,512,17,512,0,5,4,4,59,128,128,0
gaussian,0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.06,1.23,512,17,512,0,5,4,1,7,128,0,0
gaussian,0.09,0.05,197.7,16,16,30976,0.76,128,64,4,59,128,128,4
gaussian,0.09,0.05,197.7,16,16,30976,0.76,128,64,0,0,0,0,2
gaussian,0.09,0.05,197.7,16,16,30976,0.76,128,64,1,7,128,0,0
gaussian,0,0.05,1.23,512,17,512,0,5,4,4,59,128,128,0
gaussian,0,0.05,1.23,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.05,1.23,512,17,512,0,5,4,1,7,128,0,0
gaussian,0.09,0.05,195.41,16,16,30976,0.76,128,64,4,59,128,128,4
gaussian,0.09,0.05,195.41,16,16,30976,0.76,128,64,0,0,0,0,2
gaussian,0.09,0.05,195.41,16,16,30976,0.76,128,64,1,7,128,0,0
gaussian,0,0.06,1.23,512,17,512,0,5,4,4,59,128,128,0
gaussian,0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.06,1.23,512,17,512,0,5,4,1,7,128,0,0
gaussian,0.09,0.05,195.41,16,16,30976,0.76,128,64,4,59,128,128,4
gaussian,0.09,0.05,195.41,16,16,30976,0.76,128,64,0,0,0,0,2
gaussian,0.09,0.05,195.41,16,16,30976,0.76,128,64,1,7,128,0,0
gaussian,0,0.06,1.23,512,17,512,0,5,4,4,59,128,128,0
gaussian,0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,3
gaussian,0,0.06,1.23,512,17,512,0,5,4,1,7,128,0,0
gaussian,0.1,0.05,238.95,16,16,36864,0.9,128,64,6,59,192,192,0
gaussian,0.1,0.05,238.95,16,16,36864,0.9,128,64,0,0,0,0,0
gaussian,0.1,0.05,238.95,16,16,36864,0.9,128,64,1,5,128,64,4
gaussian,0,0.06,1.23,512,17,512,0,5,4,6,59,192,192,0
gaussian,0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.06,1.23,512,17,512,0,5,4,1,5,128,64,0
gaussian,0.1,0.05,238.95,16,16,36864,0.9,128,64,6,59,192,192,0
gaussian,0.1,0.05,238.95,16,16,36864,0.9,128,64,0,0,0,0,0
gaussian,0.1,0.05,238.95,16,16,36864,0.9,128,64,1,5,128,64,4
gaussian,0,0.06,1.23,512,17,512,0,5,4,6,59,192,192,0
gaussian,0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.06,1.23,512,17,512,0,5,4,1,5,128,64,0
gaussian,0.1,0.05,235.47,16,16,36864,0.9,128,64,6,59,192,192,0
gaussian,0.1,0.05,235.47,16,16,36864,0.9,128,64,0,0,0,0,0
gaussian,0.1,0.05,235.47,16,16,36864,0.9,128,64,1,5,128,64,4
gaussian,0,0.06,1.23,512,17,512,0,5,4,6,59,192,192,0
gaussian,0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.06,1.23,512,17,512,0,5,4,1,5,128,64,0
gaussian,0.1,0.05,232.97,16,16,36864,0.9,128,64,6,59,192,192,0
gaussian,0.1,0.05,232.97,16,16,36864,0.9,128,64,0,0,0,0,0
gaussian,0.1,0.05,232.97,16,16,36864,0.9,128,64,1,5,128,64,4
gaussian,0,0.06,1.23,512,17,512,0,5,4,6,59,192,192,0
gaussian,0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.06,1.23,512,17,512,0,5,4,1,5,128,64,0
gaussian,0.1,0.05,232.97,16,16,36864,0.9,128,64,6,59,192,192,0
gaussian,0.1,0.05,232.97,16,16,36864,0.9,128,64,0,0,0,0,0
gaussian,0.1,0.05,232.97,16,16,36864,0.9,128,64,1,5,128,64,4
gaussian,0,0.06,1.23,512,17,512,0,5,4,6,59,192,192,0
gaussian,0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,2
gaussian,0,0.06,1.23,512,17,512,0,5,4,1,5,128,64,0
gaussian,0.11,0.05,280.31,16,16,43264,1.06,128,64,6,50,192,192,3
gaussian,0.11,0.05,280.31,16,16,43264,1.06,128,64,0,0,0,0,4
gaussian,0.11,0.05,280.31,16,16,43264,1.06,128,64,1,5,320,64,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,4
gaussian,0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,0
gaussian,0.11,0.05,280.31,16,16,43264,1.06,128,64,6,50,192,192,3
gaussian,0.11,0.05,280.31,16,16,43264,1.06,128,64,0,0,0,0,4
gaussian,0.11,0.05,280.31,16,16,43264,1.06,128,64,1,5,320,64,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,4
gaussian,0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,0
gaussian,0.1,0.05,276.55,16,16,43264,1.06,128,64,6,50,192,192,3
gaussian,0.1,0.05,276.55,16,16,43264,1.06,128,64,0,0,0,0,4
gaussian,0.1,0.05,276.55,16,16,43264,1.06,128,64,1,5,320,64,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,4
gaussian,0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,0
gaussian,0.1,0.05,273.84,16,16,43264,1.06,128,64,6,50,192,192,3
gaussian,0.1,0.05,273.84,16,16,43264,1.06,128,64,0,0,0,0,4
gaussian,0.1,0.05,273.84,16,16,43264,1.06,128,64,1,5,320,64,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,4
gaussian,0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,0
gaussian,0.1,0.05,273.84,16,16,43264,1.06,128,64,6,50,192,192,3
gaussian,0.1,0.05,273.84,16,16,43264,1.06,128,64,0,0,0,0,4
gaussian,0.1,0.05,273.84,16,16,43264,1.06,128,64,1,5,320,64,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,4
gaussian,0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,0
gaussian,0.12,0.05,324.98,16,16,50176,1.23,128,64,6,40,256,256,2
gaussian,0.12,0.05,324.98,16,16,50176,1.23,128,64,0,0,0,0,6
gaussian,0.12,0.05,324.98,16,16,50176,1.23,128,64,1,8,256,0,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,4
gaussian,0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,0
gaussian,0.11,0.05,324.98,16,16,50176,1.23,128,64,6,40,256,256,2
gaussian,0.11,0.05,324.98,16,16,50176,1.23,128,64,0,0,0,0,6
gaussian,0.11,0.05,324.98,16,16,50176,1.23,128,64,1,8,256,0,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,4
gaussian,0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,0
gaussian,0.11,0.05,320.92,16,16,50176,1.23,128,64,6,40,256,256,2
gaussian,0.11,0.05,320.92,16,16,50176,1.23,128,64,0,0,0,0,6
gaussian,0.11,0.05,320.92,16,16,50176,1.23,128,64,1,8,256,0,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,4
gaussian,0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,0
gaussian,0.11,0.05,318,16,16,50176,1.23,128,64,6,40,256,256,2
gaussian,0.11,0.05,318,16,16,50176,1.23,128,64,0,0,0,0,6
gaussian,0.11,0.05,318,16,16,50176,1.23,128,64,1,8,256,0,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,4
gaussian,0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,0
gaussian,0.11,0.05,318,16,16,50176,1.23,128,64,6,40,256,256,2
gaussian,0.11,0.05,318,16,16,50176,1.23,128,64,0,0,0,0,6
gaussian,0.11,0.05,318,16,16,50176,1.23,128,64,1,8,256,0,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,0
gaussian,0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,4
gaussian,0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,0
gaussian,0.12,0.05,372.94,16,16,57600,1.41,128,64,6,41,256,256,0
gaussian,0.12,0.05,372.94,16,16,57600,1.41,128,64,0,0,0,0,0
gaussian,0.12,0.05,372.94,16,16,57600,1.41,128,64,1,1,256,0,1
