Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
gaussian,864,a,0,Fan2,870275590.6,9.51,105728,1299583743,11.07,81280,11.07,79922.01,4.56,12.38,0.24,0.18,0.24,6.03,6.03,84777559055,9.82,11.07,91.27,3.87,65.67,1.44,0.08,92.18,1,0.08,7.82,14.48,15.93,18.47,18.45,18.45,4817.48,1541592,4821.66,1542932,16,46656,16,0,0,0,746496,18.23,32,128,32,64,4.57,7.14,32,50,111,0x200060000000,0x2000602d9000,2985984,23,48,2944,2944,0,3
gaussian,864,b,1,Fan2,870275590.6,9.51,105728,1299583743,11.07,81280,11.07,79922.01,4.56,12.38,0.24,0.18,0.24,6.03,6.03,84777559055,9.82,11.07,91.27,3.87,65.67,1.44,0.08,92.18,1,0.08,7.82,14.48,15.93,18.47,18.45,18.45,4817.48,1541592,4821.66,1542932,16,46656,16,0,0,0,746496,18.23,32,128,32,64,4.57,7.14,32,50,111,0x200060400000,0x200060400d80,3456,2,256,64,64,0,0
gaussian,864,m,2,Fan2,870275590.6,9.51,105728,1299583743,11.07,81280,11.07,79922.01,4.56,12.38,0.24,0.18,0.24,6.03,6.03,84777559055,9.82,11.07,91.27,3.87,65.67,1.44,0.08,92.18,1,0.08,7.82,14.48,15.93,18.47,18.45,18.45,4817.48,1541592,4821.66,1542932,16,46656,16,0,0,0,746496,18.23,32,128,32,64,4.57,7.14,32,50,111,0x200060600000,0x2000608d9000,2985984,11,39,2944,0,0,2
gaussian,864,a,0,Fan1,750000000,5.95,6236,1119642002,5.95,5568,0.82,71.61,0.07,47.86,0.24,0,0.25,6.31,6.31,45718390805,0.59,5.95,50.9,0.07,1.43,3.57,0.1,93.12,1,0.07,6.88,29.26,31.89,54.52,51.81,51.81,4.29,1373,4.52,1445,512,2,17,0,0,0,1024,0.01,32,5,32,4,11.5,17.97,64,100,111,0x200060000000,0x2000602d9000,2985984,23,48,2944,2944,0,0
gaussian,864,b,1,Fan1,750000000,5.95,6236,1119642002,5.95,5568,0.82,71.61,0.07,47.86,0.24,0,0.25,6.31,6.31,45718390805,0.59,5.95,50.9,0.07,1.43,3.57,0.1,93.12,1,0.07,6.88,29.26,31.89,54.52,51.81,51.81,4.29,1373,4.52,1445,512,2,17,0,0,0,1024,0.01,32,5,32,4,11.5,17.97,64,100,111,0x200060400000,0x200060400d80,3456,2,256,64,64,0,6
gaussian,864,m,2,Fan1,750000000,5.95,6236,1119642002,5.95,5568,0.82,71.61,0.07,47.86,0.24,0,0.25,6.31,6.31,45718390805,0.59,5.95,50.9,0.07,1.43,3.57,0.1,93.12,1,0.07,6.88,29.26,31.89,54.52,51.81,51.81,4.29,1373,4.52,1445,512,2,17,0,0,0,1024,0.01,32,5,32,4,11.5,17.97,64,100,111,0x200060600000,0x2000608d9000,2985984,11,39,2944,0,0,0
gaussian,864,a,0,Fan2,871158392.4,9.49,105747,1300745338,11.1,81216,11.1,80756.98,4.55,12.25,0.24,0.18,0.24,5.95,5.95,84689125296,9.93,11.1,91.1,3.86,65.96,1.46,0.08,92.22,1,0.08,7.78,14.5,15.96,18.83,18.81,18.81,4801.92,1536615,4806.88,1538201,16,46656,16,0,0,0,746496,18.23,32,128,32,64,4.51,7.05,32,50,111,0x200060000000,0x2000602d9000,2985984,23,48,2944,2944,0,3
gaussian,864,b,1,Fan2,871158392.4,9.49,105747,1300745338,11.1,81216,11.1,80756.98,4.55,12.25,0.24,0.18,0.24,5.95,5.95,84689125296,9.93,11.1,91.1,3.86,65.96,1.46,0.08,92.22,1,0.08,7.78,14.5,15.96,18.83,18.81,18.81,4801.92,1536615,4806.88,1538201,16,46656,16,0,0,0,746496,18.23,32,128,32,64,4.51,7.05,32,50,111,0x200060400000,0x200060400d80,3456,2,256,64,64,0,0
gaussian,864,m,2,Fan2,871158392.4,9.49,105747,1300745338,11.1,81216,11.1,80756.98,4.55,12.25,0.24,0.18,0.24,5.95,5.95,84689125296,9.93,11.1,91.1,3.86,65.96,1.46,0.08,92.22,1,0.08,7.78,14.5,15.96,18.83,18.81,18.81,4801.92,1536615,4806.88,1538201,16,46656,16,0,0,0,746496,18.23,32,128,32,64,4.51,7.05,32,50,111,0x200060600000,0x2000608d9000,2985984,11,39,2944,0,0,2
gaussian,864,a,0,Fan1,725274725.3,5.9,6327,1086023352,5.9,5824,0.81,70.84,0.07,48.33,0.24,0,0.25,6.37,6.37,43829670330,0.58,5.9,50.9,0.07,1.43,3.02,0.1,93.33,1,0.07,6.67,29.24,31.86,47.59,45.22,45.22,4.29,1373,4.52,1445,512,2,17,0,0,0,1024,0.01,32,5,32,4,11.58,18.09,64,100,111,0x200060000000,0x2000602d9000,2985984,23,48,2944,2944,0,0
gaussian,864,b,1,Fan1,725274725.3,5.9,6327,1086023352,5.9,5824,0.81,70.84,0.07,48.33,0.24,0,0.25,6.37,6.37,43829670330,0.58,5.9,50.9,0.07,1.43,3.02,0.1,93.33,1,0.07,6.67,29.24,31.86,47.59,45.22,45.22,4.29,1373,4.52,1445,512,2,17,0,0,0,1024,0.01,32,5,32,4,11.58,18.09,64,100,111,0x200060400000,0x200060400d80,3456,2,256,64,64,0,6
gaussian,864,m,2,Fan1,725274725.3,5.9,6327,1086023352,5.9,5824,0.81,70.84,0.07,48.33,0.24,0,0.25,6.37,6.37,43829670330,0.58,5.9,50.9,0.07,1.43,3.02,0.1,93.33,1,0.07,6.67,29.24,31.86,47.59,45.22,45.22,4.29,1373,4.52,1445,512,2,17,0,0,0,1024,0.01,32,5,32,4,11.58,18.09,64,100,111,0x200060600000,0x2000608d9000,2985984,11,39,2944,0,0,0
gaussian,864,a,0,Fan2,870866141.7,9.47,105823,1300791503,9.47,81280,8.91,79571.15,4.53,11.85,0.24,0.18,0.24,6.03,6.03,84479921260,8.92,9.47,87.01,3.85,66.42,1.51,0.08,91.95,1,0.08,8.05,14.52,15.97,18.74,18.73,18.73,4790.5,1532960,4794.56,1534259,16,46656,16,0,0,0,746496,18.23,32,128,32,64,4.49,7.02,32,50,111,0x200060000000,0x2000602d9000,2985984,23,48,2944,2944,0,3
gaussian,864,b,1,Fan2,870866141.7,9.47,105823,1300791503,9.47,81280,8.91,79571.15,4.53,11.85,0.24,0.18,0.24,6.03,6.03,84479921260,8.92,9.47,87.01,3.85,66.42,1.51,0.08,91.95,1,0.08,8.05,14.52,15.97,18.74,18.73,18.73,4790.5,1532960,4794.56,1534259,16,46656,16,0,0,0,746496,18.23,32,128,32,64,4.49,7.02,32,50,111,0x200060400000,0x200060400d80,3456,2,256,64,64,0,0
gaussian,864,m,2,Fan2,870866141.7,9.47,105823,1300791503,9.47,81280,8.91,79571.15,4.53,11.85,0.24,0.18,0.24,6.03,6.03,84479921260,8.92,9.47,87.01,3.85,66.42,1.51,0.08,91.95,1,0.08,8.05,14.52,15.97,18.74,18.73,18.73,4790.5,1532960,4794.56,1534259,16,46656,16,0,0,0,746496,18.23,32,128,32,64,4.49,7.02,32,50,111,0x200060600000,0x2000608d9000,2985984,11,39,2944,0,0,2
gaussian,864,a,0,Fan1,713888888.9,6.01,6181,1072714120,6.01,5760,0.83,78.33,0.07,43.66,0.22,0,0.23,5.77,5.77,43905555556,0.6,6.01,50.91,0.07,1.43,3.27,0.1,93.19,1,0.07,6.81,29.21,31.83,50.49,47.97,47.97,4.29,1373,4.52,1445,512,2,17,0,0,0,1024,0.01,32,5,32,4,11.43,17.85,64,100,111,0x200060000000,0x2000602d9000,2985984,23,48,2944,2944,0,0
gaussian,864,b,1,Fan1,713888888.9,6.01,6181,1072714120,6.01,5760,0.83,78.33,0.07,43.66,0.22,0,0.23,5.77,5.77,43905555556,0.6,6.01,50.91,0.07,1.43,3.27,0.1,93.19,1,0.07,6.81,29.21,31.83,50.49,47.97,47.97,4.29,1373,4.52,1445,512,2,17,0,0,0,1024,0.01,32,5,32,4,11.43,17.85,64,100,111,0x200060400000,0x200060400d80,3456,2,256,64,64,0,6
