Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
gaussian,320,a,0,Fan2,820675105.5,12.97,18561,1222189258,15.72,15168,15.72,13664.45,3.56,10.21,0.19,0.14,0.19,4.83,4.83,1.08992E+11,15.72,12.97,94.63,3.02,52.6,1.51,0.06,94.48,1,0.06,5.52,14.44,15.88,27.61,27.44,27.44,656.47,210071,660.54,211374,16,6400,16,0,0,0,102400,2.5,32,128,32,64,5.82,9.1,32,50,111,0x200060000000,0x200060064000,409600,8,65,448,448,0,1
gaussian,320,b,1,Fan2,820675105.5,12.97,18561,1222189258,15.72,15168,15.72,13664.45,3.56,10.21,0.19,0.14,0.19,4.83,4.83,1.08992E+11,15.72,12.97,94.63,3.02,52.6,1.51,0.06,94.48,1,0.06,5.52,14.44,15.88,27.61,27.44,27.44,656.47,210071,660.54,211374,16,6400,16,0,0,0,102400,2.5,32,128,32,64,5.82,9.1,32,50,111,0x200060064000,0x200060064500,1280,0,0,0,0,0,4
gaussian,320,m,2,Fan2,820675105.5,12.97,18561,1222189258,15.72,15168,15.72,13664.45,3.56,10.21,0.19,0.14,0.19,4.83,4.83,1.08992E+11,15.72,12.97,94.63,3.02,52.6,1.51,0.06,94.48,1,0.06,5.52,14.44,15.88,27.61,27.44,27.44,656.47,210071,660.54,211374,16,6400,16,0,0,0,102400,2.5,32,128,32,64,5.82,9.1,32,50,111,0x200060064600,0x2000600c8600,409600,1,2,384,64,0,0
gaussian,320,a,0,Fan1,660818713.5,2.69,5382,983308966.9,2.69,5472,0.43,29.76,0.04,46.45,0.23,0,0.25,6.15,6.15,18192982456,0.33,2.69,51.21,0.04,1.41,2.9,0.09,93.21,1,0.07,6.79,29,31.65,45.54,42.74,42.74,1.72,550,1.83,586,512,1,17,0,0,0,512,0,32,5,32,4,10.06,15.72,64,100,111,0x200060000000,0x200060064000,409600,8,65,448,448,0,0
gaussian,320,b,1,Fan1,660818713.5,2.69,5382,983308966.9,2.69,5472,0.43,29.76,0.04,46.45,0.23,0,0.25,6.15,6.15,18192982456,0.33,2.69,51.21,0.04,1.41,2.9,0.09,93.21,1,0.07,6.79,29,31.65,45.54,42.74,42.74,1.72,550,1.83,586,512,1,17,0,0,0,512,0,32,5,32,4,10.06,15.72,64,100,111,0x200060064000,0x200060064500,1280,0,0,0,0,0,4
gaussian,320,m,2,Fan1,660818713.5,2.69,5382,983308966.9,2.69,5472,0.43,29.76,0.04,46.45,0.23,0,0.25,6.15,6.15,18192982456,0.33,2.69,51.21,0.04,1.41,2.9,0.09,93.21,1,0.07,6.79,29,31.65,45.54,42.74,42.74,1.72,550,1.83,586,512,1,17,0,0,0,512,0,32,5,32,4,10.06,15.72,64,100,111,0x200060064600,0x2000600c8600,409600,1,2,384,64,0,0
gaussian,320,a,0,Fan2,835470085.5,12.93,18693,1246928419,15.48,14976,15.48,13462.73,3.51,9.44,0.19,0.14,0.2,4.88,4.88,1.10624E+11,15.48,12.93,85.67,2.97,49.29,1.58,0.05,94.68,1,0.05,5.32,14.47,15.92,29.95,29.76,29.76,652.27,208728,656.32,210023,16,6400,16,0,0,0,102400,2.5,32,128,32,64,5.71,8.92,32,50,111,0x200060000000,0x200060064000,409600,8,65,448,448,0,1
gaussian,320,b,1,Fan2,835470085.5,12.93,18693,1246928419,15.48,14976,15.48,13462.73,3.51,9.44,0.19,0.14,0.2,4.88,4.88,1.10624E+11,15.48,12.93,85.67,2.97,49.29,1.58,0.05,94.68,1,0.05,5.32,14.47,15.92,29.95,29.76,29.76,652.27,208728,656.32,210023,16,6400,16,0,0,0,102400,2.5,32,128,32,64,5.71,8.92,32,50,111,0x200060064000,0x200060064500,1280,0,0,0,0,0,4
gaussian,320,m,2,Fan2,835470085.5,12.93,18693,1246928419,15.48,14976,15.48,13462.73,3.51,9.44,0.19,0.14,0.2,4.88,4.88,1.10624E+11,15.48,12.93,85.67,2.97,49.29,1.58,0.05,94.68,1,0.05,5.32,14.47,15.92,29.95,29.76,29.76,652.27,208728,656.32,210023,16,6400,16,0,0,0,102400,2.5,32,128,32,64,5.71,8.92,32,50,111,0x200060064600,0x2000600c8600,409600,1,2,384,64,0,0
gaussian,320,a,0,Fan1,769736842.1,2.62,5579,1146415844,2.62,4864,0.42,30.19,0.04,45.67,0.23,0,0.24,6.07,6.07,20664473684,0.32,2.62,51.21,0.04,1.41,2.59,0.08,93.64,1,0.06,6.36,28.93,31.57,43.46,40.79,40.79,1.72,550,1.83,586,512,1,17,0,0,0,512,0,32,5,32,4,10.05,15.71,64,100,111,0x200060000000,0x200060064000,409600,8,65,448,448,0,0
