Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,Costs,label
gaussian,960,m,2,Fan1,800595238.1,8.34,4810,1192253638,8.34,4032,1.1,74.95,0.14,50.43,0.25,0,0.27,6.64,6.64,68404761905,0.9,8.34,53.4,0.14,1.44,2.92,0.1,93.54,1,0.06,6.46,29.29,31.84,47.31,45.17,45.17,4.75,1520,4.97,1592,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.1,18.91,64,100,111,0x7fdc7e600000,0x7fdc7e984000,3686400,12,4,3600,0,0,"0.0035238775510204085, 0.004648367346938776, 0.004638571428571429, 0.0046700000000000005, 0.004676530612244899, 0.004590408163265306, 0.0047742857142857135",0
gaussian,960,a,0,Fan2,869529719.1,9.49,127360,1299472363,11.52,97984,11.52,96933.09,4.51,12.48,0.24,0.18,0.24,5.93,5.93,84490529066,10.01,11.52,91.41,3.95,62.18,1.41,0.08,92.55,1,0.07,7.45,14.46,15.95,18.88,18.86,18.86,5739.02,1836486,5744.01,1838084,16,57600,16,0,0,0,921600,22.5,32,128,32,64,4.54,7.09,32,50,111,0x7fdc7e000000,0x7fdc7e384000,3686400,27,5,3600,3600.000256,0,"0.09349612244897959, 0.09331369387755101, 0.09333985714285717, 0.09350489795918365, 0.09346308163265302, 0.0932606530612245, 0.09359542857142855",3
gaussian,960,b,1,Fan2,869529719.1,9.49,127360,1299472363,11.52,97984,11.52,96933.09,4.51,12.48,0.24,0.18,0.24,5.93,5.93,84490529066,10.01,11.52,91.41,3.95,62.18,1.41,0.08,92.55,1,0.07,7.45,14.46,15.95,18.88,18.86,18.86,5739.02,1836486,5744.01,1838084,16,57600,16,0,0,0,921600,22.5,32,128,32,64,4.54,7.09,32,50,111,0x7fdc7e400000,0x7fdc7e400f00,3840,2,90,4,4,0,"0.09331944897959184, 0.09342577551020409, 0.0936930612244898, 0.09326912244897959, 0.09343910204081632, 0.09340153061224488, 0.09342569387755102",0
gaussian,960,m,2,Fan2,869529719.1,9.49,127360,1299472363,11.52,97984,11.52,96933.09,4.51,12.48,0.24,0.18,0.24,5.93,5.93,84490529066,10.01,11.52,91.41,3.95,62.18,1.41,0.08,92.55,1,0.07,7.45,14.46,15.95,18.88,18.86,18.86,5739.02,1836486,5744.01,1838084,16,57600,16,0,0,0,921600,22.5,32,128,32,64,4.54,7.09,32,50,111,0x7fdc7e600000,0x7fdc7e984000,3686400,12,4,3600,0,0,"0.09365738775510202, 0.09344275510204081, 0.09344338775510201, 0.09351689795918368, 0.09330748979591838, 0.0932523673469388, 0.09335344897959184",6
gaussian,960,a,0,Fan1,758858267.7,8.81,4596,1130372375,8.81,4064,1.14,77.05,0.15,49.01,0.25,0,0.26,6.46,6.46,68480314961,0.95,8.81,53.4,0.15,1.45,3.28,0.11,92.96,1,0.07,7.04,29.26,31.82,48.76,46.56,46.56,4.75,1520,4.97,1592,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.27,19.17,64,100,111,0x7fdc7e000000,0x7fdc7e384000,3686400,27,5,3600,3600.000256,0,"0.0034853061224489803, 0.0046381632653061215, 0.004691428571428573, 0.004754081632653063, 0.004717142857142857, 0.004682653061224491, 0.004553265306122448",0
gaussian,960,b,1,Fan1,758858267.7,8.81,4596,1130372375,8.81,4064,1.14,77.05,0.15,49.01,0.25,0,0.26,6.46,6.46,68480314961,0.95,8.81,53.4,0.15,1.45,3.28,0.11,92.96,1,0.07,7.04,29.26,31.82,48.76,46.56,46.56,4.75,1520,4.97,1592,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.27,19.17,64,100,111,0x7fdc7e400000,0x7fdc7e400f00,3840,2,90,4,4,0,"0.00456326530612245, 0.004508571428571428, 0.004430816326530612, 0.004559795918367348, 0.004385510204081632, 0.0045116326530612256, 0.004562448979591837",2
gaussian,960,m,2,Fan1,758858267.7,8.81,4596,1130372375,8.81,4064,1.14,77.05,0.15,49.01,0.25,0,0.26,6.46,6.46,68480314961,0.95,8.81,53.4,0.15,1.45,3.28,0.11,92.96,1,0.07,7.04,29.26,31.82,48.76,46.56,46.56,4.75,1520,4.97,1592,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.27,19.17,64,100,111,0x7fdc7e600000,0x7fdc7e984000,3686400,12,4,3600,0,0,"0.0035238775510204085, 0.004648367346938776, 0.004638571428571429, 0.0046700000000000005, 0.004676530612244899, 0.004590408163265306, 0.0047742857142857135",0
gaussian,960,a,0,Fan2,872873732.4,9.45,127631,1304391901,11.49,97824,11.49,93196.43,4.5,12.96,0.25,0.18,0.25,6.16,6.16,84503761858,9.97,11.49,91.37,3.94,62.42,1.52,0.08,91.77,1,0.08,8.23,14.44,15.93,18.46,18.45,18.45,5739.02,1836486,5743.87,1838038,16,57600,16,0,0,0,921600,22.5,32,128,32,64,4.81,7.51,32,50,111,0x7fdc7e000000,0x7fdc7e384000,3686400,27,5,3600,3600.000256,0,"0.09349612244897959, 0.09331369387755101, 0.09333985714285717, 0.09350489795918365, 0.09346308163265302, 0.0932606530612245, 0.09359542857142855",3
gaussian,960,b,1,Fan2,872873732.4,9.45,127631,1304391901,11.49,97824,11.49,93196.43,4.5,12.96,0.25,0.18,0.25,6.16,6.16,84503761858,9.97,11.49,91.37,3.94,62.42,1.52,0.08,91.77,1,0.08,8.23,14.44,15.93,18.46,18.45,18.45,5739.02,1836486,5743.87,1838038,16,57600,16,0,0,0,921600,22.5,32,128,32,64,4.81,7.51,32,50,111,0x7fdc7e400000,0x7fdc7e400f00,3840,2,90,4,4,0,"0.09331944897959184, 0.09342577551020409, 0.0936930612244898, 0.09326912244897959, 0.09343910204081632, 0.09340153061224488, 0.09342569387755102",0
gaussian,960,m,2,Fan2,872873732.4,9.45,127631,1304391901,11.49,97824,11.49,93196.43,4.5,12.96,0.25,0.18,0.25,6.16,6.16,84503761858,9.97,11.49,91.37,3.94,62.42,1.52,0.08,91.77,1,0.08,8.23,14.44,15.93,18.46,18.45,18.45,5739.02,1836486,5743.87,1838038,16,57600,16,0,0,0,921600,22.5,32,128,32,64,4.81,7.51,32,50,111,0x7fdc7e600000,0x7fdc7e984000,3686400,12,4,3600,0,0,"0.09365738775510202, 0.09344275510204081, 0.09344338775510201, 0.09351689795918368, 0.09330748979591838, 0.0932523673469388, 0.09335344897959184",6
gaussian,960,a,0,Fan1,757692307.7,8.53,4716,1133012821,8.53,4160,1.11,76.12,0.14,49.56,0.25,0,0.26,6.54,6.54,66176923077,0.93,8.53,53.41,0.14,1.45,3.52,0.11,92.92,1,0.07,7.08,29.24,31.79,51.99,49.64,49.64,4.75,1520,4.97,1592,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.11,18.92,64,100,111,0x7fdc7e000000,0x7fdc7e384000,3686400,27,5,3600,3600.000256,0,"0.0034853061224489803, 0.0046381632653061215, 0.004691428571428573, 0.004754081632653063, 0.004717142857142857, 0.004682653061224491, 0.004553265306122448",0
gaussian,960,b,1,Fan1,757692307.7,8.53,4716,1133012821,8.53,4160,1.11,76.12,0.14,49.56,0.25,0,0.26,6.54,6.54,66176923077,0.93,8.53,53.41,0.14,1.45,3.52,0.11,92.92,1,0.07,7.08,29.24,31.79,51.99,49.64,49.64,4.75,1520,4.97,1592,512,2,17,0,0,0,1024,0.01,32,5,32,4,12.11,18.92,64,100,111,0x7fdc7e400000,0x7fdc7e400f00,3840,2,90,4,4,0,"0.00456326530612245, 0.004508571428571428, 0.004430816326530612, 0.004559795918367348, 0.004385510204081632, 0.0045116326530612256, 0.004562448979591837",2
