InputData,Kernel,Data,DataID,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
656,Fan2,b,1,863799539.3220001,9.611200000000002,62879.84,1289186429.6260002,13.313199999999995,48705.92,13.304399999999998,50709.77819999998,4.2356,9.947000000000003,0.2094,0.16879999999999998,0.20980000000000004,5.2462,5.2462,85019728637.44522,13.263799999999998,10.7302,91.4216,3.5841999999999983,54.56019999999999,1.3678,0.06759999999999998,93.397,1.0,0.06619999999999998,6.6030000000000015,14.473400000000007,15.9318,20.7676,20.731399999999994,20.731399999999994,2654.9377999999992,849580.04,2659.5284,851049.38,16.0,26896.0,16.0,0.0,0.0,0.0,430336.0,10.509999999999996,32.0,128.0,32.0,64.0,4.5748,7.1481999999999974,32.0,50.0,111,0x2000601a4400,0x2000601a4e40,2624,0,0,0.0,0.0,0.0,4
656,Fan2,m,2,863799539.3220001,9.611200000000002,62879.84,1289186429.6260002,13.313199999999995,48705.92,13.304399999999998,50709.77819999998,4.2356,9.947000000000003,0.2094,0.16879999999999998,0.20980000000000004,5.2462,5.2462,85019728637.44522,13.263799999999998,10.7302,91.4216,3.5841999999999983,54.56019999999999,1.3678,0.06759999999999998,93.397,1.0,0.06619999999999998,6.6030000000000015,14.473400000000007,15.9318,20.7676,20.731399999999994,20.731399999999994,2654.9377999999992,849580.04,2659.5284,851049.38,16.0,26896.0,16.0,0.0,0.0,0.0,430336.0,10.509999999999996,32.0,128.0,32.0,64.0,4.5748,7.1481999999999974,32.0,50.0,111,0x200060200000,0x2000603a4400,1721344,6,38,1728.0,0.0,0.0,0
672,Fan1,a,0,744056861.0289997,4.520200000000001,6241.08,1111816096.1862,4.520200000000001,5612.16,0.6522,64.9884,0.06000000000000005,40.33920000000001,0.2160000000000001,0.0,0.23020000000000015,5.749999999999999,5.749999999999999,34428472747.69042,0.478,4.520200000000001,51.21060000000002,0.05980000000000004,1.4188000000000005,2.8766000000000003,0.08759999999999997,93.89580000000002,1.0,0.06000000000000005,6.1042,28.8786,31.513399999999994,50.17480000000001,47.1496,47.1496,3.5096,1122.62,3.7295999999999987,1194.62,512.0,2.0,17.0,0.0,0.0,0.0,1024.0,0.010000000000000005,32.0,5.0,32.0,4.0,10.907,17.041000000000004,64.0,100.0,111,0x200060000000,0x2000601b9000,1806336,14,15,2048.0,1792.0,0.0,0
672,Fan1,b,1,744056861.0289997,4.520200000000001,6241.08,1111816096.1862,4.520200000000001,5612.16,0.6522,64.9884,0.06000000000000005,40.33920000000001,0.2160000000000001,0.0,0.23020000000000015,5.749999999999999,5.749999999999999,34428472747.69042,0.478,4.520200000000001,51.21060000000002,0.05980000000000004,1.4188000000000005,2.8766000000000003,0.08759999999999997,93.89580000000002,1.0,0.06000000000000005,6.1042,28.8786,31.513399999999994,50.17480000000001,47.1496,47.1496,3.5096,1122.62,3.7295999999999987,1194.62,512.0,2.0,17.0,0.0,0.0,0.0,1024.0,0.010000000000000005,32.0,5.0,32.0,4.0,10.907,17.041000000000004,64.0,100.0,111,0x2000601b9000,0x2000601b9a80,2688,0,0,0.0,0.0,0.0,2
672,Fan1,m,2,744056861.0289997,4.520200000000001,6241.08,1111816096.1862,4.520200000000001,5612.16,0.6522,64.9884,0.06000000000000005,40.33920000000001,0.2160000000000001,0.0,0.23020000000000015,5.749999999999999,5.749999999999999,34428472747.69042,0.478,4.520200000000001,51.21060000000002,0.05980000000000004,1.4188000000000005,2.8766000000000003,0.08759999999999997,93.89580000000002,1.0,0.06000000000000005,6.1042,28.8786,31.513399999999994,50.17480000000001,47.1496,47.1496,3.5096,1122.62,3.7295999999999987,1194.62,512.0,2.0,17.0,0.0,0.0,0.0,1024.0,0.010000000000000005,32.0,5.0,32.0,4.0,10.907,17.041000000000004,64.0,100.0,111,0x200060200000,0x2000603b9000,1806336,6,33,2048.0,0.0,0.0,0
672,Fan2,a,0,865041727.3216001,9.5242,65848.9,1291754971.9668002,10.575400000000002,50917.12,10.545800000000002,50765.68180000001,4.246999999999999,10.9858,0.21940000000000026,0.16979999999999998,0.21960000000000027,5.509000000000001,5.509000000000001,84369100167.008,10.524,9.825,89.90760000000004,3.5933999999999986,68.2866,1.4506,0.06999999999999995,93.04999999999997,1.0,0.06999999999999995,6.950000000000001,14.475400000000011,15.933800000000002,20.899599999999996,20.8666,20.8666,2788.9310000000014,892457.96,2793.5110000000004,893923.62,16.0,28224.0,16.0,0.0,0.0,0.0,451584.0,11.029999999999989,32.0,128.0,32.0,64.0,4.7832,7.475599999999997,32.0,50.0,111,0x200060000000,0x2000601b9000,1806336,14,15,2048.0,1792.0,0.0,1
672,Fan2,b,1,865041727.3216001,9.5242,65848.9,1291754971.9668002,10.575400000000002,50917.12,10.545800000000002,50765.68180000001,4.246999999999999,10.9858,0.21940000000000026,0.16979999999999998,0.21960000000000027,5.509000000000001,5.509000000000001,84369100167.008,10.524,9.825,89.90760000000004,3.5933999999999986,68.2866,1.4506,0.06999999999999995,93.04999999999997,1.0,0.06999999999999995,6.950000000000001,14.475400000000011,15.933800000000002,20.899599999999996,20.8666,20.8666,2788.9310000000014,892457.96,2793.5110000000004,893923.62,16.0,28224.0,16.0,0.0,0.0,0.0,451584.0,11.029999999999989,32.0,128.0,32.0,64.0,4.7832,7.475599999999997,32.0,50.0,111,0x2000601b9000,0x2000601b9a80,2688,0,0,0.0,0.0,0.0,4
672,Fan2,m,2,865041727.3216001,9.5242,65848.9,1291754971.9668002,10.575400000000002,50917.12,10.545800000000002,50765.68180000001,4.246999999999999,10.9858,0.21940000000000026,0.16979999999999998,0.21960000000000027,5.509000000000001,5.509000000000001,84369100167.008,10.524,9.825,89.90760000000004,3.5933999999999986,68.2866,1.4506,0.06999999999999995,93.04999999999997,1.0,0.06999999999999995,6.950000000000001,14.475400000000011,15.933800000000002,20.899599999999996,20.8666,20.8666,2788.9310000000014,892457.96,2793.5110000000004,893923.62,16.0,28224.0,16.0,0.0,0.0,0.0,451584.0,11.029999999999989,32.0,128.0,32.0,64.0,4.7832,7.475599999999997,32.0,50.0,111,0x200060200000,0x2000603b9000,1806336,6,33,2048.0,0.0,0.0,0
688,Fan1,a,0,723318390.3870003,4.9752,5904.64,1081978231.7352,4.9752,5456.0,0.7030000000000001,60.67979999999998,0.06440000000000003,44.20480000000001,0.2364000000000002,0.0,0.2506,6.274400000000001,6.274400000000001,36834632868.8374,0.5153999999999997,4.9752,51.2048,0.05699999999999999,1.4273999999999998,2.9563999999999995,0.09479999999999998,93.35300000000002,1.0,0.06799999999999999,6.647,28.813000000000002,31.438,47.271,44.47299999999999,44.47299999999999,3.5792000000000015,1145.24,3.8018,1217.24,512.0,2.0,17.0,0.0,0.0,0.0,1024.0,0.010000000000000005,32.0,5.0,32.0,4.0,11.2128,17.5204,64.0,100.0,111,0x200060000000,0x2000601ce400,1893376,15,35,2048.0,1856.0,0.0,0
688,Fan1,b,1,723318390.3870003,4.9752,5904.64,1081978231.7352,4.9752,5456.0,0.7030000000000001,60.67979999999998,0.06440000000000003,44.20480000000001,0.2364000000000002,0.0,0.2506,6.274400000000001,6.274400000000001,36834632868.8374,0.5153999999999997,4.9752,51.2048,0.05699999999999999,1.4273999999999998,2.9563999999999995,0.09479999999999998,93.35300000000002,1.0,0.06799999999999999,6.647,28.813000000000002,31.438,47.271,44.47299999999999,44.47299999999999,3.5792000000000015,1145.24,3.8018,1217.24,512.0,2.0,17.0,0.0,0.0,0.0,1024.0,0.010000000000000005,32.0,5.0,32.0,4.0,11.2128,17.5204,64.0,100.0,111,0x2000601ce400,0x2000601ceec0,2752,0,0,0.0,0.0,0.0,3
