Benchmark,InputData,ID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy
cfd,193K,20,cuda_time_step,828076323.99,75.96,25342,1230075285.57,75.96,20544,25.26,20650.64,6.03,16.11,192,1008,22,0,0,0,193536,1.26,32,14,32,10,49.79,77.80,60,93.75
cfd,193K,21,cuda_compute_step_factor,850815850.82,52.30,17328,1258279914.53,52.30,13728,16.17,13788.35,25.14,13.16,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.01,70.34,60,93.75
cfd,193K,22,cuda_compute_flux,868392664.51,41.60,76477,1282837221.32,43.32,59328,43.32,69604.07,32.17,33.74,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.67,40.11,30,46.88
cfd,193K,23,cuda_time_step,819359756.10,74.96,25632,1217336763.21,74.96,20992,24.96,20546.04,5.96,16.19,192,1008,22,0,0,0,193536,1.26,32,14,32,10,49.87,77.92,60,93.75
cfd,193K,24,cuda_compute_flux,894005449.59,40.74,78025,1321784173.48,42.36,58720,42.36,68381.64,31.05,34.38,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.95,40.54,30,46.88
cfd,193K,25,cuda_time_step,823076923.08,75.29,25510,1222692307.69,75.29,20800,25.09,20710.85,5.99,16.06,192,1008,22,0,0,0,193536,1.26,32,14,32,10,47.92,74.88,60,93.75
cfd,193K,26,cuda_compute_flux,861391396.71,41.27,77102,1272899517.61,42.72,60256,42.72,69137.14,31.04,33.95,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.48,39.81,30,46.88
cfd,193K,27,cuda_time_step,823619631.90,74.92,25572,1222001214.21,74.92,20864,25.03,21204.74,5.97,15.69,192,1008,22,0,0,0,193536,1.26,32,14,32,10,47.42,74.09,60,93.75
cfd,193K,28,cuda_compute_step_factor,813817330.21,55.04,16474,1201563719.75,55.04,13664,17.00,14081.34,25.93,12.89,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.19,70.61,60,93.75
cfd,193K,29,cuda_compute_flux,838947368.42,41.98,75653,1238308662.28,43.22,60800,43.22,69279.27,31.99,33.75,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.53,39.89,30,46.88
cfd,193K,30,cuda_time_step,843750000,74.78,25768,1254866536.46,74.78,20480,24.80,20671.80,5.93,16.09,192,1008,22,0,0,0,193536,1.26,32,14,32,10,48.25,75.39,60,93.75
cfd,193K,31,cuda_compute_flux,862855609.23,41.60,76367,1274378242.98,42.90,59616,42.90,68979.95,30.97,33.80,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.74,40.22,30,46.88
cfd,193K,32,cuda_time_step,840674603.17,75.88,25249,1248578042.33,75.88,20160,25.37,20360.15,6.05,16.34,192,1008,22,0,0,0,193536,1.26,32,14,32,10,49.65,77.58,60,93.75
cfd,193K,33,cuda_compute_flux,863980530.02,41.90,75894,1276376870.38,43.69,59168,43.69,67962.39,30.88,34.23,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.77,40.26,30,46.88
cfd,193K,34,cuda_time_step,867346938.78,73.04,26345,1288608712.72,73.04,20384,24.31,20613.36,5.80,16.14,192,1008,22,0,0,0,193536,1.26,32,14,32,10,48.44,75.69,60,93.75
cfd,193K,35,cuda_compute_step_factor,814988290.40,54.48,16499,1204320355.19,54.48,13664,16.98,13664.41,25.11,13.28,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.16,70.57,60,93.75
cfd,193K,36,cuda_compute_flux,858454889.25,42.14,75449,1267313276.61,43.69,59232,43.69,69082.39,31.27,33.84,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.92,40.50,30,46.88
cfd,193K,37,cuda_time_step,801503759.40,75.75,25414,1191173245.61,75.75,21280,25.17,20452.26,6.01,16.26,192,1008,22,0,0,0,193536,1.26,32,14,32,10,50.32,78.62,60,93.75
cfd,193K,38,cuda_compute_flux,842711682.74,42.55,74681,1244498593.25,44.03,59712,44.03,68331.11,31.07,34.15,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.86,40.41,30,46.88
cfd,193K,39,cuda_time_step,852165354.33,74.17,25793,1265436351.71,74.17,20320,24.83,21221.38,5.93,15.67,192,1008,22,0,0,0,193536,1.26,32,14,32,10,47.26,73.85,60,93.75
cfd,193K,40,cuda_compute_flux,864470108.70,42.07,75539,1277055027.17,43.82,58880,43.82,69008.04,30.44,33.77,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.65,40.08,30,46.88
cfd,193K,41,cuda_time_step,816187594.55,74.59,25712,1211831820.47,74.59,21152,24.91,20697.83,5.94,16.07,192,1008,22,0,0,0,193536,1.26,32,14,32,10,48.24,75.37,60,93.75
cfd,193K,42,cuda_compute_step_factor,824254587.16,53.15,17064,1219562308.87,53.15,13952,16.43,13423.33,23.87,13.52,192,1008,20,0,0,0,193536,1.26,32,14,32,10,44.61,69.71,60,93.75
cfd,193K,43,cuda_compute_flux,866360691.14,41.69,76227,1279469829.91,43.32,59264,43.32,68638.16,30.52,33.81,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.76,40.25,30,46.88
cfd,193K,44,cuda_time_step,797672672.67,75.55,25323,1184504817.32,75.55,21312,25.27,20584.86,6.04,16.16,192,1008,22,0,0,0,193536,1.26,32,14,32,10,50.44,78.81,60,93.75
cfd,193K,45,cuda_compute_flux,851113794.95,42.15,75314,1256922079.08,43.77,59616,43.77,67820.88,30.28,34.39,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.83,40.36,30,46.88
cfd,193K,46,cuda_time_step,847392638.04,72.88,26326,1258323747.44,72.88,20864,24.32,21228.17,5.80,15.67,192,1008,22,0,0,0,193536,1.26,32,14,32,10,50.35,78.67,60,93.75
cfd,193K,47,cuda_compute_flux,855670797.41,42.16,75398,1263596107.22,43.72,59392,43.72,66937.01,30.05,34.72,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.91,40.49,30,46.88
cfd,193K,48,cuda_time_step,882249216.30,71.45,26852,1311789772.73,71.45,20416,23.83,20568.66,5.69,16.17,192,1008,22,0,0,0,193536,1.26,32,14,32,10,50.01,78.14,60,93.75
cfd,193K,49,cuda_compute_step_factor,835664335.66,53.42,17025,1235479797.98,53.42,13728,16.49,13524.31,23.44,13.42,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.83,71.61,60,93.75
cfd,193K,50,cuda_compute_flux,850361542.58,42.20,75430,1255763479.74,43.50,59744,43.50,67166.99,30.31,34.82,192,1008,60,0,0,0,193536,2.52,32,5,32,10,26.05,40.70,30,46.88
cfd,193K,51,cuda_time_step,825652841.78,74.91,25627,1226870519.71,74.91,20832,24.98,20865.09,5.96,15.94,192,1008,22,0,0,0,193536,1.26,32,14,32,10,47.94,74.91,60,93.75
cfd,193K,52,cuda_compute_flux,855183763.03,42.89,74029,1262665135.31,44.81,58336,44.81,67875.16,30.41,34.48,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.96,40.57,30,46.88
cfd,193K,53,cuda_time_step,831316187.59,73.17,26212,1235809064.55,73.17,21152,24.44,20587.26,5.82,16.16,192,1008,22,0,0,0,193536,1.26,32,14,32,10,48.60,75.93,60,93.75
cfd,193K,54,cuda_compute_flux,852813852.81,42.41,74815,1259055397.73,44.23,59136,44.23,67122.48,29.90,34.80,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.80,40.32,30,46.88
cfd,193K,55,cuda_time_step,870597243.49,70.71,27114,1294354581.42,70.71,20896,23.59,20867.28,5.63,15.94,192,1008,22,0,0,0,193536,1.26,32,14,32,10,48.32,75.50,60,93.75
cfd,193K,56,cuda_compute_step_factor,788990825.69,55.24,16337,1166415806.57,55.24,13952,17.20,13315.88,24.18,13.63,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.32,70.81,60,93.75
cfd,193K,57,cuda_compute_flux,843897328.44,41.54,76540,1246376811.59,42.85,61088,42.85,68290.94,29.60,33.99,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.64,40.07,30,46.88
cfd,193K,58,cuda_time_step,864715189.87,73.61,26067,1285123285.86,73.61,20224,24.56,20567.94,5.86,16.17,192,1008,22,0,0,0,193536,1.26,32,14,32,10,50.09,78.27,60,93.75
cfd,193K,59,cuda_compute_flux,853598691.38,42.71,74313,1259908328.79,44.36,58688,44.36,66684.43,29.95,35.25,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.98,40.59,30,46.88
cfd,193K,60,cuda_time_step,829420970.27,76.03,25271,1232875260.82,76.03,20448,25.30,20944.14,6.05,15.88,192,1008,22,0,0,0,193536,1.26,32,14,32,10,49.61,77.52,60,93.75
cfd,193K,61,cuda_compute_flux,843867924.53,42.74,74321,1245920372.87,44.15,59360,44.15,67417.11,29.78,34.59,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.77,40.26,30,46.88
cfd,193K,62,cuda_time_step,818873668.19,74.76,25623,1214857623.03,74.76,21024,24.98,20924.79,5.96,15.90,192,1008,22,0,0,0,193536,1.26,32,14,32,10,48.53,75.82,60,93.75
cfd,193K,63,cuda_compute_step_factor,836448598.13,53.03,17008,1238780179.13,53.03,13696,16.45,13438.30,22.80,13.50,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.74,71.48,60,93.75
cfd,193K,64,cuda_compute_flux,870694368.51,42.05,75676,1286056816.11,43.73,58528,43.73,67226.44,29.50,34.61,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.85,40.38,30,46.88
cfd,193K,65,cuda_time_step,861821086.26,74.59,25721,1280359757.72,74.59,20032,24.87,21163.22,5.94,15.72,192,1008,22,0,0,0,193536,1.26,32,14,32,10,47.16,73.68,60,93.75
cfd,193K,66,cuda_compute_flux,834594594.59,43.29,73282,1231537162.16,45.21,59200,45.21,67855.62,30.06,34.34,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.82,40.34,30,46.88
cfd,193K,67,cuda_time_step,855828220.86,72.05,26612,1272127428.43,72.05,20864,24.04,20732.58,5.74,16.04,192,1008,22,0,0,0,193536,1.26,32,14,32,10,49.66,77.59,60,93.75
cfd,193K,68,cuda_compute_flux,840736728.06,43.12,73683,1241555502.89,44.98,59072,44.98,67188.98,29.75,34.65,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.78,40.29,30,46.88
cfd,193K,69,cuda_time_step,816485225.51,76.62,25002,1211176451.53,76.62,20576,25.64,20579.29,6.11,16.16,192,1008,22,0,0,0,193536,1.26,32,14,32,10,48.81,76.26,60,93.75
cfd,193K,70,cuda_compute_step_factor,821428571.43,55.65,16377,1214980158.73,55.65,13440,17.10,12986.34,23.42,13.97,192,1008,20,0,0,0,193536,1.26,32,14,32,10,46.56,72.75,60,93.75
cfd,193K,71,cuda_compute_flux,882336655.59,42.03,75704,1303101351.97,43.19,57792,43.19,67034.90,29.23,34.83,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.91,40.49,30,46.88
cfd,193K,72,cuda_time_step,841412213.74,73.04,26304,1250206743.00,73.04,20960,24.38,20727.04,5.81,16.05,192,1008,22,0,0,0,193536,1.26,32,14,32,10,50.00,78.13,60,93.75
cfd,193K,73,cuda_compute_flux,867420066.15,42.55,74719,1280313993.02,44.17,58048,44.17,66847.56,29.23,34.87,192,1008,60,0,0,0,193536,2.52,32,5,32,10,26.11,40.79,30,46.88
cfd,193K,74,cuda_time_step,871875000,71.98,26596,1295312500,71.98,20480,24.06,21145.01,5.74,15.73,192,1008,22,0,0,0,193536,1.26,32,14,32,10,47.71,74.55,60,93.75
cfd,193K,75,cuda_compute_flux,835097935.42,42.40,74938,1232966075.52,44.06,60448,44.06,67502.73,29.04,34.62,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.80,40.30,30,46.88
cfd,193K,76,cuda_time_step,781719219.22,77.21,24807,1160465152.65,77.21,21312,25.82,20435.14,6.16,16.28,192,1008,22,0,0,0,193536,1.26,32,14,32,10,49.62,77.53,60,93.75
cfd,193K,77,cuda_compute_step_factor,846244131.46,52.91,17110,1249889964.79,52.91,13632,16.40,13242.46,22.18,13.70,192,1008,20,0,0,0,193536,1.26,32,14,32,10,46.34,72.41,60,93.75
cfd,193K,78,cuda_compute_flux,828869844.67,43.19,73452,1222928941.26,44.95,59744,44.95,67447.94,29.86,34.43,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.74,40.22,30,46.88
cfd,193K,79,cuda_time_step,843898573.69,75.68,25407,1253425449.02,75.68,20192,25.26,20693.42,6.02,16.07,192,1008,22,0,0,0,193536,1.26,32,14,32,10,48.98,76.53,60,93.75
cfd,193K,80,cuda_compute_flux,840266558.97,42.86,74133,1240654729.85,44.66,59424,44.66,66980.81,29.27,34.84,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.92,40.50,30,46.88
cfd,193K,81,cuda_time_step,860248447.20,72.65,26415,1277756211.18,72.65,20608,24.24,20761.24,5.78,16.02,192,1008,22,0,0,0,193536,1.26,32,14,32,10,50.79,79.36,60,93.75
cfd,193K,82,cuda_compute_flux,860396570.20,41.66,76291,1271104077.35,42.97,59712,42.97,66420.86,28.33,34.73,192,1008,60,0,0,0,193536,2.52,32,5,32,10,26.01,40.64,30,46.88
cfd,193K,83,cuda_time_step,816998468.61,75.46,25424,1213453930.58,75.46,20896,25.19,20589.15,6.01,16.16,192,1008,22,0,0,0,193536,1.26,32,14,32,10,48.64,76.00,60,93.75
cfd,193K,84,cuda_compute_step_factor,821345707.66,53.94,16813,1215028035.58,53.94,13792,16.66,13421.31,22.46,13.52,192,1008,20,0,0,0,193536,1.26,32,14,32,10,46.23,72.23,60,93.75
cfd,193K,85,cuda_compute_flux,838164251.21,42.85,74147,1237573246.56,44.25,59616,44.25,67567.11,29.45,34.25,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.92,40.49,30,46.88
cfd,193K,86,cuda_time_step,803921568.63,75.39,25425,1194884364.00,75.39,21216,25.18,20783.15,6.01,16.01,192,1008,22,0,0,0,193536,1.26,32,14,32,10,47.88,74.82,60,93.75
cfd,193K,87,cuda_compute_flux,828266666.67,43.13,73682,1221844444.44,44.84,60000,44.84,66765.65,29.25,34.93,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.89,40.46,30,46.88
cfd,193K,88,cuda_time_step,826283987.92,73.62,26075,1227333522.16,73.62,21184,24.55,20763.55,5.86,16.02,192,1008,22,0,0,0,193536,1.26,32,14,32,10,48.16,75.25,60,93.75
cfd,193K,89,cuda_compute_flux,828000000.00,43.11,73699,1222102777.78,44.83,60000,44.83,66598.66,29.17,35.06,192,1008,60,0,0,0,193536,2.52,32,5,32,10,26.07,40.73,30,46.88
cfd,193K,90,cuda_time_step,836300309.60,74.46,25765,1241985939.11,74.46,20672,24.90,20673.85,5.93,16.09,192,1008,22,0,0,0,193536,1.26,32,14,32,10,48.32,75.50,60,93.75
cfd,193K,91,cuda_compute_step_factor,858333333.33,53.03,17102,1268911210.32,53.03,13440,16.37,13338.17,21.86,13.60,192,1008,20,0,0,0,193536,1.26,32,14,32,10,45.14,70.53,60,93.75
cfd,193K,92,cuda_compute_flux,868538076.71,42.80,74101,1282130118.58,44.22,57568,44.22,67043.75,29.21,34.80,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.74,40.22,30,46.88
cfd,193K,93,cuda_time_step,892633228.84,70.63,27146,1325757575.76,70.63,20416,23.58,20878.25,5.63,15.93,192,1008,22,0,0,0,193536,1.26,32,14,32,10,49.43,77.23,60,93.75
cfd,193K,94,cuda_compute_flux,797191887.68,43.68,72701,1175715570.29,45.32,61536,45.32,66668.73,29.48,34.73,192,1008,60,0,0,0,193536,2.52,32,5,32,10,26.14,40.85,30,46.88
cfd,193K,95,cuda_time_step,813646788.99,75.80,25393,1209153606.01,75.80,20928,25.22,20910.45,6.02,15.91,192,1008,22,0,0,0,193536,1.26,32,14,32,10,47.87,74.80,60,93.75
cfd,193K,96,cuda_compute_flux,880688124.31,42.13,75389,1300334697.56,43.71,57664,43.71,67415.74,28.38,34.62,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.87,40.42,30,46.88
cfd,193K,97,cuda_time_step,847891566.27,71.57,26849,1260102911.65,71.57,21248,23.83,20602.11,5.69,16.15,192,1008,22,0,0,0,193536,1.26,32,14,32,10,48.48,75.75,60,93.75
cfd,193K,98,cuda_compute_step_factor,832031250,55.20,16432,1230418669.87,55.20,13312,17.08,13316.14,22.60,13.63,192,1008,20,0,0,0,193536,1.26,32,14,32,10,44.41,69.40,60,93.75
cfd,193K,99,cuda_compute_flux,850026780.93,42.14,75358,1255010266.02,43.79,59744,43.79,67542.57,28.58,34.47,192,1008,60,0,0,0,193536,2.52,32,5,32,10,25.85,40.39,30,46.88
cfd,missile0.2M,0,cuda_compute_step_factor,768500000,59.02,18250,1135208333.33,59.02,16000,18.51,15531.48,30.26,14.05,192,1212,20,0,0,0,232704,1.52,32,14,32,10,47.91,74.86,60,93.75
cfd,missile0.2M,1,cuda_compute_flux,843608340.89,43.18,88508,1248309534.60,43.18,70592,42.95,77808.26,35.13,34.73,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.74,43.35,30,46.88
cfd,missile0.2M,2,cuda_time_step,841446453.41,78.04,28868,1251470503.01,78.04,23008,26.70,24708.28,6.35,16.19,192,1212,22,0,0,0,232704,1.52,32,14,32,10,50.06,78.22,60,93.75
cfd,missile0.2M,3,cuda_compute_flux,865817008.01,41.35,92486,1280603016.47,41.64,71872,41.64,82011.56,36.61,33.19,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.32,42.69,30,46.88
cfd,missile0.2M,4,cuda_time_step,883787661.41,77.03,29359,1313396700.14,77.03,22304,26.23,24124.42,6.24,16.58,192,1212,22,0,0,0,232704,1.52,32,14,32,10,49.98,78.10,60,93.75
cfd,missile0.2M,5,cuda_compute_flux,854166666.67,41.67,91580,1262563718.97,41.83,72192,41.83,80108.26,34.85,33.96,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.40,42.81,30,46.88
cfd,missile0.2M,6,cuda_time_step,856321839.08,79.39,28413,1272172832.85,79.39,22272,27.10,24757.64,6.45,16.16,192,1212,22,0,0,0,232704,1.52,32,14,32,10,48.33,75.52,60,93.75
cfd,missile0.2M,7,cuda_compute_step_factor,783300198.81,57.60,18679,1156301772.70,57.60,16096,18.04,16104.05,30.49,13.55,192,1212,20,0,0,0,232704,1.52,32,14,32,10,47.46,74.16,60,93.75
cfd,missile0.2M,8,cuda_compute_flux,870654627.54,41.70,91645,1287088506.40,41.96,70880,41.96,80052.68,34.73,33.93,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.21,42.51,30,46.88
cfd,missile0.2M,9,cuda_time_step,828472222.22,79.35,28426,1229231770.83,79.35,23040,27.09,24224.88,6.46,16.51,192,1212,22,0,0,0,232704,1.52,32,14,32,10,49.18,76.85,60,93.75
cfd,missile0.2M,10,cuda_compute_flux,877453217.71,41.81,91406,1297302886.81,42.02,70112,42.02,79720.01,34.44,34.04,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.18,42.48,30,46.88
cfd,missile0.2M,11,cuda_time_step,866855524.08,77.44,29140,1286126357.41,77.44,22592,26.43,24377.89,6.29,16.41,192,1212,22,0,0,0,232704,1.52,32,14,32,10,48.51,75.79,60,93.75
cfd,missile0.2M,12,cuda_compute_flux,876315187.56,41.92,91054,1295547899.51,42.18,69952,42.18,79967.43,34.03,34.03,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.20,42.51,30,46.88
cfd,missile0.2M,13,cuda_time_step,832436069.99,76.56,29510,1237704688.20,76.56,23776,26.05,24237.25,6.21,16.50,192,1212,22,0,0,0,232704,1.52,32,14,32,10,48.81,76.27,60,93.75
cfd,missile0.2M,14,cuda_compute_step_factor,773641851.11,58.70,18199,1140446847.75,58.70,15904,18.51,15680.95,30.30,13.91,192,1212,20,0,0,0,232704,1.52,32,14,32,10,47.39,74.04,60,93.75
cfd,missile0.2M,15,cuda_compute_flux,893939393.94,41.92,91117,1321263111.89,42.22,68640,42.22,79683.48,34.00,33.89,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.15,42.42,30,46.88
cfd,missile0.2M,16,cuda_time_step,865569272.98,74.94,30102,1285901063.10,74.94,23328,25.57,23807.50,6.10,16.80,192,1212,22,0,0,0,232704,1.52,32,14,32,10,50.84,79.43,60,93.75
cfd,missile0.2M,17,cuda_compute_flux,867262723.52,42.47,89933,1281966414.49,42.62,69792,42.62,79273.64,33.92,34.18,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.32,42.68,30,46.88
cfd,missile0.2M,18,cuda_time_step,860667634.25,79.95,28277,1278604257.38,79.95,22048,27.21,24549.24,6.49,16.29,192,1212,22,0,0,0,232704,1.52,32,14,32,10,48.30,75.47,60,93.75
cfd,missile0.2M,19,cuda_compute_flux,880541297.25,42.66,89750,1301978826.41,42.94,68576,42.94,78805.39,33.66,34.44,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.20,42.51,30,46.88
cfd,missile0.2M,20,cuda_time_step,826788218.79,80.17,28088,1227398901.36,80.17,22816,27.43,24679.65,6.53,16.21,192,1212,22,0,0,0,232704,1.52,32,14,32,10,48.86,76.34,60,93.75
cfd,missile0.2M,21,cuda_compute_step_factor,784836065.57,58.94,18130,1157381318.31,58.94,15616,18.58,15755.55,29.48,13.85,192,1212,20,0,0,0,232704,1.52,32,14,32,10,47.57,74.33,60,93.75
cfd,missile0.2M,22,cuda_compute_flux,859926639.16,42.89,89087,1270061993.73,43.21,69792,43.21,78242.39,33.85,34.75,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.12,42.38,30,46.88
cfd,missile0.2M,23,cuda_time_step,875000000,77.08,29363,1299508759.47,77.08,22528,26.19,24446.25,6.25,16.36,192,1212,22,0,0,0,232704,1.52,32,14,32,10,48.88,76.38,60,93.75
cfd,missile0.2M,24,cuda_compute_flux,877060763.07,43.13,88480,1295859338.20,43.55,67936,43.55,78262.25,33.67,34.65,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.31,42.67,30,46.88
cfd,missile0.2M,25,cuda_time_step,857396870.55,78.58,28774,1273204125.18,78.58,22496,26.80,24139.36,6.38,16.57,192,1212,22,0,0,0,232704,1.52,32,14,32,10,49.44,77.25,60,93.75
cfd,missile0.2M,26,cuda_compute_flux,855172413.79,43.21,88381,1263795498.08,43.56,69600,43.56,77231.79,33.39,35.30,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.34,42.72,30,46.88
cfd,missile0.2M,27,cuda_time_step,834273624.82,79.91,28181,1237372179.13,79.91,22688,27.33,24383.41,6.51,16.40,192,1212,22,0,0,0,232704,1.52,32,14,32,10,48.74,76.16,60,93.75
cfd,missile0.2M,28,cuda_compute_step_factor,821093750,57.44,18698,1213031684.03,57.44,15360,18.02,15825.38,28.13,13.79,192,1212,20,0,0,0,232704,1.52,32,14,32,10,47.61,74.39,60,93.75
cfd,missile0.2M,29,cuda_compute_flux,870087840.96,42.74,89402,1285733549.08,42.74,69216,42.63,78435.55,33.23,34.77,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.25,42.58,30,46.88
cfd,missile0.2M,30,cuda_time_step,868679775.28,76.50,29495,1290123185.86,76.50,22784,26.07,24176.67,6.22,16.54,192,1212,22,0,0,0,232704,1.52,32,14,32,10,49.58,77.47,60,93.75
cfd,missile0.2M,31,cuda_compute_flux,872997172.48,43.39,87991,1290184181.59,43.51,67904,43.51,77668.38,33.18,34.88,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.26,42.59,30,46.88
cfd,missile0.2M,32,cuda_time_step,869318181.82,77.20,29175,1290852864.58,77.20,22528,26.39,24150.94,6.29,16.56,192,1212,22,0,0,0,232704,1.52,32,14,32,10,49.18,76.84,60,93.75
cfd,missile0.2M,33,cuda_compute_flux,858604651.16,43.56,87741,1269425872.09,43.60,68800,43.60,77619.14,33.03,34.78,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.26,42.60,30,46.88
cfd,missile0.2M,34,cuda_time_step,847795163.58,79.25,28445,1259112731.15,79.25,22496,27.11,24213.81,6.46,16.52,192,1212,22,0,0,0,232704,1.52,32,14,32,10,49.16,76.82,60,93.75
cfd,missile0.2M,35,cuda_compute_step_factor,781186094.07,59.27,18109,1152809730.74,59.27,15648,18.61,15974.39,28.37,13.66,192,1212,20,0,0,0,232704,1.52,32,14,32,10,47.54,74.28,60,93.75
cfd,missile0.2M,36,cuda_compute_flux,852859778.60,43.49,87813,1260517566.11,43.49,69376,43.45,77570.84,33.11,34.86,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.26,42.59,30,46.88
cfd,missile0.2M,37,cuda_time_step,798233695.65,80.55,27981,1184803838.32,80.55,23552,27.51,24473.41,6.55,16.34,192,1212,22,0,0,0,232704,1.52,32,14,32,10,48.76,76.19,60,93.75
cfd,missile0.2M,38,cuda_compute_flux,867385192.13,43.47,87992,1282604557.17,43.47,68288,43.38,78103.85,32.68,34.65,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.19,42.49,30,46.88
cfd,missile0.2M,39,cuda_time_step,842514124.29,79.19,28466,1251934733.99,79.19,22656,27.05,24993.70,6.45,16.00,192,1212,22,0,0,0,232704,1.52,32,14,32,10,48.33,75.51,60,93.75
cfd,missile0.2M,40,cuda_compute_flux,868342843.56,44.05,86869,1283521061.18,44.05,67296,43.93,76982.35,32.90,35.06,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.27,42.62,30,46.88
cfd,missile0.2M,41,cuda_time_step,833559782.61,77.07,29265,1238429857.34,77.07,23552,26.28,24139.66,6.27,16.57,192,1212,22,0,0,0,232704,1.52,32,14,32,10,49.37,77.14,60,93.75
cfd,missile0.2M,42,cuda_compute_step_factor,819238900.63,57.82,18411,1211361434.11,57.82,15136,18.31,15596.76,27.49,13.99,192,1212,20,0,0,0,232704,1.52,32,14,32,10,47.05,73.52,60,93.75
cfd,missile0.2M,43,cuda_compute_flux,864744491.33,43.58,87651,1278156254.88,43.71,68256,43.71,77867.27,32.76,34.92,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.23,42.55,30,46.88
cfd,missile0.2M,44,cuda_time_step,837988826.82,79.17,28628,1245439071.23,79.17,22912,26.91,24864.80,6.41,16.09,192,1212,22,0,0,0,232704,1.52,32,14,32,10,47.94,74.91,60,93.75
cfd,missile0.2M,45,cuda_compute_flux,855352145.52,43.83,87186,1264286477.77,43.83,68608,43.76,77480.18,32.50,34.97,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.25,42.57,30,46.88
cfd,missile0.2M,46,cuda_time_step,817687074.83,78.70,28649,1214753401.36,78.70,23520,26.89,24066.46,6.40,16.62,192,1212,22,0,0,0,232704,1.52,32,14,32,10,49.24,76.94,60,93.75
cfd,missile0.2M,47,cuda_compute_flux,869866284.62,44.14,86536,1284965974.21,44.23,67008,44.23,76718.06,32.54,35.34,192,1212,60,0,0,0,232704,3.03,32,5,32,10,27.28,42.63,30,46.88
cfd,missile0.2M,48,cuda_time_step,858974358.97,78.37,28797,1277080365.62,78.37,22464,26.77,24034.79,6.37,16.64,192,1212,22,0,0,0,232704,1.52,32,14,32,10,49.36,77.13,60,93.75
