Benchmark,InputData,ID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy
cfd,097K,28,cuda_compute_step_factor,781250000,44.92,10695,1159215856.48,44.92,9216,13.11,8113.15,19.58,11.23,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.09,47.02,60,93.75
cfd,097K,29,cuda_compute_flux,894557823.13,34.44,49908,1320113201.53,34.44,37632,30.88,37526.90,23.84,28.86,192,506,60,0,0,0,97152,1.27,32,5,32,10,23.99,37.48,30,46.88
cfd,097K,30,cuda_time_step,902116402.12,60.82,16251,1340305335.10,60.82,12096,19.77,11541.76,4.75,14.47,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.80,52.82,60,93.75
cfd,097K,31,cuda_compute_flux,859781696.05,35.36,48523,1267313007.28,35.36,38112,31.66,37338.21,23.91,29.11,192,506,60,0,0,0,97152,1.27,32,5,32,10,23.61,36.90,30,46.88
cfd,097K,32,cuda_time_step,826771653.54,65.52,14997,1227170822.40,65.52,12192,21.42,11780.51,5.14,14.17,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.55,52.43,60,93.75
cfd,097K,33,cuda_compute_flux,904436860.07,34.14,50276,1334742071.96,34.14,37504,30.57,36839.75,22.87,29.40,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.53,38.33,30,46.88
cfd,097K,34,cuda_time_step,805483028.72,67.27,14646,1192259573.54,67.27,12256,21.94,11507.49,5.27,14.51,192,506,22,0,0,0,97152,0.63,32,14,32,10,33.78,52.78,60,93.75
cfd,097K,35,cuda_compute_step_factor,769896193.77,45.08,10599,1143959054.21,45.08,9248,13.24,8155.07,19.20,11.17,192,506,20,0,0,0,97152,0.63,32,14,32,10,30.11,47.04,60,93.75
cfd,097K,36,cuda_compute_flux,809167350.29,36.56,46676,1192366523.11,36.56,39008,32.84,37095.05,24.83,29.22,192,506,60,0,0,0,97152,1.27,32,5,32,10,24.32,38.00,30,46.88
cfd,097K,37,cuda_time_step,862860892.39,62.79,15689,1282152230.97,62.79,12192,20.51,12153.23,4.92,13.74,192,506,22,0,0,0,97152,0.63,32,14,32,10,34.27,53.54,60,93.75
