kernel,InputData,advise0,advise1
calculate_temp,64,"[[0.2998645714285714, 0.9951894285714286, 0.7168414285714285, 0.7866812857142856, 0.38247971428571426, 0.5502481428571429, 0.8068865714285716], 0]","[[0.3092968571428571, 0.8232027142857142, 0.7628288571428571, 0.7361385714285714, 0.5345174285714285, 0.5412477142857143, 0.830959], 0]"
calculate_temp,128,"[[0.30499914285714286, 1.0449254285714284, 1.847315857142857, 1.1139904285714286, 0.4880814285714285, 0.9652109999999999, 1.0120735714285716], 0]","[[0.5286487142857142, 0.9423009999999999, 1.0469065714285715, 1.0361958571428571, 1.3621705714285715, 0.928183, 0.9321911428571427], 0]"
calculate_temp,256,"[[0.45653857142857135, 1.631263857142857, 3.5065421428571426, 1.3597217142857143, 1.137743142857143, 1.6039185714285717, 1.5685972857142858], 0]","[[0.9638521428571429, 1.4855204285714285, 1.867411142857143, 1.4884125714285712, 1.9941787142857141, 1.9186325714285712, 1.5463177142857145], 0]"
calculate_temp,512,"[[0.9562405714285716, 2.7251019999999997, 18.518009714285714, 2.318267714285714, 2.1090329999999997, 4.409228428571429, 2.355463142857143], 0]","[[5.140840857142857, 3.555901714285714, 3.5601850000000006, 4.0122795714285715, 6.349328, 5.329115857142857, 5.443693571428573], 0]"
calculate_temp,1024,"[[3.6898434285714288, 5.733909857142858, 44.4615, 5.331238142857144, 5.460602000000001, 14.185424285714285, 6.379025571428571], 0]","[[10.335905, 10.787532142857144, 12.212283571428571, 11.378654285714285, 10.409275428571428, 18.552647142857147, 11.565245714285712], 0]"
calculate_temp,2048,"[[11.130194714285713, 22.09001, 176.81215714285716, 17.63973357142857, 20.094695714285713, 53.241771428571425, 20.84510857142857], 0]","[[37.38801685714286, 45.311124428571425, 45.90245857142857, 47.091741, 41.07916457142857, 64.16899285714285, 40.91217285714286], 0]"
calculate_temp,4096,"[[42.644461285714286, 73.96383, 669.7020571428571, 65.31622142857142, 75.6903657142857, 205.1520857142857, 75.03463857142856], 0]","[[142.42132557142858, 162.83303285714285, 157.9689157142857, 165.16675285714285, 160.77622, 258.5974428571429, 159.73997], 0]"
calculate_temp,8192,"[[148.5835964285714, 271.7355857142857, 2947.1428571428573, 237.6321428571429, 281.4063428571429, 724.6485857142858, 270.64711428571434], 0]","[[577.6538321428571, 653.5396471428572, 653.6126457142857, 650.4605714285715, 670.7612571428572, 1021.3552714285714, 654.4129999999999], 0]"
