InputData,Kernel,Data,DataID,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
64,calculate_temp,FilesavingTemp,0,627415458.94,3.36,6204,935940016.1,3.36,6624,0.96,1353.78,3.67,7.32,0.65,0.14,0.67,16.81,16.81,21608695652.17,1.6,3.36,76.82,1.6,0.0,1.97,0.22,83.17,1,0.17,16.83,26.34,27.92,12.07,11.69,11.69,220.39,70524,227.59,72828,256,36,40,32768,0,3072,9216,0.07,32,6,32,8,7.9,12.35,48,75,11,0x200060000000,0x200060004000,16384,2,256,64.0,64.0,0.0,0
64,calculate_temp,FilesavingPower,1,627415458.94,3.36,6204,935940016.1,3.36,6624,0.96,1353.78,3.67,7.32,0.65,0.14,0.67,16.81,16.81,21608695652.17,1.6,3.36,76.82,1.6,0.0,1.97,0.22,83.17,1,0.17,16.83,26.34,27.92,12.07,11.69,11.69,220.39,70524,227.59,72828,256,36,40,32768,0,3072,9216,0.07,32,6,32,8,7.9,12.35,48,75,11,0x200060004000,0x200060008000,16384,0,0,0.0,0.0,0.0,0
128,calculate_temp,FilesavingTemp,0,639380530.97,12.3,6915,955590892.33,12.3,7232,3.13,3593.35,11.33,9.83,0.84,0.44,0.87,21.79,21.79,80517699115.04,5.11,12.3,75.68,5.09,0.0,2.99,0.35,77.61,1,0.22,22.39,26.86,28.42,13.78,13.36,13.36,758.75,242800,782.95,250544,256,121,40,32768,0,3072,30976,0.25,32,6,32,8,11.81,18.45,48,75,11,0x200060000000,0x200060010000,65536,2,471,128.0,0.0,0.0,0
128,calculate_temp,FilesavingPower,1,639380530.97,12.3,6915,955590892.33,12.3,7232,3.13,3593.35,11.33,9.83,0.84,0.44,0.87,21.79,21.79,80517699115.04,5.11,12.3,75.68,5.09,0.0,2.99,0.35,77.61,1,0.22,22.39,26.86,28.42,13.78,13.36,13.36,758.75,242800,782.95,250544,256,121,40,32768,0,3072,30976,0.25,32,6,32,8,11.81,18.45,48,75,11,0x200060010000,0x200060020000,65536,2,304,64.0,64.0,0.0,0
256,calculate_temp,FilesavingTemp,0,764505119.45,22.35,10661,1135114476.68,22.35,9376,8.31,7087.93,29.17,20.36,1.72,1.14,1.75,43.8,43.8,175006825938.57,13.56,22.35,76.36,13.27,0.0,9.13,1.72,56.45,1,0.44,43.55,26.9,28.45,21.42,20.97,20.97,3039.09,972508,3104.62,993478,256,484,40,32768,0,3072,123904,1.01,32,6,32,8,39.06,61.03,48,75,11,0x200060000000,0x200060040000,262144,4,264,320.0,0.0,0.0,0
256,calculate_temp,FilesavingPower,1,764505119.45,22.35,10661,1135114476.68,22.35,9376,8.31,7087.93,29.17,20.36,1.72,1.14,1.75,43.8,43.8,175006825938.57,13.56,22.35,76.36,13.27,0.0,9.13,1.72,56.45,1,0.44,43.55,26.9,28.45,21.42,20.97,20.97,3039.09,972508,3104.62,993478,256,484,40,32768,0,3072,123904,1.01,32,6,32,8,39.06,61.03,48,75,11,0x200060040000,0x200060080000,262144,2,0,256.0,64.0,0.0,0
512,calculate_temp,FilesavingTemp,0,833034111.31,26.35,22007,1227698608.62,26.35,17824,16.2,17754.84,53.69,32.29,2.63,2.14,2.65,66.16,66.16,224791741472.17,26.2,26.35,76.25,24.99,0.21,10.4,2.52,34.03,1,0.66,65.97,27.06,28.6,15.85,15.77,15.77,11686.55,3739696,11746.39,3758846,256,1849,40,32768,0,3072,473344,3.85,32,6,32,8,41.8,65.31,48,75,11,0x200060000000,0x200060100000,1048576,6,738,1152.0,0.0,0.0,0
512,calculate_temp,FilesavingPower,1,833034111.31,26.35,22007,1227698608.62,26.35,17824,16.2,17754.84,53.69,32.29,2.63,2.14,2.65,66.16,66.16,224791741472.17,26.2,26.35,76.25,24.99,0.21,10.4,2.52,34.03,1,0.66,65.97,27.06,28.6,15.85,15.77,15.77,11686.55,3739696,11746.39,3758846,256,1849,40,32768,0,3072,473344,3.85,32,6,32,8,41.8,65.31,48,75,11,0x200060100000,0x200060200000,1048576,2,171,1024.0,64.0,0.0,0
1024,calculate_temp,FilesavingTemp,0,857554517.13,32.6,65690,1272504543.09,35.35,51360,21.98,61767.91,71.66,37.4,3.03,2.86,3.03,75.82,75.82,286275389408.1,35.35,32.6,76.64,33.5,0.46,11.01,2.88,23.7,1,0.76,76.3,27.07,28.61,14.46,14.43,14.43,46761.89,14963804,46830.59,14985789,256,7396,40,32768,0,3072,1893376,15.41,32,6,32,8,44.27,69.17,48,75,11,0x200060000000,0x200060400000,4194304,13,1843,4224.0,0.0,0.0,0
1024,calculate_temp,FilesavingPower,1,857554517.13,32.6,65690,1272504543.09,35.35,51360,21.98,61767.91,71.66,37.4,3.03,2.86,3.03,75.82,75.82,286275389408.1,35.35,32.6,76.64,33.5,0.46,11.01,2.88,23.7,1,0.76,76.3,27.07,28.61,14.46,14.43,14.43,46761.89,14963804,46830.59,14985789,256,7396,40,32768,0,3072,1893376,15.41,32,6,32,8,44.27,69.17,48,75,11,0x200060400000,0x200060800000,4194304,15,749,4224.0,192.0,0.0,0
