kernel,InputData,MemLocation,h_areas,h_elements_surrounding_elements,h_normals,label,TimePerc,Time,calls,AVG,MIN,MAX
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,0344,95.38,7.33e+03,6000,1.221614,1.205880,10.62250
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,0345,84.39,1.92e+03,6000,0.320422,0.311966,5.745598
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationCPU,none,0350,57.37,478.8772,6000,0.079812,0.068191,4.442663
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetReadMostly,0351,57.41,479.8755,6000,0.079979,0.068352,4.954275
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,0352,57.71,479.9886,6000,0.079998,0.068704,4.575653
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetAccessedByGPU,0353,93.95,5.52e+03,6000,0.919203,0.907515,2.477297
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,0354,93.96,5.52e+03,6000,0.919917,0.907419,8.808554
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationCPU,0355,57.58,479.0687,6000,0.079844,0.068159,4.713956
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,none,none,0400,57.31,478.8949,6000,0.079815,0.068128,4.362886
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,none,cudaMemAdviseSetReadMostly,0401,57.30,478.8213,6000,0.079803,0.068575,4.304071
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,none,cudaMemAdviseSetPreferredLocationGPU,0402,57.33,478.8443,6000,0.079807,0.068704,4.423048
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,none,cudaMemAdviseSetAccessedByGPU,0403,93.95,5.51e+03,6000,0.918358,0.906394,2.280722
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,none,cudaMemAdviseSetPreferredLocationGPU,0404,93.94,5.52e+03,6000,0.920244,0.907579,8.995785
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,none,cudaMemAdviseSetPreferredLocationCPU,0405,57.38,478.6834,6000,0.079780,0.068448,4.492615
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,none,0410,57.39,478.7016,6000,0.079783,0.068928,4.294823
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,cudaMemAdviseSetReadMostly,0411,57.36,480.0922,6000,0.080015,0.068991,4.861667
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationGPU,0412,57.43,478.3601,6000,0.079726,0.068415,4.325575
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,cudaMemAdviseSetAccessedByGPU,0413,93.92,5.51e+03,6000,0.918610,0.906907,2.246482
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationGPU,0414,93.93,5.51e+03,6000,0.918157,0.907387,8.892009
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationCPU,0415,57.43,479.7170,6000,0.079952,0.068608,4.640137
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,none,0420,57.42,479.4002,6000,0.079900,0.068128,4.412394
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,0421,57.36,479.1665,6000,0.079861,0.068031,4.054956
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,0422,57.29,479.0817,6000,0.079846,0.068320,4.495337
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,0423,93.92,5.52e+03,6000,0.919871,0.907483,2.453875
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,0424,93.92,5.53e+03,6000,0.921163,0.907132,9.008400
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,0425,57.31,479.4579,6000,0.079909,0.068927,4.736932
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,none,0430,84.29,1.91e+03,6000,0.317922,0.311390,3.546155
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetReadMostly,0431,84.33,1.92e+03,6000,0.319687,0.311486,3.617258
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationGPU,0432,84.33,1.92e+03,6000,0.319577,0.312062,3.481611
cuda_compute_flux,0.2M,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetAccessedByGPU,0433,95.36,7.32e+03,6000,1.220322,1.206138,1.352504
