Benchmark,Executed Ipc Elapsed,Issued Warp Per Scheduler,Avg. Executed Instructions Per Scheduler,Block Size,Registers Per Thread,Threads,Waves Per SM,Block Limit Registers,Block Limit Warps,CPUPageFault,GPUPagePault,HtoD,DtoH,label categorical
bfs,0.82,0.22,22989.79,512,21,1000448,6.11,5,4,24,6,7816,0,A
bfs,0.82,0.22,22989.79,512,21,1000448,6.11,5,4,6,49,1024,0,A
bfs,0.82,0.22,22989.79,512,21,1000448,6.11,5,4,4,1,1024,0,A
bfs,0.82,0.22,22989.79,512,21,1000448,6.11,5,4,5,3,1024,0,A
bfs,0.24,0.08,1853.1,512,16,1000448,6.11,8,4,24,6,7816,0,E
bfs,0.24,0.08,1853.1,512,16,1000448,6.11,8,4,6,49,1024,0,B
bfs,0.24,0.08,1853.1,512,16,1000448,6.11,8,4,4,1,1024,0,B
bfs,0.24,0.08,1853.1,512,16,1000448,6.11,8,4,5,3,1024,0,B
bfs,0.67,0.19,5220.1,512,21,1000448,6.11,5,4,24,6,7816,0,A
bfs,0.67,0.19,5220.1,512,21,1000448,6.11,5,4,6,49,1024,0,A
bfs,0.67,0.19,5220.1,512,21,1000448,6.11,5,4,4,1,1024,0,A
bfs,0.67,0.19,5220.1,512,21,1000448,6.11,5,4,5,3,1024,0,A
bfs,0.57,0.2,1271.15,512,16,1000448,6.11,8,4,24,6,7816,0,E
bfs,0.57,0.2,1271.15,512,16,1000448,6.11,8,4,6,49,1024,0,B
bfs,0.57,0.2,1271.15,512,16,1000448,6.11,8,4,4,1,1024,0,B
bfs,0.57,0.2,1271.15,512,16,1000448,6.11,8,4,5,3,1024,0,B
bfs,0.44,0.18,1177.52,512,21,1000448,6.11,5,4,24,6,7816,0,A
bfs,0.44,0.18,1177.52,512,21,1000448,6.11,5,4,6,49,1024,0,A
bfs,0.44,0.18,1177.52,512,21,1000448,6.11,5,4,4,1,1024,0,A
bfs,0.44,0.18,1177.52,512,21,1000448,6.11,5,4,5,3,1024,0,A
bfs,0.01,0.05,7.5,512,16,4096,0.03,8,4,1,0,44,0,A
bfs,0.01,0.05,7.5,512,16,4096,0.03,8,4,0,0,0,0,B
bfs,0.01,0.05,7.5,512,16,4096,0.03,8,4,0,0,0,0,B
bfs,0.01,0.05,7.5,512,16,4096,0.03,8,4,0,10,16,0,A
bfs,0.01,0.06,33.82,512,21,4096,0.03,5,4,1,0,44,0,A
bfs,0.01,0.06,33.82,512,21,4096,0.03,5,4,0,0,0,0,A
bfs,0.01,0.06,33.82,512,21,4096,0.03,5,4,0,0,0,0,A
bfs,0.01,0.06,33.82,512,21,4096,0.03,5,4,0,10,16,0,A
bfs,0.01,0.07,10.92,512,16,4096,0.03,8,4,1,0,44,0,A
bfs,0.01,0.07,10.92,512,16,4096,0.03,8,4,0,0,0,0,B
bfs,0.01,0.07,10.92,512,16,4096,0.03,8,4,0,0,0,0,B
bfs,0.01,0.07,10.92,512,16,4096,0.03,8,4,0,10,16,0,A
bfs,0.03,0.11,89.05,512,21,4096,0.03,5,4,1,0,44,0,A
bfs,0.03,0.11,89.05,512,21,4096,0.03,5,4,0,0,0,0,A
bfs,0.03,0.11,89.05,512,21,4096,0.03,5,4,0,0,0,0,A
bfs,0.03,0.11,89.05,512,21,4096,0.03,5,4,0,10,16,0,A
bfs,0.01,0.07,11.2,512,16,4096,0.03,8,4,1,0,44,0,A
bfs,0.01,0.07,11.2,512,16,4096,0.03,8,4,0,0,0,0,B
bfs,0.01,0.07,11.2,512,16,4096,0.03,8,4,0,0,0,0,B
bfs,0.01,0.07,11.2,512,16,4096,0.03,8,4,0,10,16,0,A
bfs,0.04,0.13,118.78,512,21,4096,0.03,5,4,1,0,44,0,A
bfs,0.04,0.13,118.78,512,21,4096,0.03,5,4,0,0,0,0,A
bfs,0.04,0.13,118.78,512,21,4096,0.03,5,4,0,0,0,0,A
bfs,0.04,0.13,118.78,512,21,4096,0.03,5,4,0,10,16,0,A
bfs,0.01,0.08,11.2,512,16,4096,0.03,8,4,1,0,44,0,A
bfs,0.01,0.08,11.2,512,16,4096,0.03,8,4,0,0,0,0,B
bfs,0.01,0.08,11.2,512,16,4096,0.03,8,4,0,0,0,0,B
bfs,0.01,0.08,11.2,512,16,4096,0.03,8,4,0,10,16,0,A
bfs,0.04,0.13,107.92,512,21,4096,0.03,5,4,1,0,44,0,A
bfs,0.04,0.13,107.92,512,21,4096,0.03,5,4,0,0,0,0,A
bfs,0.04,0.13,107.92,512,21,4096,0.03,5,4,0,0,0,0,A
bfs,0.04,0.13,107.92,512,21,4096,0.03,5,4,0,10,16,0,A
bfs,0.01,0.08,10.36,512,16,4096,0.03,8,4,1,0,44,0,A
