kernel,InputData,advise0,advise1
calculate_temp,64,"[[0.05697442857142858, 0.126638, 0.215606, 0.039391571428571436, 0.09676871428571428, 0.04147185714285715, 0.039305142857142865], 0]","[[0.08119314285714287, 0.1344137142857143, 0.20409957142857144, 0.07759585714285715, 0.03913785714285715, 0.04032371428571428, 0.039391857142857145], 0]"
calculate_temp,128,"[[0.07146914285714286, 0.38019057142857143, 0.30092671428571427, 0.2955417142857143, 0.39616742857142856, 0.28988228571428565, 0.31913485714285716], 0]","[[0.251112, 0.370778, 0.26667328571428567, 0.25364914285714285, 0.3757927142857143, 0.2598114285714285, 0.27549614285714286], 0]"
calculate_temp,256,"[[0.1024542857142857, 0.6178124285714286, 1.6270697142857142, 0.4355181428571429, 0.7303101428571429, 0.4582198571428572, 0.6295745714285715], 0]","[[0.5506031428571428, 0.7727284285714285, 0.6238512857142856, 0.6264388571428572, 0.8600054285714286, 0.5564272857142857, 0.6109047142857144], 0]"
calculate_temp,512,"[[0.18722185714285713, 1.732050857142857, 6.049314714285714, 1.8246722857142856, 1.469140142857143, 2.335760142857143, 2.3313215714285715], 0]","[[1.789623142857143, 2.4425482857142855, 2.1238202857142854, 2.3497667142857144, 1.8301535714285717, 2.7513285714285716, 2.6422409999999994], 0]"
calculate_temp,1024,"[[1.9289535714285715, 4.787565999999999, 26.25045, 3.8790867142857137, 4.109654571428572, 9.53706242857143, 5.049795857142857], 0]","[[6.226126428571429, 7.558778571428571, 7.6658992857142865, 7.732363571428571, 7.134675714285714, 11.134905428571429, 8.089820142857143], 0]"
calculate_temp,2048,"[[7.770271428571428, 17.205637142857142, 103.43649714285714, 14.048069285714286, 16.741648285714287, 33.83431857142857, 18.642014285714286], 0]","[[24.691871142857142, 29.91536285714286, 28.923573857142856, 29.525828285714283, 27.57704342857142, 41.185927142857146, 29.85884942857143], 0]"
calculate_temp,4096,"[[24.17815642857143, 52.32577571428572, 310.6875857142858, 44.149708571428576, 52.13329285714286, 91.02890428571428, 56.73857142857143], 0]","[[75.10184028571429, 89.04120571428571, 92.91408714285714, 100.83403285714284, 80.70840471428572, 99.59340999999999, 93.04901428571428], 0]"
calculate_temp,8192,"[[68.94943457142857, 167.3150285714286, 1988.5714285714287, 137.56892285714284, 183.44638571428573, 251.09274285714287, 183.3281], 0]","[[372.7339860000001, 433.5371099999999, 401.5265914285714, 438.49741571428564, 418.6167385714286, 475.8273714285714, 439.53283], 0]"
