Benchmark,InputData,Data,DataID,Kernel,Memory Frequency,SOL FB,Elapsed Cycles,SM Frequency,Memory [%],Duration,SOL L2,SM Active Cycles,SM [%],SOL TEX,Executed Ipc Active,Executed Ipc Elapsed,Issued Ipc Active,Issue Slots Busy,SM Busy,Memory Throughput,Mem Busy,Max Bandwidth,L2 Hit Rate,Mem Pipes Busy,L1 Hit Rate,Active Warps Per Scheduler,Eligible Warps Per Scheduler,No Eligible,Instructions Per Active Issue Slot,Issued Warp Per Scheduler,One or More Eligible,Avg. Not Predicated Off Threads Per Warp,Avg. Active Threads Per Warp,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Warp Cycles Per Issue Active,Avg. Executed Instructions Per Scheduler,Executed Instructions,Avg. Issued Instructions Per Scheduler,Issued Instructions,Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Achieved Active Warps Per SM,Achieved Occupancy,Theoretical Active Warps per SM,Theoretical Occupancy,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,Costs,label
hotspot,1024,FilesavingTemp,0,calculate_temp,857554517.13,32.6,65690,1272504543.09,35.35,51360,21.98,61767.91,71.66,37.4,3.03,2.86,3.03,75.82,75.82,286275389408.1,35.35,32.6,76.64,33.5,0.46,11.01,2.88,23.7,1,0.76,76.3,27.07,28.61,14.46,14.43,14.43,46761.89,14963804,46830.59,14985789,256,7396,40,32768,0,3072,1893376,15.41,32,6,32,8,44.27,69.17,48,75,11,0x200060000000,0x200060400000,4194304,13,1843,4224.0,0.0,0.0,"1.9289535714285715, 4.787565999999999, 26.25045, 3.8790867142857137, 4.109654571428572, 9.53706242857143, 5.049795857142857", 0
hotspot,1024,FilesavingPower,1,calculate_temp,857554517.13,32.6,65690,1272504543.09,35.35,51360,21.98,61767.91,71.66,37.4,3.03,2.86,3.03,75.82,75.82,286275389408.1,35.35,32.6,76.64,33.5,0.46,11.01,2.88,23.7,1,0.76,76.3,27.07,28.61,14.46,14.43,14.43,46761.89,14963804,46830.59,14985789,256,7396,40,32768,0,3072,1893376,15.41,32,6,32,8,44.27,69.17,48,75,11,0x200060400000,0x200060800000,4194304,15,749,4224.0,192.0,0.0,"6.226126428571429, 7.558778571428571, 7.6658992857142865, 7.732363571428571, 7.134675714285714, 11.134905428571429, 8.089820142857143", 0
hotspot,128,FilesavingTemp,0,calculate_temp,639380530.97,12.3,6915,955590892.33,12.3,7232,3.13,3593.35,11.33,9.83,0.84,0.44,0.87,21.79,21.79,80517699115.04,5.11,12.3,75.68,5.09,0.0,2.99,0.35,77.61,1,0.22,22.39,26.86,28.42,13.78,13.36,13.36,758.75,242800,782.95,250544,256,121,40,32768,0,3072,30976,0.25,32,6,32,8,11.81,18.45,48,75,11,0x200060000000,0x200060010000,65536,2,471,128.0,0.0,0.0,"0.07146914285714286, 0.38019057142857143, 0.30092671428571427, 0.2955417142857143, 0.39616742857142856, 0.28988228571428565, 0.31913485714285716", 0
hotspot,128,FilesavingPower,1,calculate_temp,639380530.97,12.3,6915,955590892.33,12.3,7232,3.13,3593.35,11.33,9.83,0.84,0.44,0.87,21.79,21.79,80517699115.04,5.11,12.3,75.68,5.09,0.0,2.99,0.35,77.61,1,0.22,22.39,26.86,28.42,13.78,13.36,13.36,758.75,242800,782.95,250544,256,121,40,32768,0,3072,30976,0.25,32,6,32,8,11.81,18.45,48,75,11,0x200060010000,0x200060020000,65536,2,304,64.0,64.0,0.0,"0.251112, 0.370778, 0.26667328571428567, 0.25364914285714285, 0.3757927142857143, 0.2598114285714285, 0.27549614285714286", 0
hotspot,2048,FilesavingTemp,0,calculate_temp,873627331.36,32.84,239585,1301510480.22,38.41,183584,24.14,235482.02,77.54,38.97,3.15,3.1,3.15,78.67,78.67,293796234966.01,38.41,32.84,76.83,36.35,0.61,11.18,2.93,21.3,1,0.79,78.7,27.11,28.65,14.21,14.2,14.2,185189.75,59260720,185250.06,59280020,256,29241,40,32768,0,3072,7485696,60.92,32,6,32,8,44.92,70.19,48,75,11,0x200060000000,0x200061000000,16777216,49,4349,16576.0,0.0,0.0,"7.770271428571428, 17.205637142857142, 103.43649714285714, 14.048069285714286, 16.741648285714287, 33.83431857142857, 18.642014285714286", 0
hotspot,2048,FilesavingPower,1,calculate_temp,873627331.36,32.84,239585,1301510480.22,38.41,183584,24.14,235482.02,77.54,38.97,3.15,3.1,3.15,78.67,78.67,293796234966.01,38.41,32.84,76.83,36.35,0.61,11.18,2.93,21.3,1,0.79,78.7,27.11,28.65,14.21,14.2,14.2,185189.75,59260720,185250.06,59280020,256,29241,40,32768,0,3072,7485696,60.92,32,6,32,8,44.92,70.19,48,75,11,0x200061000000,0x200062000000,16777216,49,587,16384.0,64.0,0.0,"24.691871142857142, 29.91536285714286, 28.923573857142856, 29.525828285714283, 27.57704342857142, 41.185927142857146, 29.85884942857143", 0
hotspot,256,FilesavingTemp,0,calculate_temp,764505119.45,22.35,10661,1135114476.68,22.35,9376,8.31,7087.93,29.17,20.36,1.72,1.14,1.75,43.8,43.8,175006825938.57,13.56,22.35,76.36,13.27,0.0,9.13,1.72,56.45,1,0.44,43.55,26.9,28.45,21.42,20.97,20.97,3039.09,972508,3104.62,993478,256,484,40,32768,0,3072,123904,1.01,32,6,32,8,39.06,61.03,48,75,11,0x200060000000,0x200060040000,262144,4,264,320.0,0.0,0.0,"0.1024542857142857, 0.6178124285714286, 1.6270697142857142, 0.4355181428571429, 0.7303101428571429, 0.4582198571428572, 0.6295745714285715", 0
hotspot,256,FilesavingPower,1,calculate_temp,764505119.45,22.35,10661,1135114476.68,22.35,9376,8.31,7087.93,29.17,20.36,1.72,1.14,1.75,43.8,43.8,175006825938.57,13.56,22.35,76.36,13.27,0.0,9.13,1.72,56.45,1,0.44,43.55,26.9,28.45,21.42,20.97,20.97,3039.09,972508,3104.62,993478,256,484,40,32768,0,3072,123904,1.01,32,6,32,8,39.06,61.03,48,75,11,0x200060040000,0x200060080000,262144,2,0,256.0,64.0,0.0,"0.5506031428571428, 0.7727284285714285, 0.6238512857142856, 0.6264388571428572, 0.8600054285714286, 0.5564272857142857, 0.6109047142857144", 0
hotspot,4096,FilesavingTemp,0,calculate_temp,876548196.02,32.89,934826,1310373334.01,39.33,713088,24.8,929918.12,79.29,39.52,3.19,3.17,3.19,79.67,79.67,295190181296.0,39.33,32.89,76.97,37.19,0.4,11.22,2.97,20.37,1,0.8,79.63,27.11,28.65,14.09,14.09,14.09,740821.09,237062748,740907.56,237090419,256,116964,40,32768,0,3072,29942784,243.67,32,6,32,8,45.11,70.49,48,75,11,0x200060000000,0x200064000000,67108864,193,9663,65792.0,0.0,0.0,"24.17815642857143, 52.32577571428572, 310.6875857142858, 44.149708571428576, 52.13329285714286, 91.02890428571428, 56.73857142857143", 0
hotspot,4096,FilesavingPower,1,calculate_temp,876548196.02,32.89,934826,1310373334.01,39.33,713088,24.8,929918.12,79.29,39.52,3.19,3.17,3.19,79.67,79.67,295190181296.0,39.33,32.89,76.97,37.19,0.4,11.22,2.97,20.37,1,0.8,79.63,27.11,28.65,14.09,14.09,14.09,740821.09,237062748,740907.56,237090419,256,116964,40,32768,0,3072,29942784,243.67,32,6,32,8,45.11,70.49,48,75,11,0x200064000000,0x200068000000,67108864,193,450,65536.0,64.0,0.0,"75.10184028571429, 89.04120571428571, 92.91408714285714, 100.83403285714284, 80.70840471428572, 99.59340999999999, 93.04901428571428", 0
hotspot,512,FilesavingTemp,0,calculate_temp,833034111.31,26.35,22007,1227698608.62,26.35,17824,16.2,17754.84,53.69,32.29,2.63,2.14,2.65,66.16,66.16,224791741472.17,26.2,26.35,76.25,24.99,0.21,10.4,2.52,34.03,1,0.66,65.97,27.06,28.6,15.85,15.77,15.77,11686.55,3739696,11746.39,3758846,256,1849,40,32768,0,3072,473344,3.85,32,6,32,8,41.8,65.31,48,75,11,0x200060000000,0x200060100000,1048576,6,738,1152.0,0.0,0.0,"0.18722185714285713, 1.732050857142857, 6.049314714285714, 1.8246722857142856, 1.469140142857143, 2.335760142857143, 2.3313215714285715", 0
hotspot,512,FilesavingPower,1,calculate_temp,833034111.31,26.35,22007,1227698608.62,26.35,17824,16.2,17754.84,53.69,32.29,2.63,2.14,2.65,66.16,66.16,224791741472.17,26.2,26.35,76.25,24.99,0.21,10.4,2.52,34.03,1,0.66,65.97,27.06,28.6,15.85,15.77,15.77,11686.55,3739696,11746.39,3758846,256,1849,40,32768,0,3072,473344,3.85,32,6,32,8,41.8,65.31,48,75,11,0x200060100000,0x200060200000,1048576,2,171,1024.0,64.0,0.0,"1.789623142857143, 2.4425482857142855, 2.1238202857142854, 2.3497667142857144, 1.8301535714285717, 2.7513285714285716, 2.6422409999999994", 0
hotspot,64,FilesavingTemp,0,calculate_temp,627415458.94,3.36,6204,935940016.1,3.36,6624,0.96,1353.78,3.67,7.32,0.65,0.14,0.67,16.81,16.81,21608695652.17,1.6,3.36,76.82,1.6,0.0,1.97,0.22,83.17,1,0.17,16.83,26.34,27.92,12.07,11.69,11.69,220.39,70524,227.59,72828,256,36,40,32768,0,3072,9216,0.07,32,6,32,8,7.9,12.35,48,75,11,0x200060000000,0x200060004000,16384,2,256,64.0,64.0,0.0,"0.05697442857142858, 0.126638, 0.215606, 0.039391571428571436, 0.09676871428571428, 0.04147185714285715, 0.039305142857142865", 0
hotspot,64,FilesavingPower,1,calculate_temp,627415458.94,3.36,6204,935940016.1,3.36,6624,0.96,1353.78,3.67,7.32,0.65,0.14,0.67,16.81,16.81,21608695652.17,1.6,3.36,76.82,1.6,0.0,1.97,0.22,83.17,1,0.17,16.83,26.34,27.92,12.07,11.69,11.69,220.39,70524,227.59,72828,256,36,40,32768,0,3072,9216,0.07,32,6,32,8,7.9,12.35,48,75,11,0x200060004000,0x200060008000,16384,0,0,0.0,0.0,0.0,"0.08119314285714287, 0.1344137142857143, 0.20409957142857144, 0.07759585714285715, 0.03913785714285715, 0.04032371428571428, 0.039391857142857145", 0
